
str_yes|Да.
; str_umbar_intro|^The puffed-up nobles in Gondor, so proud of their vast and fertile estates, are sitting on stolen land - it was Castamir, of old, who was rightful king of the realm, before his throne was usurped by faithless curs. His descendants have led your nation well, winning many great victories on the seas and the coasts.^^Time and again, however, the bitter winds of defeat have blown in your face - some years ago, the faithless Gondorians launched a cowardly night attack upon the main haven, sending the better part of Umbar’s strength down to the sea floor. Your ship was lost, your captain with it, and you were among the few survivors of your erstwhile crew.^^But fifty great ships remain, and countless smaller vessels besides. The Dark Lord of Mordor has issued the call. Now is the time for a reckoning. You will join hands with your brothers-in-arms of the Southern lands, the grim-eyed men of Harad, and you will exact your vengeance upon the treacherous men of Gondor, until all Belfalas and Anfalas is in flames, and your coffers overflow with the wealth that is rightfully yours.^^The Age of Gondor is ending. The time of Umbar has come!
; str_moria_intro|^You have come from the Mines, to avenge your folk, killed by manlings and diggers and elf scum! Your tribe was strong, and rich - the Moria-silver you gathered, in great heaps, and with it won great favour from the Dark Lord in the East. The short ones came, thinking to make their homes here - but you slaughtered them and had great sport in the doing. Then a small band of thieves and brigands came through, and awoke the deep Fire. Ruin, ruin for all! Many places cannot now be reached. Much wealth, much Moria-silver, and all too deep to dig up!^^But now the Dark Lord calls. War comes. The Great Eye will reward faithful servants, yes. He will remember who it was who sent him so much of this shiny Moria-silver, and you will obey him - you will kill, and feast upon the Whiteskins, and all will be well for you and your tribe. And those proud elves, in their golden forest, they won’t be so proud when you and your folk burn their trees down around them!^^The light in the woods shall be snuffed out. The time of Moria has come!
; str_guldur_intro|^The dark power rises again in the East. The Lord of Barad-dûr has sent his servants to Dol Guldur, where his will once more shall hold sway. The forges overflow with weapons and armour, the pens house thousands of ferocious wargs, the barracks are full to the brim with orcs ready to fight and die.^^And high above, in the darkening skies over Mirkwood, fly the winged Nazgûl… the apple of the Great Eye, with power deep beyond the reach of your muddy dreams. No fewer than three has the Dark Lord sent to this place, from which his power will reach, subduing all who resist, until the enemies of Mordor are broken forever.^^You have resolved to rise in the ranks, by any means, and gain the favour of Dol Guldur and Lugbúrz. By wit, hardiness, and ruthless skill in battle you shall crush all who stand in your way. You will earn the favour of the Dark Lord, he who is to rule all after this coming War… or you will die trying.^^The shadow of Dol Guldur shall spread. The light of the West shall be snuffed out. The time of Mordor has come!
; str_dunland_intro|^Your people have known nothing but foul injustice at the hands of the black-hearted Forgoil, the strawhead paleskins of Rohan. From the time of mighty Freca, felled by a cowardly blow from the man-eater beast Helm, he whom the Rohirrim called Hammerhand, you have suffered grievously under their heavy yoke. High-handed are their treacheries, too many to number.^^ But now the wind is changing. Wise Saruman, the cunning old master of Isengard, has made promises of friendship to your people. With his help, surely the claim of noble King Wulf, who in happier days rightfully sat the throne of Meduseld in Edoras, will be upheld.^^No longer will your people scrabble in the rocky soil for a hard living. No longer will babes in arms die in the embrace of their mothers, because the milk flows too weakly. No longer will your people cower in fear of the murdering usurpers of Rohan. Your pikes are long, and your axes cruel and sharp. With the help of Saruman the Wise, you cannot fail. You will take back what is rightfully yours.^^You will fight for Saruman. You will die for Saruman!
; str_beorn_intro|^These woods, these old paths, and the Ford are the only home you have ever known, but old Beorn was one who remembered an older home, far away in the mountains. His son, Chief Grimbeorn the Old, now stands foremost among your people, and like his father, he is apt to sit on the great Carrock at night, setting his sight to the west, deep in his own thoughts.^^For your part, your thoughts are simple. The woods grow dangerous. Foul orcs grow bolder, and walk about even in daylight. The wolves they ride will not listen even to one of your people, so twisted have they become by goblin ways. The air feels and smells different, bad. The further south you go, closer to Dol Guldur, where not so long ago the Sorcerer dwelled and did things unworthy of naming, the worse it gets.^^The Elves huddle in their caves to the north. Most will not come out to protect the woodland, its animals and trees and other things that move and live.^^Your people will fight, as you always have, to keep the Ford and the forest safe. With a stout stick in your hands, you will smash any orcs that dare intrude. And if it should come to greater blows, why, many among your people are more than they seem…^^But if even the grim battle-strength of the Beornings should fail, then the world will know no more the joy of sweet honey, bright flowers, shady forest paths and all things good. All will fall beneath the Shadow.
; str_intro_strings_end|Intro END
; str_gondor_intro_2|^While travelling to swear service to your liege lord, you chance upon a caravan being attacked by orcs.
; str_dwarf_intro_2|^On your way to the gates of Erebor, you chance upon a caravan being attacked by orcs.
; str_rohan_intro_2|^On your way to Edoras, you chance upon a caravan being attacked by orcs.
; str_mordor_intro_2|^On your way to the Morannon to report to Lugbúrz, you chance upon some orcs raiding a caravan.
; str_isengard_intro_2|^On your way to Isengard, you chance upon some orcs raiding a caravan.
; str_lorien_intro_2|^On your way to Caras Galadhon for an audience with the Lady Galadriel, you come upon some allies preparing to ambush a company of Orcs.
; str_imladris_intro_2|^On your way back to the main Rivendell camp after a scouting mission, you come upon some allies preparing to ambush a company of Orcs.
; str_woodelf_intro_2|^On your way back to the Elvenking’s Halls after a patrol in the woods, you come upon some allies preparing to ambush a company of Orcs.
; str_dale_intro_2|^On your way to the city of Dale, you chance upon a caravan being attacked by orcs.
; str_harad_intro_2|^Your fellow warriors and riders, as well as the mighty Mûmakil, have established your main camp across the river from the fortified city of the Gondorians, the one they call Pelargir. No doubt when it falls, your chieftains will think of a more fitting name for it. Then shall you hold it forevermore against the dwindling men of the West.^^As you walk through a wooded vale, a sudden small rustling makes you stop. You have heard many tales of the Gondorians who skulk around in these lands, sneaking like cowards - Rangers, they are called. They are deadly with the bow and arrow, like the Gold Serpents of high renown. Are some of them preparing to ambush your party? You had better sound the warning!
; str_rhun_intro_2|^On your way to the main battle-camp of your people, you chance upon some orcs raiding a caravan.
; str_khand_intro_2|^Your fellow Variags have been summoned to the Morannon, the Black Gates that lead into Mordor. You do not relish having to camp so near to filthy honourless orc-kind, but for a time you will oblige. Still, the Lord of Mordor would be foolish indeed not to recognise the worth of your people, and treat you accordingly!^^As you walk through a wooded vale, a sudden small rustling makes you stop. You have heard many tales of the Gondorians who skulk around in these lands, sneaking like cowards - Rangers, they are called. They are deadly with the bow and arrow. Are some of them preparing to ambush your party? You had better sound the warning!
; str_umbar_intro_2|^On your way to where the Admiral has established the beachhead fortifications, you chance upon some orcs raiding a caravan.
; str_moria_intro_2|^While returning from a scouting mission in the dale, you chance upon some orcs raiding a caravan.
; str_guldur_intro_2|^On your way to Dol Guldur, you chance upon some orcs raiding a caravan.
; str_gundabad_intro_2|^On your way to Mt. Gundabad, you chance upon some orcs raiding a caravan.
; str_dunland_intro_2|^On your way to the main battle-camp of your people, you chance upon some orcs raiding a caravan.
; str_beorn_intro_2|^On your way to Beorn’s House, you come upon some allies preparing to ambush a company of Orcs.
; str_intro_strings_2_end|Intro 2 END
; str_gondor_faction_intro|^The South Kingdom of Gondor, “land of stone” in Sindarin, is inhabited by descendants of the ancient Númenoreans. Under the rule of Steward Denethor, these proud men stand as the first and perhaps last line of defence against the Enemy.^^Gondor’s military consists of forces coming from all the different fiefdoms. You get the standard army with solid and well-armoured troops overall: Dol Amroth’s heavy cavalry, green-clad archers and spearmen from Pinnath Gelin, bowmen from the Blackroot Vale, axemen of Lossarnach, heavy marines from Pelargir or hardened clansmen of Lamedon.
; str_dwarf_faction_intro|^Dwarves, also known as Durin’s Folk, are short, tough and doughty warriors. They are renowned for the craftsmanship of their weaponry and armour, though they say with regret that they cannot match the lost arts of their ancestors. In these latter days, they come from the Lonely Mountain and the Iron Hills.^^Their army consists of an infantry line, a scout/archer line and an Iron Hills line (their heaviest hard-hitting infantry).
; str_rohan_faction_intro|^Rohirrim are the horse lords of the Mark of Rohan, led by king Théoden.^^Rohirrim have very good cavalry, ranging from heavy lancers to agile horse archers. They have an infantry line as well, branching into shieldwall-forming troops and heavy swordsmen bearing longswords.
; str_mordor_faction_intro|^Mordor represents Sauron’s own forces bred in the darkness of the Black Land.^^Armies of Mordor consist of orcs, Uruks and evil men (Black Númenoreans). Uruks of Mordor are a better-equipped and stronger breed of orcs, but have no archery line. Most regular orcs are infantry, skirmishers or archers, but there are also orc warg-riders. Black Númenoreans are comparatively rare, but very dangerous as infantry or cavalry. Sauron has also bred fierce battle trolls, but they’re extremely hard to obtain.
; str_isengard_faction_intro|^Isengard is ruled by Saruman, the traitor wizard. He created his own version of orcs: the Uruk-hai.^^The forces of Isengard are quite well-equipped, though the weapons and armour may seem crude. The orcs are comparable to any other orcs, but the Uruk-hai are truly deadly killing machines wielding pikes, halberds, heavy axes and nasty cleavers. They also have the largest and most powerful bows among any of the orcish races.
; str_lorien_faction_intro|^The Elves of Lothlórien, known as the tree-dwelling “Galadhrim”, are a powerful group of Nandor and Sindar living in the Lórien woods, led by Lord Celeborn and Lady Galadriel.^^Their forces consist of an infantry line and a scout line, with the occasional incorporation of an elite unit of Noldorin horse archers. All their troops are highly skilled, equipped with the finest arms and armour of Elven make, and overall extremely deadly in combat. A rain of arrows from under the forest cover, followed by a devastating infantry charge, is their main tactic.
; str_imladris_faction_intro|^The Elves of Imladris (Rivendell) are Sindar and Noldor led by Lord Elrond and his two sons. They are custodians of the ancient lore of the west, as well as powerful and ancient artifacts dating back to the First Age. Under their banner, the Dúnedain of the North march as well – the remnants of the broken Northern kingdoms of Men are tall dark-haired rangers and nobles, clad in sturdy leathers or ancient maille.^^The soldiers of Imladris are among the most highly-skilled in Middle-Earth, and are extremely well-equipped. Their armies are capable of considerable tactical flexibility.
; str_woodelf_faction_intro|^The Silvan Elves, called “wood-elves” in ancient times, live today in Mirkwood, led by King Thranduil.^^The Elves of Mirkwood have a competent infantry line that features both spears and swords. Their scouts and archers are the mainstay of their armies, more so than for their cousins of Lórien. Their armour is light but affords a great deal of protection.
; str_dale_faction_intro|^Dale is a city rebuilt by Northmen who share ancestry with the Rohirrim, joined by the survivors from the lake city of Esgaroth (after it was burnt down by Smaug).^^Men of Dale provide tough infantry focused on polearms, famous archer troops including the legendary Barding bowmen, and a merchant guard line acting as reasonably good cavalry.
; str_harad_faction_intro|^The Haradrim, the “hosts of the South” in Sindarin, come from the deserts and rainforests of the far South. They have a fondness for wearing bright colours and heavy gold ornamentation in warfare.^^Haradrim have average but competent infantry (skirmishers/archers and spearmen/swordsmen) from Great Harad, a cavalry line (incorporating both heavy cavalry and horse archers) from Harondor and a Far Harad line of tribal warriors.
; str_rhun_faction_intro|^Men of Rhûn are tribal Easterlings hailing from around the sea of Rhûn, far to the east.^^The bulk of their army is cavalry - horse archers and lancers, both very lightly-equipped. Their top-tier cavalrymen ride much larger and heavier mounts, with more barding. Their infantrymen are also quite lightly-armoured and wield large axes and swords. In the open field, a cavalry host of Rhûn can be a fearsome force to face.
; str_khand_faction_intro|^The Variags of Khand are fierce Easterling raiders who wear terrifying battlemasks into battle.^^They rely on fast light infantry (skirmishers and blademasters) and heavy axemen, while their cavalry line contains both light agile skirmishers and heavy kataphracts. The light infantry fling devastating volleys of throwing spears while screening the advance of the main host. The most savage among them charge into battle wearing little armour, attacking with great strength and ferocity.
str_umbar_faction_intro|^Умбарские корсары - южные враги Гондора, потомки черных Нуменорцев, которые проводили бесчисленные набеги на Гондорскую береговую линию. ^^Корсары используют легко-вооруженных застрельщиков и более тяжелых мечников, а так же опытных лучников. Будучи в основном мореплавателями, они жертвуют броней ради мобильности
str_moria_faction_intro|^Орки Мории занимают залы Кхазад-Дума, некогда могущественного гномьего королевства. ^^Как  и у обычных орков их силы состоят из смеси пехоты, лучников, застрельщиков и наездников варгов, однако в основном они лучше экипированы, чем обычные орки благодаря остаткам железа найденным в Мории. Некоторые везунчики имеют доступ к украденным частям гномьей брони и оружия. Вожди Орков Мории показали себя как сильнейшие и свирепейшие из своего рода, они очень опасны в бою.
str_guldur_faction_intro|^Дол Гулдур - это старая крепость Саурона в Лихолесье. Именно она причина по которой "Великое Зеленолесье" теперь известно под своим темным именем. ^^Здесь верный Мордору готовят и  тренируют великое воинство, совершают частые набеги на Эльфов и на группы Людей проходящих через лес. Войска Дол Гулдура преимущественно состоят из орков в таком же составе как и Мордорские орки (пехота, лучники, застрельщики и наездники варгов), но с меньшем разнообразием.
; str_gundabad_faction_intro|^Gundabad was a place sacred to the Dwarves, but in these days it has become a massive Orc stronghold in the northern mountains.^^The Gundabad orcs, though more savage than their fellows from other places, fight much like any other orcs, with a similar army lineup (infantry, archers, skirmishers, warg riders). Their equipment is primitive and their fighting style barbaric. Their warg riders are unrivalled in toughness and ferocity. Some among the orcs of Gundabad can even whip themselves into a battle-frenzy.
; str_dunland_faction_intro|^The Dunlendings are the “wild men of Dunland”, enemies of the Rohirrim who drove them from their homeland.^^Dunland is barren and poor. The Dunlendings wear very little real armour – mostly furs and cured leather, with some metal signifying status. For weaponry, they wield long pikes and antler axes, with rare swords serving as emblems of prestige. Their horses are thin and weak, certainly no match for the steeds of Rohan, though occasionally the Dunlendings will ride them into battle as skirmishers. In battle, the pikemen advance en masse, presenting a crude but formidable wall of sharp polearms. Some Dunlendings have also cultivated affinity with creatures of the wild, and may unleash packs of savage wolves against their foes.
; str_beorn_faction_intro|^Beornings, the descendants of Beorn, are a people of the upper Vales of Anduin, between Mirkwood and the Misty Mountains. They dwell mostly in the forests, though they keep the Old Ford clear for trade, exacting a toll on merchant caravans for their service.^^As woodsmen, they wield stout sticks and sharp axes, but wear little in the way of armour. Heavier Beorning infantry fight with shields as well. Beorning foresters are skilled bowmen and provide a valuable archer line.
; str_intro_faction_intro_strings_end|faction intro END
; str_gondor_extra_info|Good^^Hard^^Gondor (South-East)^^Prince Imrahil^^Mordor, Umbar, Khand, Harad
str_dwarf_extra_info|Добро^^Легко^^Северный Рованион (Север)^^Король Даин II Железностоп^^Рун, Гундабад
str_rohan_extra_info|Добро^^Средний^^Рохан (Юго-Запад)^^Король Теоден^^Изенгард, Дунланд
str_mordor_extra_info|Саурон^^Легко^^Гондор (Юго-Восток)^^Готмог^^Гондор
str_isengard_extra_info|Саруман^^Легко^^Рохан (Юго-Запад)^^Углук^^Рохан
str_lorien_extra_info|Добро^^Очень Легко^^Южный Рованион (Центр)^^Келеборн^^Мория, Дол Гулдур
str_imladris_extra_info|Добро^^Очень Легко^^Южный Рованион (Центр)^^Лорд Элронд^^Мория, Дол Гулдур
str_woodelf_extra_info|Добро^^Очень Легко^^Южный Рованион (Центр)^^Король Трандуил^^Мория, Дол Гулдур
str_dale_extra_info|Добро^^Средний^^Северный Рованион (Север)^^Король Бранд^^Рун, Гундабад
str_harad_extra_info|Саурон^^Легко^^Гондор (Юго-Восток)^^Вождь Ул-Улкари^^Гондор
; str_rhun_extra_info|Sauron^^Hard^^North Rhovanion (North)^^Jarl Helcaroth^^Dale, Dwarves, Mirkwood, Beornings
; str_khand_extra_info|Sauron^^Easy^^Gondor (South-East)^^Shibh Krukmahur^^Gondor
str_umbar_extra_info|Саурон^^Легко^^Гондор (Юго-Восток)^^Адмирал Тулмир^^Гондор
; str_moria_extra_info|Saruman^^Very Hard^^South Rhovanion (Center)^^Master Bolg the Lesser^^Imladris, Lothlorien
; str_guldur_extra_info|Sauron^^Very Hard^^South Rhovanion (Center)^^Master Fuinur^^Imladris, Lothlorien
; str_gundabad_extra_info|Saruman^^Very Hard^^North Rhovanion (North)^^Master Burza Krual^^Dale, Dwarves, Mirkwood, Beornings
; str_dunland_extra_info|Saruman^^Hard^^Rohan (South-West)^^Chief Daeglaf the Black^^Rohan
; str_beorn_extra_info|Good^^Hard^^North Rhovanion (North)^^Chief Grimbeorn the Old^^Rhun, Gundabad
; str_intro_strings_extra_end|Intro EXTRA END
; str_gundabad_intro|You have come from the far north, from the lands of long-lost Angmar, after receiving tidings of the war to come. For years beyond count you and your folk have broken many dwarf shields with your axes and spears, crushed many broken bodies of men and elves below the claws of your fierce wargs, skinned the hides of the bear-people to wear as furs. The great halls of Gundabad in the Misty Mountains are now yours once again, as they were in the time of Bolg and Azog.^^Many of you have perished over the years, somemany of them slain in these very halls and tunnels - but many still remain. Great sport you have had with the greedy little diggers and their friends, in the past - and greater sport you will have now, when you march upon them and take everything for yourselves!^^Vengeance for Bolg, for Azog, for the Great Goblin - vengeance for the goblins of Gundabad!
str_show_keybinds|Специальные клавиши: ^^ Клавиши построений:^ Шеренга - J ^ Стена щитов - K ^ Клин - L ^ Карэ - ; ^ Отмена построения - U ^^ Приказ сменить тип оружия - O ^^ Переключение типа камеры - CTRL+END ^^ Ралли - V ^^ Позвать лошадь - M ^^ Просмотр приказов / мини-карты - Backspace
; str_tactical_controls|Use the keyboard NUMBERS to select a division. Press 0 to select your entire force.^^Use F1-F4 to order selected divisions. Keep the F1 key down to place selected divisions. One may target an enemy division through this mechanism.^^Pressing the ENTER key often initiates an overhead Strategy Camera.^^Pressing the BACKSPACE key often initiates a Battle Command Display with 'radar.'
; str_division_placement|When ONE division is selected, the center of its front rank is placed at the spot indicated.^^When MANY divisions are selected, they are separated and spread out as if the player were standing at the spot indicated.^^One may memorize the placement of selected divisions relative to the player by pressing F2, F7. Default is infantry to the left, cavalry right, and ranged forward.
str_formations|В Меню Битвы есть следующие формации:^^- РЯДЫ с сильнейшими бойцами спереди^- СТЕНА ЩИТОВ, ряды с щитами спереди и длинным оружием позади^- КЛИН с лучими бойцами на острие^- КВАДРАТ без определённого порядка^- БЕЗ ФОРМАЦИИ^^Даже в последнем случае, игрок может создать формацию до 4 рядов, приказывая ВСТАТЬ ПЛОТНЕЕ соответствующее число раз.
; str_npc18_intro|Great One, hold a moment! I would speak with you!
; str_npc19_intro|Hold a moment, Commander. I would have words with you. No, no, you need not kneel, even though you speak to one of royal blood.
str_npc20_intro|Подожди. Ты. Я уже видел твое лицо. У меня был сон о тебе, но как это может быть ты ? Теперь, когда я увидел тебя своими собственными глазами, я осознал, что ты не больше чем жалкий червяк
str_npc21_intro|Добро пожаловать в Медусельд, воин!
str_npc22_intro|Приветствую, {playername}. Маэ гованнен!
str_npc23_intro|Оставь меня в покое, {незнакомец/незнакомка}. Я не хочу с тобой разговаривать.
str_npc24_intro|Кили, сын Двалина, к вашим услугам!
str_npc25_intro|Добро пожаловать в Дэйл, путник! Чем могу вам помочь?
str_npc26_intro|Тсс! Если ты будешь махать страже, я перережу тебе глотку и отдам варгам!
str_npc27_intro|Ты!
; str_npc18_intro_response_1|A slave in stocks, bound for death, would speak with me? What have you to say?
str_npc19_intro_response_1|Королевская кровь ? Ха! Что заставляет тебя думать, что ты имеешь хотя бы ее каплю 
; str_npc20_intro_response_1|Look here, what do you mean by this, witch? Who are you?
str_npc21_intro_response_1|Приветствую, моя госпожа. С кем я имею честь говорить?
str_npc22_intro_response_1|Приветствую, эльфийский владыка! Большая честь - познакомиться с вами.
str_npc23_intro_response_1|Неужели лесные эльфы приветствуют своих гостей именно таким образом?
str_npc24_intro_response_1|{playername}, к вашим услугам. Как поживает народ Дурина?
str_npc25_intro_response_1|Приветствую. Я размышлял{/а}, есть ли тут добровольцы, желающие присоединиться к нам в наших странствиях.
str_npc26_intro_response_1|Придержи язык, урук, пока дело не дошло до мордобоя. Я не доносчи{к/ца}.
str_npc27_intro_response_1|Кто ты?
; str_npc18_intro_response_2|I will not waste words on a slave bound for death.
str_npc19_intro_response_2|Наглый болван. Уйди с дороги.
; str_npc20_intro_response_2|I have no time for your mad ravings, sorceress.
str_npc21_intro_response_2|Прошу прощения, но у меня есть неотложные дела в другом месте.
str_npc22_intro_response_2|Прошу прощения, у меня есть важный разговор ещё кое с кем.
str_npc23_intro_response_2|Взаимно. Прощай.
str_npc24_intro_response_2|Неважно. Мне нужно подышать свежим воздухом.
str_npc25_intro_response_2|Неважно. Мы просто тут осматриваемся.
str_npc26_intro_response_2|Тогда я просто пойду своей дорогой, а иначе мои пальцы начнут тянуться к рукояти меча.
str_npc27_intro_response_2|[Проигнорировать и уйти]
; str_npc18_backstory_a|I am no mere slave! I am a head-taking warrior, cheated of my rightful place among the ranks! You see that I am a woman, but I am stronger and swifter than many others, and I've outfought more men than I can count. The Pit Master - accursed be he! He set me a test, to fight three men at once. Three!
; str_npc19_backstory_a|A small drop, to be sure, but my dam has told me all about my lineage. I am Heidrek, direct descendant of King Fengel, closer to the throne of Rohan and Dunland than any of our chieftains! Dark is my hair, but I fancy I have more than a strand of yellow in there somewhere.
; str_npc20_backstory_a|In my dream, there was a tree. A tree, all of white. And you, you were there, standing beside it. You placed your hand upon its trunk, and lo, it withered down to its very roots. And the shadow in the sky lengthened, and the air grew heavy. I heard a laughter then, from far away in the east. 
str_npc21_backstory_a|Меня зовут Гальмюне, и я считаю своим долгом знать ваше имя, {playername}. Позвольте объяснить, почему.
str_npc22_backstory_a|Вы могли слышать сказания о моих свершениях в битвах прошлого, забытых смертными людьми. И если смотреть с высоты времён, эта Война - лишь ещё одна опасность для эльдаров. Но всё же это будет Последняя Война.
str_npc23_backstory_a|Простите мне мою самоуверенность, незнаком{ец/ка}, но у нас тут редко бывают гости, а те, что приходят, не выглядят заслуживающими доверия. Всего лишь неделю назад, явился этот гном и... А, неважно. Меня зовут Луэванна, я из лесных эльфов Темнолесья.
str_npc24_backstory_a|Очень вежливо с вашей стороны интересоваться этим, {playername}. Мы отбиваем нашествия истерлингов и гундабадских орков, но пока мы и наши дэйльские союзники не можем с ними справиться.
str_npc25_backstory_a|Уверена, вы можете найти неплохих добровольцев, если поговорите с начальником казарм. Что до меня, то я просто лекарь и травница, и мои навыки весьма скромны.
str_npc26_backstory_a|Молодцом! Меня называют Гулм. Я выпустил кишки своему командиру, и теперь его снаги охотятся за мной.^Жалкая тварь, сам напросился. Однажды мы устроили засаду на разъезд соломенноголовых, а он всё прохлопал: закричал "Отступаем!" - и сбежал. Только Гулм и ещё несколько парней стояли непоколебимо и отбили конную атаку. А потом поколотили дубинками желтоволосых людишек, в мясо, хе-хе-хе. Если бы не мы, настоящие бойцы, всем бы быть едой для червей.
str_npc27_backstory_a|Я Дургаш!
; str_npc18_backstory_b|I prevailed! I defeated them! But... one of them was so weak that he perished from the blows I dealt him. If he had been a simple bondsman, that would have been the end of it. But no. He was one of Great Lord Lurmsakun's many sons, by a lesser wife.
; str_npc19_backstory_b|Well, you will not find any of Rohan or Dunland who will accept my claim, but it is a true one nonetheless. My grand-dam was a herdswoman, living in the hills, and one day it chanced that old King Fengel, the greedy grasping grandfather of Theoden the Pretender, happened to see her on the banks of the Isen. He took a fancy to her, and my dam was his child.
; str_npc20_backstory_b|Do you not know before whom you stand? Ignorant fool. Know that I am Zigûrphel, of ancient Akallabêth - but like as not you know nothing of that name! Know, also, that I seek to redress the wrongs of long ago, the wrongs wrought upon me and my people by the spite of the Valar, they who sank our Great Armament and our home. Ah, Ar-Pharazôn, great and glorious! Shall your vision be unremembered evermore? No, not so long as Zigûrphel lives and has hands to do her work!
str_npc21_backstory_b|Я родилась в знатной семье и была придворной девой госпожи Эовин с тех пор, как мы ещё были маленькими девочками. Наши отцы были достаточно мудры, чтобы позволить нам постигать искусство боя наравне с нашими братьями, чтобы мы стали роханскими девами щита.
str_npc22_backstory_b|Владыка Эльронд отправил меня послом к владыке Келеборну, чтобы я предоставил ему помощь и совет. Здесь, в этой части Рованиона, это нужно.
str_npc23_backstory_b|Я люблю ходить тайными тропами нашего прекрасного леса. Иногда я беззвучно продвигаюсь меж деревьев и наблюдаю за жизнью лесных животных. Песня редкой птицы, логово дикого вепря - для меня всё это так же прекрасно, как звон оружия и великие чертоги для аданов. 
str_npc24_backstory_b|Я помогаю в усилении эреборских укреплений, а также тренирую молодых гномов, под руководством моего досточимого отца Двалина. Таков наш обычай.
str_npc25_backstory_b|Я вылечила короля Бранда от запора, обычного недуга для людей, идущих на войну. Слабый отвар полыни - и сразу же и кишки, и ум приходят в норму.
str_npc26_backstory_b|И тогда я сказал себе: "Гулм, ты ведь не хочешь стать падалью?" И я ответил: "Нет".^Во время следующей битвы я отступил, прикинувшись раненым. Потом, пока никто не видел, я напал на своего командира! Почти разрубил его надвое, гарр! Потом хорошенько порезал его прихвостня-снагу...^^Но так вышло, что этот слизняк как-то выжил - и начал чесать языком обо всём этом. В следующий раз я уже постарался, чтобы он остался без башки, гарр...
str_npc27_backstory_b|Я волчий всадник Изенгарда и следопыт.
; str_npc18_backstory_c|And so here I am, cursed at and spit upon, condemned to die for being mightier than the dogs who mock me! Free me, Great One. Free me, speak for me - and my strength is yours. My blade is yours. My life is yours!
; str_npc19_backstory_c|Naturally, Chief Daeglaf and the rest wish to give me no chance at all for glory, for if I were to perform great deeds in battle, it would lend wings to my claim. Men would flock to my banner then! Your fame runs before you, Commander. If you will allow me to serve under your banner, I can perform those great deeds for you.
; str_npc20_backstory_c|O Akallabêth, where are you now? Faded, all faded away... Where there once was light, the glory of our nation that was great above all others, now there is only the Shadow. My beautiful home now knows the eternal silence of the sea. But my heart is still full of fire, and dark beasts run wild within it. I know potent arts that you and your kind have never even imagined. Hearken unto me, now! Will you beg for my aid, as you should, or will you go from here skulking, like a worm? Choose swiftly!
str_npc21_backstory_c|Вам, наверно, известно, что женщины, даже обученные бою, не могут вступить в эоред. Однако я не думаю, что сидеть у домашнего очага и ждать возвращения мужчин с войны - моя судьба. Я не буду сидеть сложа руки, покуда в этой Войне можно совершать подвиги. И мне бы пригодилась ваша помощь, {господин/госпожа}.
str_npc22_backstory_c|Однако, поскольку враги Лотлориэна покуда отброшены, я думаю присоединиться к вам, {playername}. Я чувствую, что наши пути в этой Войне переплетены.
str_npc23_backstory_c|Думаю, вам этого не понять, вы же к войне готовитесь... Но вы, должно быть, много и далеко путешествовали - не доводилось ли вам видеть другие великие леса? Не могли бы вы взять меня с собой и привезти туда?
str_npc24_backstory_c|В войне сейчас наступило затишье, что плохо подходит гномьему воину с такими нравами и родословной, как у меня. Я так понимаю, вам придётся повстречать в ваших странствиях куда больше приключений, да ещё вы являетесь союзником гномов? Уверен, боец-гном значительно увеличит ваши шансы на выживание.
str_npc25_backstory_c|Я слышала, везде кругом полыхает война, но наши земли пока, к счастью, избавлены от этого. По царапинам на вашей броне я вижу, что вы много раз бывали в опасности. Может быть, мои скромные умения больше пригодятся в вашем отряде - и так будет лучше для всех нас?
str_npc26_backstory_c|Я бойцовый урук-хай, я берсерк! Всё, что нужно знать о том, как убивать людишек, я знаю. Я был в услужении у Белой Длани, но теперь Длань наверняка бросит меня в огненные ямы.^^Я пойду с вами и буду охотиться за людьми на юге, пока изенгардские снаги скрежещут зубами.
str_npc27_backstory_c|Наверно, вы можете стать моим новым хозяином.
; str_npc18_backstory_later|I have been fortunate, I suppose, that Great Lord Lurmsakun has been occupied elsewhere. His intendants have left me here to rot. But my destiny is not to die as a prisoner! Have you come to grant me my rightful death on the battlefield?
; str_npc19_backstory_later|Ho there! You have returned, as I knew you would. My hands are kept idle by my jealous chiefs. Let us speak, Commander! I would follow you, and fight in your ranks to win for myself renown.
; str_npc20_backstory_later|You trouble my dreams still! Will you give me no peace? My dreaming eye sees deep and far. Here in Dol Guldur I still have visions of your works. I say this: if you were wise, you would have asked for my aid again ere now.
str_npc21_backstory_later|Всё больше всадников возвращается с ранами и увечьями, и я пытаюсь помогать им - там, где могу. Но я по-прежнему чувствую себя, как в клетке.
str_npc22_backstory_later|Вы передумали? Время эльдаров на исходе.
str_npc23_backstory_later|Пару дней я наблюдала за гнездом гигантских пауков. Поначалу они кажутся отвратительными существами, но всё же они не подпускают незваных гостей. Вы пришли, чтобы позвать меня с собой?
str_npc24_backstory_later|Строительство укреплений - достойное занятие для любого гнома. Но я бы хотел найти дело и для моей секиры. И поскорее. Давайте я пойду с вами.
str_npc25_backstory_later|Я нанесла ещё один визит нашему королю - на сей раз его рвало. Надеюсь, его решимость вступить в бой с врагом не повлияет на его режим. Режим надо сюблюдать. А вы не страдаете от запоров и рвоты?
str_npc26_backstory_later|Чем, по-вашему, я занимаюсь? Гулм просто сидит тут и ждёт, пока какой-нибудь подлый снага не пришьёт его в темноте. Возьмите меня с собой: я хорошо послужу вам.
str_npc27_backstory_later|Вы передумали? Я буду хорошо служить.
