
str_yes|Si.
str_npc25_backstory_a|Di sicuro potrai trovare buoni volontari se parlerai al comandante nelle caserme. In quanto a me, non sono che una guaritrice, un'erborista di modesto livello.
str_npc26_backstory_a|Buon per te ! Mi chiamano Gulm. Ho sgozzato il mio sergente e il suo snaga ora mi dà la caccia. Quell'inutile maialino salterà fuori prima o poi ! Una volta abbiamo subito un agguato da parte di una pattuglia di teste di paglia.. ed è riuscito a perdere lo scontro. "Ritirata !" gridava, e poi è scappato. Solo io, Gulm e pochi altri, noi siamo restati al nostro posto a respingere la loro carica di cavalleria. Poi abbiamo preso a bastonate i capelli gialli fino a farne poltiglia (heh heh heh). Ma se non fosse stato per noi, i forti, tutti saremmo cibo per i vermi !
str_npc27_backstory_a|Io sono Durgash !
str_npc18_backstory_b|Ho prevalso ! Li ho sconfitti ! Ma... Uno di loro era così debole che è perito a causa dei colpi che gli ho inferto. Se si fosse trattato di un semplice servitore, la questione non avrebbe avuto seguito. Invece no. Era uno dei tanti figli del Gran Lord Lurmsakun, avuto da una delle sue mogli minori.
str_npc19_backstory_b|Beh, non troverai nessuno in Rohan o nel Dunland che accetti le mie rivendicazioni, tuttavia è legittimo. Mia nonna era una mandriana, viveva sulle colline e un giorno capitò che il vecchio re Fengel, l'ingordo e avido nonno di Theoden il Pretendente, la vide sulle rive dell'Isen. S'incapricciò di lei e mia madre era sua figlia.
str_npc20_backstory_b|Non sai chi hai di fronte ? Sciocco ignorante. Sappi che io sono Zigûrphel, dall'antica Akallabêth - ma tu non sai niente di questo nome ! Sappi, inoltre, che lotto per rimediare ai torti subiti dal mio popolo anticamente, i torti perpetrati contro di me e la mia gente per il livore dei Valar, coloro che distrussero la nostra Grande Armata e la nostra casa. Ah, Ar-Pharazôn, grande e glorioso ! Potrà la tua sagacia essere dimenticata ? No, non fino a quando Zigûrphel  vivrà e avrà braccia per fare il suo lavoro !
str_npc21_backstory_b|Sei un duro, vero ? (*sospira*) Il mio nome è Berta. Mi davano una banda di razziatori, nelle Montagne Nebbiose, i ladri goblin più cattivi in circolazione, sai. Quelli si che erano bei tempi.. Poi ci siamo imbattuti in un gruppo di quei selvaggi di Gundabad. Ho alzato un po' il gomito, giocato d'azzardo.... Il mattino dopo mi sono ritrovata legata come un salame, i miei ragazzi dispersi nel vento. Ora spacco rocce e porto carichi in giro. Qualche volta mi fanno guadagnare qualcosa raccogliendo rottami.
str_npc22_backstory_b|Lord Elrond mi ha inviato come emissario da Lord Celeborn, per avvisare che è richiesto il suo intervento in guerra in questa parte del Rhovanion.
str_npc23_backstory_b|Mi piace percorrere i sentieri nascosti nella nostra splendida foresta. Alle volte passeggio tranquillamente fra gli alberi e osservo la vita dei molti animali del bosco. Il canto di un raro volatile o i rumori di un cinghiale nella sua tana, sono per me belli come il clangore delle armi o le alte mura di Edain.
str_npc24_backstory_b|Ho collaborato al rinforzamento delle difese di Erebor e addestrato qualche giovane nano di queste zone, sotto la direzione del mio venerato padre Dwalin, com'è nella nostra tradizione.
str_npc25_backstory_b|Ho curato il  mio Re Brand per la sua costipazione, un malessere comune che affligge gli uomini che vanno in guerra. Una leggera bevanda a base di assenzio, e sia le viscere che la mente tornano a loro agio.
str_npc26_backstory_b|Così mi sono detto, 'Gulm, vuoi finire come una carogna morta sul campo?' E mi sono risposto, 'No!'. Nella battaglia successiva mi sono gettato a terra fingendo di essere ferito. Poi, quando nessuno guardava, sono piombato sul mio sergente ! L'ho quasi tagliato in due, gharr ! Poi ho tagliuzzato per bene il suo secondo.. È saltato fuori che quel rettile sanguinante in qualche modo è sopravvissuto, e ha iniziato a raccontare tutto. La prossima volta mi assicurerò che la sua testa sia staccata dal collo, gharr...
str_npc27_backstory_b|Sono un cavalca-lupi di Isengard e so seguire le tracce.
str_npc18_backstory_c|E ora eccomi qui, maledetta e disprezzata, condannata a morire solo perché sono più forte dei cani che mi deridono ! Liberami, tu che sei grande. Liberami, parla in mio favore - e la mia forza sarà tua. La mia spada sarà tua. La mia vita sarà tua !
str_npc19_backstory_c|Naturalmente, il Capo Daeglaf e gli altri non vorrebbero concedermi alcuna occasione per ottenere gloria, perché se dovessi compiere grandi azioni in battaglia, le mie rivendicazioni verrebbero prese sul serio. Allora gli uomini si affollerebbero sotto il mio stendardo ! La tua fama ti precede, Comandante. Se mi permetterai di servirti sotto il tuo confalone, posso compiere grandi gesta per te.
str_npc20_backstory_c|O Akallabêth, dove sei ora ? Svanito, è tutto svanito... Dove un tempo c'era la luce, la gloria della nostra nazione che una volta era grande in mezzo alle altre, ora c'è solo l'Ombra. La mia splendida casa ora conosce l'eterno silenzio del mare. Ma il mio cuore è ancora pieno di fuoco, e oscure creature si scatenano al suo interno. Conosco arti potenti che tu e la tua stirpe non avete mai immaginato. Ascoltami ora ! Supplicherai me per ottenere il mio aiuto, come dovresti, o fuggirai da qui nascondendoti come un verme ? Decidi in fretta !
str_npc21_backstory_c|Ascoltami ! Se sei davvero un osso duro che sa comandare, forse potresti andare a parlare con capo e pagare quello che devo, no ? Penso che potrei unirmi alla tua banda. Vedere il mondo, sbranare qualche pecora... (*si lecca le impressionanti zanne*).
str_npc22_backstory_c|Tuttavia, se i nemici di Lothlórien sono sul piede di guerra, dovrei considerare di unirmi a te per un periodo di tempo, {playername}. Percepisco che i nostri destini in questa guerra s'intrecciano.
str_npc23_backstory_c|Vedendoti preparato per la guerra, non capiresti, credo. Ma devi aver viaggiato in lungo e in largo - hai mai visto le altre grandi foreste ? Puoi condurmici ?
str_npc24_backstory_c|C'è una pausa nel combattimento che mal si adatta ad un guerriero nano della mia discendenza e temperamento. Sbaglio o si vede molta più azione nei tuoi viaggi, e la tua causa è favorevole a quella dei nani ? Posso dirti per certo che avere un nano aumenta grandemente le possibilità di sopravvivenza.
str_npc25_backstory_c|Ho sentito dire che ci sono combattimenti altrove e che le nostre terre fortunatamente ne sono escluse, per ora. Dai graffi sulla tua armatura intendo che ti sia trovato in pericolo molte volte. Forse le mie umili competenze potrebbero trovare miglior impiego nella tua compagnia, per il beneficio di tutti.
str_npc26_backstory_c|Sono un Uruk-Hai combattente, e un berserker ! Quello che c'è da sapere per uccidere gli uomini, io lo so. Servivo la Mano Bianca, ma ora la Mano è come se mi volesse gettare nel fuoco. ^^Verrei con te a cacciare gli uomini nel sud, mentre gli snagas di Isengard digrignano i loro denti.
str_npc27_backstory_c|Forse puoi essere il mio nuovo capo.
str_npc18_backstory_later|Ho avuto fortuna, suppongo, che il Grande Lord Lurmsakun sia stato impegnato altrove. I suoi attendenti mi hanno lasciato qui a marcire. Ma il mio destino non è quello morire in prigionia ! Sei qui per concedermi la morte che mi spetta su un campo di battaglia ?
str_npc19_backstory_later|Ehilà ! Sei di ritorno, come sapevo avresti fatto. Le mie mani sono rimaste inoperose per colpa della gelosia dei miei capi. Parliamo, Comandante ! Ti seguirò e combatterò nelle tue fila per ottenere fama.
str_npc20_backstory_later|Continui a turbare i miei sogni ! Non mi darai mai pace ? Il mio occhio sognante vede le tue opere. Qui a Dol Guldur ho ancora visioni di ciò che fai. Ti dico questo: se avessi saggezza, avresti chiesto il mio aiuto ben prima di ora.
str_npc21_backstory_later|Guarda un po' cos'ha portato il gatto ! Buon per te, allora no ? Te la sei spassata ad andartene in giro senza catene che imprigionassero vicino a una roccia !? Non era tanto bello ! Che ne pensi di andare a parlare bene di me al capo ? Meglio adesso che dopo.
str_npc22_backstory_later|Ci hai ripensato ? Il tempo per gli Eldar sta per terminare.
str_npc23_backstory_later|Ho tenuto d'occhio un nido di ragni giganti per un paio di giorni. Creature orrende, a prima vista, ma tengono a bada gli intrusi. Vorresti chiedermi di viaggiare con te ?
str_npc24_backstory_later|Costruire mura difensive è degno di ogni nano. Ma ho bisogno di usare la mia ascia. Fammi venire con te.
str_npc25_backstory_later|Sono accorsa di nuovo al capezzale del nostro Re, stavolta vomitava. Spero che la sua volontà di impegnarsi con il nemico non sia correlata alle sue condizioni. Mi auguro che tu non soffra di vomito e stitichezza.
str_npc26_backstory_later|Cosa pensi che faccia ? Gulm sta qui in attesa di qualche subdolo snaga da colpire nel buio. Portami con te - ti servirò bene.
str_npc27_backstory_later|Ci hai ripensato ? Servirò con onore.
str_npc18_backstory_response_1|Se davvero sei feroce come sembri, forse potresti combattere per me. Dopo averti dato un po' da mangiare, naturalmente.
str_npc19_backstory_response_1|Molto bene. Fintanto che potrai combattere nelle linee di battaglia, sarai utile, Dunlandiano.
str_npc20_backstory_response_1|Strano modo di chiedere di unirti a me, strega. Ma va bene, puoi venire.
str_npc21_backstory_response_1|Di certo sei grande e grosso e sembra che tu te la riesca a cavare da solo. Potrei aver bisogno di te.
str_npc22_backstory_response_1|Forse potrei sembrare presuntuoso a chiederlo, ma la mia compagnia potrebbe fare buon uso delle tue abilità nelle prossime battaglie.
str_npc23_backstory_response_1|Noi viaggiamo per il mondo, ma per difendere tutto ciò che è giusto affrontiamo il nemico.
str_npc24_backstory_response_1|Certo, un guerriero nano sarebbe il benvenuto nella mia compagnia.
str_npc25_backstory_response_1|In effetti potremmo avvalerci di una guaritrice..
str_npc26_backstory_response_1|Mi rendo conto che potremmo fare buon uso di un feroce guerriero.
str_npc27_backstory_response_1|Lo farai.
str_npc18_backstory_response_2|Bah ! Un cane omicida dell'Arena non è adatto ad essere fra i miei commilitoni.
str_npc19_backstory_response_2|Tu parli di grandi imprese. Va a compierne qualcuna che sia tua, prima di avvicinarti di nuovo a me !
str_npc20_backstory_response_2|Bah ! Immagino che abbai peggio di come mordi. Ho del lavoro da fare !
str_npc21_backstory_response_2|Butta male, troll. Non posso permettermi di contrattare per quelli come te.
str_npc22_backstory_response_2|Tornerò quando Lothlórien sarà più sicura.
str_npc23_backstory_response_2|No, scusa. Non possiamo portarci un parassita.
str_npc24_backstory_response_2|No, scusa. Ce la caviamo da soli.
str_npc25_backstory_response_2|No, scusa. Visitiamo guaritori solo quando ne abbiamo bisogno.
str_npc26_backstory_response_2|Bah. Non mi fido dei traditori.
str_npc27_backstory_response_2|Non ho bisogno di te, schiavo.
str_npc18_signup|Oh, poter affondare ancora i denti nella carne ! Vedrai ben presto il mio coraggio, una volta che le mie mani e i miei piedi saranno liberi e avrò la pancia piena !
str_npc19_signup|Si, puoi chiamarmi in questo modo per adesso, visto che non mi vergogno del mio sangue Dunlandiano. La mia gente ha sofferto molto sotto i re tiranni di Rohan, e non mi sento affatto un loro parente. Ti aiuterò in questa guerra, e in ogni tuo sforzo. Ma in cambio, Comandante, dovrai aiutare me a far valere le mie rivendicazioni, quando arriverà il momento.
str_npc20_signup|Sorvolerò ancora sulla tua superbia, ma sappi che un giorno dovremo parlare. Forse allora, potremmo trovarci entrambi al cospetto del Signore Oscuro, che un tempo conoscevo sotto altro nome, e allora vedremo chi ascolterà. Forse avrò modo d'insegnarti le buone maniere.
str_npc21_signup|Ora si che stai parlando ! Va dal capo e tirami fuori da questo buco.
str_npc22_signup|Lo vedo. Ammetto di aver sentito di te e delle tue imprese.
str_npc23_signup|Disprezzo la violenza e le armi di una guerra, ma so come difendermi se le cose si mettono male.
str_npc24_signup|Sono abile nell'uso dell'ascia, sia da impugnare che da lanciare. Posso anche mantenere basse le spese, se mi lasci parlare con i mercanti. Ho anche buon occhio nel trovare le spoglie migliori dai nemici caduti sul campo di battaglia.
str_npc25_signup|Davvero ? Bene allora, devo solo raccogliere le mie erbe e le mie ricette.
str_npc26_signup|Un Uruk che combatte vale più di tutti i tuoi snaga. Un Uruk che combatte non scappa mai dalla battaglia.
str_npc27_signup|Davvero ? Faresti bene ad arruolarmi.
str_npc18_signup_2|Una volta mia madre mi disse che ero nata per tagliare a pezzi tanti nemici. Per te, io ucciderò molti flaccidi dell'Ovest. Metti solo una buona lama fra le mie mani, e io farò il resto.
str_npc19_signup_2|Combatto come fa la mia gente, come i lupi nella notte - posso lanciare un giavellotto, o piazzare una picca nel petto di un cavaliere in carica. Tolgo brani di carne con l'ascia o la spada. Con te parlerò apertamente: Non m'importa se offri maggiore servizio all'Occhio o alla Mano Bianca. Sono tutti la stessa cosa per me, purché possa sedermi legittimamente sul trono nel Palazzo d'Oro.
str_npc20_signup_2|Ma per adesso, lascia che le mie capacità cresciute in lunghi anni siano sottomesse al tuo servizio. Sappi questo: con l'aiuto di Zigûrphel, sei come un drago sorto dalle profondità di Utumno. Grandi cose farò per te e per i tuoi fini, benché tu possa non comprenderle !
str_npc21_signup_2|Sarò proprio dietro di te, non preoccuparti.
str_npc22_signup_2|Forse unendomi alla tua compagnia e colpendo duro dove non se l'aspetta, il nemico sarà sbilanciato. Verrò.
str_npc23_signup_2|Forse posso insegnarti a muoverti più rapidamente e a produrre meno rumore. Andiamo.
str_npc24_signup_2|Se sarai in grado di tenere in riga i tipi alti nella tua compagnia, specialmente gli Elfi, sarò lieto di unirmi a voi.
str_npc25_signup_2|Ti devo avvertire, sono abbastanza scarsa in battaglia. Tuttavia, sono sicura che sarai in grado di proteggere una donna della mia età.
str_npc26_signup_2|Però devi decidere rapidamente, le guardie si stanno insospettendo.
str_npc27_signup_2|Non ti pentirai di avermi scelto.
str_npc18_signup_response_1|Mi piace il tuo spirito. Molto bene, metterò una buona parola con Lurmsakun a tuo favore.
str_npc19_signup_response_1|Bene, allora, 'Principe', prendi le tue armi. Combatti per me, adesso.
str_npc20_signup_response_1|Voglio sperare, per il tuo bene, che le tue parole non siano solo vanagloria. Non deludermi, Zigûrphel.
str_npc21_signup_response_1|Benissimo, vedremo se hai la stoffa necessaria.
str_npc22_signup_response_1|Saremmo onorati di avere nella nostra compagnia un Signore degli Elfi.
str_npc23_signup_response_1|Molto bene. Spero che non scapperai dal primo orco che incontreremo.
str_npc24_signup_response_1|Molto bene, Mastro Nano, sei il benvenuto fra noi.
str_npc25_signup_response_1|Sarai al sicuro con noi, te lo prometto. Ce ne andremo a breve.
str_npc26_signup_response_1|Molto bene. Fa come hai detto e ti nutrirò bene.
str_npc27_signup_response_1|Molto bene. Andiamo.
str_npc18_signup_response_2|Sei crudele... Forse troppo crudele. Ancora un po' di tempo ai ceppi e forse imparerai l'obbedienza.
str_npc19_signup_response_2|Dovrai sederti su queste balle di fieno ancora per un po ', "Principe".
str_npc20_signup_response_2|Con le tue spacconerie mi hai fatto venir male alle orecchie. Doma la tua lingua prima di parlare ancora con me !
str_npc21_signup_response_2|Non ho bisogno di te per il momento.
str_npc22_signup_response_2|Ripensandoci, forse dovremmo aiutare Lothlórien per conto nostro.
str_npc23_signup_response_2|Mi spiace, ma non riesco ad immaginarti su un campo di battaglia.
str_npc24_signup_response_2|Mi spiace, si da il caso che mi piacciano gli Elfi.
str_npc25_signup_response_2|Mi spiace, tutti combattono nella mia compagnia.
str_npc26_signup_response_2|Ho cambiato idea. Chiunque ti cerchi potrebbe venire per me, la prossima volta.
str_npc27_signup_response_2|Ho cambiato idea.
str_npc18_payment|Di certo, una persona forte al comando della tua statura deve dire solo una parola, e mi libereranno. [costo {reg14} Punti Influenza di {s14}]
str_npc19_payment|A quanto pare Daeglaf il Nero cerca pretesti per tenermi qui, Comandante. [costo {reg14} Punti Influence con {s14}]
str_npc20_payment|Piuttosto, sei tu che dovresti fare del tuo meglio per non deludere me o il Padrone che entrambi serviamo. Hai fatto progressi nell'ottenere la sua stima? [costo {reg14} Punti Influenza con {s14}]
str_npc21_payment|Parlando di "valore", quel mio piccolo debito potrebbe non essere così piccolo, se capisci cosa intendo. E il capo potrebbe provare a ingannarti, quindi fa attenzione ! [costo {reg14} Punti Influenza con {s14}]
str_npc22_payment|Dovremmo farcela in fretta. L'utilità del mio arrivo sarà diminuita se il nemico si accorge della mia presenza prima di averli raggiunti. Anche Lothlórien ha bisogno di me qui. [Costo: {reg14} Punti influenza di {s14}]
str_npc23_payment|Vorrei unirmi a voi, ma il mio posto è qui. [Costo: {reg14} Punti Influenza di {s14}]
str_npc24_payment|Vorrei unirmi a te, ma temo che mio padre Dwalin non comprenderebbe il motivo per cui lascio la città nel momento del bisogno. [Costo: {reg14} Punti Influenza di {s14}]
str_npc25_payment|Tuttavia, non posso abbandonare i miei incarichi, il mio Re ha ancora bisogno di me. Sono anche in ansia per la sua salute. [Costo: {reg14} Punti Influenza di {s14}]
str_npc26_payment|Vorrei partire con voi, ma le guardie al cancello non mi farebbero passare. Fidati, ho provato. [Costo: {reg14} Punti Influenza di {s14}]
str_npc27_payment|Vorrei unirmi a voi, ma il mio posto è qui. [Costo: {reg14} Punti Influenza di {s14}]
str_npc18_payment_response|Non ho dubbi su questo. I sottoposti di Lurmsakun non oseranno rifiutarmi. [costo {reg14}/{reg15} Punti Influenza]
str_npc19_payment_response|Il capo Daeglaf dovrà cedere di fronte al mio volere, una volta che l'avrò reso chiaro. [costo {reg14}/{reg15} Punti Influenza]
str_npc20_payment_response|In effetti li ho fatti. Vieni ora ! Non è, dopo tutto, uno snaga da niente che seguirai. [costo {reg14}/{reg15} Punti Influenza]
str_npc21_payment_response|Qualunque cosa abbia in mente di fare, tu verrai con me. [costo {reg14}/{reg15} Punti Influenza]
str_npc22_payment_response|Fidati di me, sarai più utile al mio fianco. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc23_payment_response|D'ora in avanti, obbedirai a me. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc24_payment_response|Il Maestro Dwalin comprenderà che un nano degno di combattere non può essere tenuto lontano dai suoi nemici troppo a lungo. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc25_payment_response|Il benessere del Re è importante, ma salverai più vite con me. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc26_payment_response|Oh, ma le guardie non oseranno fermarti, se sei con me. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc27_payment_response|D'ora in avanti, obbedirai a me. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc18_morality_speech|Oh Grande ! La mia sete di sangue non si è estinta ! Perché dovremmo {s21}, come vigliacchi ? Lascia che li combatta !
str_npc19_morality_speech|Comandante, trovo molto disdicevole che noi {s21}. Un re quale sono dovrebbe essere sempre munifico, ma se le dispense sono vuote non ho nulla da dare, e i nostri soldati diserteranno.
str_npc20_morality_speech|Vorrei poter dire che mi aspettavo di più da te, Comandante, ma sarebbe una bugia. Attenzione, il voler fare di testa tua potrebbe creare problemi ai disegni dei tuoi superiori !
str_npc21_morality_speech|Ascolta qui, capo. Una compagnia di razziatori che si rispetti non può semplicemente {s21} lasciando i ragazzi con lo stomaco vuoto che brontola ! E il mio.... Guarda come s'è gonfiato ! Potrei semplicemente andare a sgranocchiare un po' uno di quelli più piccoli - un dito, una gamba magari...
str_npc22_morality_speech|Devi riconsiderare le tue azioni, comandante. {s21} non ci rende più onorevoli dei nostri nemici e riduce la fiducia dei nostri alleati.
str_npc23_morality_speech|[Nessun codice morale primario]
str_npc24_morality_speech|Non ho gradito la tua decisione di {s21}. Cadere in battaglia è un onore per ogni nano con la testa sulle spalle, ma combattere in una compagnia guidata da un codardo è una vera disgrazia. Cosa diranno i miei cugini, se dovessero venirlo a sapere ?
str_npc25_morality_speech|Comandante, devo obiettare. {s21} lo trovo inutilmente crudele. Faccio quello che posso per alleviare le loro sofferenze, ma ti prego di non fare altri dispendiosi errori.
str_npc26_morality_speech|Gli Uruk-Hai combattenti decidono mai di {s21}. Se il capo mostra poco coraggio, potrebbe trovarsi solo nel cuore della notte. Gulm ha parlato.
str_npc27_morality_speech|[Nessun codice morale primario]
str_npc18_2ary_morality_speech|Non mi sono unito a te per {s21}, oh Grande, ma per sguazzare nel sangue dei nostri nemici ! Puoi fare uso della tua strategia per adesso, ma dammi presto un buon massacro, ti prego !
str_npc19_2ary_morality_speech|[Nessun codice morale secondario]
str_npc20_2ary_morality_speech|Ah, il nostro potente Comandante. Dici di aver compiuto grandi gesta? Mi chiedo quanti altri in battaglia sono finiti allo stesso modo, correndo avventatamente fra le fauci del nemico, solo per poi  scappare in tutta fretta.
str_npc21_2ary_morality_speech|Ora, dov'è la roba da mangiare, eh ? Hai bisogno di aiuto per contare i fagioli ? Un vero capo mi porterebbeun bel cosciotto d'agnello succoso, o un nano gustoso. Povero me, sono bloccato con te invece. 
str_npc22_2ary_morality_speech|[Nessun codice morale secondario]
str_npc23_2ary_morality_speech|[Nessun codice morale secondario]
str_npc24_2ary_morality_speech|[Nessun codice morale secondario]
str_npc25_2ary_morality_speech|[Nessun codice morale secondario]
str_npc26_2ary_morality_speech|[Nessun codice morale secondario]
str_npc27_2ary_morality_speech|[Nessun codice morale secondario]
str_npc18_personalityclash_speech|Oh Grande, se consideri Varfang un guerriero, ti prego di tenerlo il più lontano possibile da me. L'ho già avvertito che le sue mani non possono andare dove non devono, altrimenti gliele taglierò e le darò in pasto al suo cavallo.
str_npc19_personalityclash_speech|Comandante, mi meraviglio che tu mantenga al tuo servizio una creatura di basso livello come Ufthak. Certo, gli orchi come quello sono feccia utile come scudo per le frecce a protezione dei nostri veri guerrieri, ma si aggira per il campo dando ordini a uomini e orchi, come se fosse uno che ha autorità. Spero che non ti mancherà troppo se lo uccido. O forse potrei limitarmi a tagliargli quel naso orrendo..
str_npc20_personalityclash_speech|Quel Sudrone di Lykyada dovrebbe imparare le buone maniere e che gli venisse insegnata un po' d'umiltà. Insolente è la sua lingua, e troppo orgoglioso il suo portamento ! Non m'importa che sia il capitano dei suoi - sono solo una sciocca razza inferiore, in ogni caso, lenti a riconoscere la grandezza o ad inchinarsi davanti ai loro superiori come dovrebbero ! Se solo sapesse anche una piccola parte di quello che potrei fargli...
str_npc21_personalityclash_speech|Cavolo capo, ma quella pazza pazza ripugnante è un po' fuori di testa, non è vero ? Puoi andarle a dire che ha cucinato un corvo di troppo in quel suo calderone, quello che mi tocca portare sulla schiena stando agli ordini di Sua Signoria. E diamine se non mi guarda dalla punta del naso come se fossi un pezzo di sterco, quando la sua testa non mi arriva nemmeno all'ombelico ! Ce n'è abbastanza da farmi desiderare che la sua zucca e il mio pugno si incontrino. Ma l'ho vista prima, sì, l'ho vista. Stava insieme a quelli come lei, magari vorresti un paio d'occhi che le vadano dietro, non sarebbe male controllarla.
str_npc22_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc23_personalityclash_speech|{playername}, ho appena visto {s11} camminare sfacciatamente sopra al nido di uccelli appena nati. La sua goffaggine ha distrutto le vite di quelle creature innocenti.
str_npc24_personalityclash_speech|Signore, {s11} si comporta bene in battaglia, ma mi chiedo: acceca il nemico con i riflessi dei suoi capelli ? O cadono nel timore della sua fama o di fronte alla forza della sua presunzione ?
str_npc25_personalityclash_speech|Comandante, devo presentare un reclamo contro {s11}. Continua ad importunarmi perché gli prepari una certa bevanda chiamata 'la Fata Verde'.
str_npc26_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc27_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc18_personalityclash_speech_b|Oh Grande, vorrei chiedere, che prezzo ha il sagnue di Varfang? Se capitasse che ne uccidessi o mutilassi uno, ti pagherei un risarcimento. Mi stava fissando durante la battaglia, leccandosi quelle labbra carnose. Se mi guarderà ancora, gli caverò gli occhi e glieli darò da mangiare.
str_npc19_personalityclash_speech_b|Come mi aspettavo, l'orco codardo che si definisce Ufthak ha poco valore in battaglia. Si nasconde dietro le linee di battaglia, facendo il mimimo indispensabile per aiutare i suoi simili. La tua causa - e la mia lotta per il trono - non avranno un gran supporto dalla sua specie, penso.
str_npc20_personalityclash_speech_b|Se le mani di Lykyada non ci fossero utili, Comandante, le avrei già strappate dalle sue braccia. Come sai ho l'abitudine di passare fra i nemici caduti dopo una battaglia - c'è un grande potere nella paura e nel dolore dei morenti per chi ha l'arte di percepire queste cose, anche se nessuno di voi ne è a conoscenza. Eppure lui, quel Sudrone dalla carnagione scura, si aggira concedendo il dono di una rapida morte a quelli con ferite troppo profonde per essere curate. Quel granello di misericordia nel suo cuore mi impedisce di crogiolarmi nello splendore mortale dei caduti ! Quant'è importante per te il suo onorarti, mi chiedo?
str_npc21_personalityclash_speech_b|Io odio {s11}.
str_npc22_personalityclash_speech_b|Io odio {s11}.
str_npc23_personalityclash_speech_b|Le sue maniere da nano gli sono utili sotto terra, sebbene mi meravigli che non sia caduto giù da qualche dirupo. Forse sarebbe stato meglio.
str_npc24_personalityclash_speech_b|Ci sarebbe più utile un eroe dei nani, qualcuno come Durin l'immortale dei tempi che furono, e che gli elfi si pavoneggino pure nelle loro foreste..
str_npc25_personalityclash_speech_b|Viene ricavato dall'assenzio maggiore che viene immerso nel liquore e a quanto pare è apprezzata dai menestrelli e dai vagabondi per vedere cose che non ci sono. Dubito che gradiresti vedere i tuoi soldati inseguire cose per aria sul campo di battaglia, anche se sarebbe molto divertente da vedere.
str_npc26_personalityclash_speech_b|Io odio {s11}.
str_npc27_personalityclash_speech_b|Io odio {s11}.
str_npc18_personalityclash2_speech|Gulm non è solo una bestia traditrice, oh Grande - è orgoglioso di esserlo. Ci ha raccontato di nuovo la sua storia intorno al fuoco la scorsa notte e si è vantato della sua pessima azione. Faresti bene a tenere d'occhio quella creatura, oh Grande. Se può tradire i suoi comandanti mentre serve la Mano Bianca, cosa gli impedirà di fare lo stesso con te?
str_npc19_personalityclash2_speech|Io detesto {s11}
str_npc20_personalityclash2_speech|Ogni volta che il mio sguardo si posa su Fuldimir, mi sale in cuore una rabbia senza nome. No, no, non è per qualcosa che abbia fatto. Ma lui e il suo popolo, quei cani di mare di Umbar, sono indegni di natura. Osano definirsi eredi degli antichi Anadûnê * ma naturalmente, dicono 'Númenor' senza sapere di cosa parlano. Certo, immagino che solo una goccia di vero sangue potrebbe trovarsi nelle vene di Fuldimir ! Forse, se lo potessi risparmiare, potrei verificarlo di persona...
str_npc21_personalityclash2_speech|Stavo pensando, capo: come si uccide una strega ? Senza diventare un mucchio di lumache, intendo. Quel vecchio pipistrello mi ha rifilato di nuovo il malocchio e mi ha fatto accapponare la pelle per tutto il giorno. Mi sento male dentro ! Sono 'pronto a spaccare teste e rompere scudi con un colpo solo, ma cosa fa LEI alle teste che ho fatto fracassare, quando nessuno sta guardando !? Non gioco con il cibo, non così. Mi fa venire i brividi, quella.
str_npc22_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc23_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc24_personalityclash2_speech|Proprio un bella zuffa, eh capitano ? Anche se leggermente rovinata dalla condotta di quella donna Elfo {s11}.
str_npc25_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc26_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc27_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc18_personalityclash2_speech_b|Quella creatura deforme, Gulm, farebbe meglio a proteggersi il collo, o glielo taglierò ! Stavo per uccidere un nemico, ma si è messo davanti a me e si è preso l'uccisione che era mia. Poi ha avuto il fegato di voltarsi per schernirmi !  Lui e la sua specie dovrebbero ricordare che sono stati allevati per servirci ! Cani bastardi senza onore..
str_npc19_personalityclash2_speech_b|Io odio {s11}.
str_npc20_personalityclash2_speech_b|Non può essere uno di noi. No, non uno come Fuldimir. No, il nostro sangue non può essersi annacquato fino a questo punto, il nostro lignaggio non può essere andato così alla deriva ! Nessuno di voi mette in luce quanto poco egli parli con sincerità, quanto in apparenza sia molto più simile a quelli dell'Haradwaith che a quelli della mia casa perduta ? Abbiamo avuto eroi in mezzo a noi - eroi, che hanno combattuto con rapidità e forza per rivaleggiare con gli Eldar ! Fuldimir è lento e goffo, e ... No, sento il vento freddo che soffia dall'Ovest. Mi fa gelare ... Mi fa rabbrividire !
str_npc21_personalityclash2_speech_b|Io odio {s11}.
str_npc22_personalityclash2_speech_b|Io odio {s11}.
str_npc23_personalityclash2_speech_b|Io odio {s11}.
