qstr_Received_{reg0}_dama|Utrpel si {reg0} poškodenia.
qstr__Your_own_banner_fli|Tvoja vlastná zástava povieva nad bránou hradu.
qstr__You_see_the_banner_|Nad bránou hradu vidíš viať zástavu {s7}a.
qstr__This_castle_seems_t|Hrad vyzerá, akoby nepatril nikomu.
qstr__Your_own_banner_flie|Tvoja vlastná zástava veje nad mestskými bránami.
qstr__You_see_the_banner_o|Nad mestskými hradbami vidíš viať zástavu {s7}a.
qstr__The_townsfolk_here_|Mestský ľud tu vyhlásil svoju nezávislosť.
qstr_Go_to_the_secret_ent|Ísť do tajného vchodu do Morie.
qstr_Search_for_a_secret_|Hľadať tajný vchod do Morie.
qstr_Get_book.|Vziať knihu.
qstr_The_{reg6?town_s:cas|{reg6?Mestské:Hradné} zásoby jedla by mali vydržať ešte {reg3} dní.
qstr_The_{reg6?town_s:cast|{reg6?Mestské:Hradné} zásoby jedla boli vyčerpané. Posádka hladuje.
qstr_You_re_preparing_to_|Pripravuješ útok na hradby. Malo by ti to trvať {reg9} hodín. 
qstr_Your_forces_are_buil|Tvoji muži stavajú obliehaciu vežu. Potrebujú ešte {reg9} hodín, aby ju dokončili.
qstr_You_are_ready_to_att|Si pripravený zaútočiť kedykoľvek na hradby.
qstr_The_siege_tower_is_b|Obliehacia veža je postavená a pripravená na útok.
qstr_As_a_last_defensive_|V obrannom manévre si sa stiahol do hlavnej siene pevnosti. Ty a tvoji muži sa tu postavíte na zúfalý odpor. Pokiaľ neuspeješ, nebude už kde ustúpiť.
qstr_You_ve_been_driven_a|Nepriatelia dobili hradby, boli ste zatlačený do ulíc, kde ich musíš poraziť. Ešte stále môžeš uspieť v obrane, odraziť útok a zvíťaziť.
qstr_You_ve_breached_the_|Prelomil si mestské hradby, ale nepoddajní obrancovia vám stále kladú v uliciach odpor. Musíš sa s nimi vysporiadať ešte pred tým, než zaútoč na hlavnú pevnosť uprostred mesta.
qstr_The_town_centre_is_y|Centrum mesta je tvoje, ale zvyšní obrancovia sa stiahli do hradu. Ak chceš zvíťaziť, hrad musí padnúť.
qstr_The_remaining_defende|Zvyšní obrancovia sa stiahli späť do hradu - poslednej obrany. Musíš tam vraziť a zdolať posledný odpor.
qstr_However_since_you_ar|Tak či onak, keďže nie si prísažným {služobníkom/stúpencom} {s9}a, je nepravdepodobné, že ťa bude považovať za {Pána/Paniu} tohto {reg8?mesta:hradu}.
qstr_The_enemy_has_been_f|Nepriateľ bol nútený ustúpiť. Je dobojované, ale obliehanie pokračuje.
qstr_The_assasins_beat_yo|Nájomný vrahovia ťa dobili a nechali napospas smrti.
qstr_You_have_fallen._The|Premohli ťa. Banditi rýchlo prehľadávajú tvoje telo hľadajúc cennosti a cetky, stratia sa pod tieňom noci. Nechali ťa nažive, ale bolo to tesné.
qstr_Luckily_some_of_your|Našťastie ťa niektorí tvoji spoločníci začali hľadať, keď si sa nevracal. Našli ťa ležiaceho v priekope. Odvliekli ťa do bezpečia a ošetrili rany.
qstr_Luckily_some_passing|Našťastie ťa miestny ľudia prechádzajúci okolo našli ležiaceho v priekope. Poznali v tebe niekoho iného, než žobráka. Odvliekli ťa do bezpečia a ošetrili rany.
qstr_{s13}^^You_have_succ|{s13}^^Podarilo sa ti nepozorovane sa priplížiť.
; qstr_The_tomb_is_destroye|The tomb is destroyed. A fierce fight took place here.
; qstr_Nothing_of_interest|Nothing of interest
qstr_the_place|miesto
qstr_the_castle|hrad
qstr_the_Throne_Room|Trónna sála
qstr_the_Secret_Cave|Tajná jaskyňa
qstr_Meduseld_the_Golden_|Meduseld, Zlatá Sieň
qstr_the_Lord_Halls|Lordové komnaty
qstr_the_Leader_s_Cave|Jaskyňa vodcu
qstr_the_Tower|Veža
qstr_the_tower_of_Orthanc|Veža Orthanc
qstr_Beorn_s_Hall|Grizlov dom
qstr_the_Hall|Sála
qstr_the_Great_Chamber_of|Veľká Thrórova Sieň
qstr_Stay_indoors_for_som|Odpočinúť si tu na nejaký čas ({reg1} Bodov Zásob za noc)
qstr_Camp_outside_for_som|Utáboriť sa na nejaký čas (zdarma)
; qstr_As_you_enter_the_vas|As you enter the vast caverns underneath the Ring of Isengard, where thousands of orcs work to supply the growing armies of the White Hand, you gain confidence in the rise of a new power and the demise of the old world.
; qstr_You_have_found_the_G|You have found the Glittering Caves, one of the marvels of the Northern World.
; qstr_As_the_party_member_|As the party member with the highest Bargainer skill ({reg2}), {reg3?you estimate:{s3} estimates} that it will take {reg4} hours to find the most notable persons in town. [Costs {reg5}/{reg6} influence]
; qstr_You_have_already_fou|You have already found all persons of interest.
; qstr_the_captain_of_the_g|the captain of the garrison, and the civil authority.
; qstr_and_the_captain_of_t|and the captain of the garrison. As this place was recently captured, it has not civil authority.
; qstr_You_also_heard_of_a_|You also heard of a healer, but you will have to find them on your own.
qstr_{s4}_s_scouts_have_s|{s4}ovi prieskumníci rozšírili správu o tvojom neúspechu. Sklamal si {s4}a a zodpovednosť za neúspech nesieš ty sám.
qstr_{s1}_s_Ship|{s1}ova loď
qstr_Time_passes...|Čas ubieha...
qstr_Forces_of_Good|Síly Dobra
qstr_Forces_of_Mordor|Síly Mordoru
qstr_Forces_of_Isengard|Síly Isengardu
qstr_their_enemies|ich nepriatelia
qstr_{s11}_and_{s13}|{s11} a {s13}
qstr_{s11}_{s13}|{s11}, {s13}
qstr_a_scout_party_from_{|prieskumnícka skupina z {s3}u
qstr_two_scout_parties_an|dve prieskumnícke skupiny a skupinu zásobovačov z {s3}u
qstr_two_scout_parties_and|dve prieskumnícke skupiny a nájazdnícka banda z {s3}
qstr_three_scouts_two_for|tri prieskumnícke skupiny, dve skupiny zásobovačov a jedna hliadka z {s3}
qstr_three_scouts_two_rai|tri prieskumnícke skupiny, dve nájazdnícke bandy a jeden vojenský oddiel z {s3}u
qstr_You_see_the_village_|Si svedkom nájazdu zbojníkov na dedinu. Väčšine svojich mužov nariadiš, aby dávali pozor na ďalšie prípadné nájazdnícke skupiny. V čele menšej skupiny svojej družiny sa pripravíš brániť vidiečanov.
qstr_You_see_the_village_y|V dohľade uzrieš dedinu, ktorú máš za rozkaz vypáliť. Ty a malá skupina nájazdníkov sa nepozorovane zakradnete do dediny, aby ste ju napadli.
qstr_The_raiders_are_defe|Nájazdníci sú porazení! Tí, ktorým sa nejako podarilo prežiť uháňajú späť do temnoty, z ktorej prišli. Trasú sa strachom pred dedinčanmi a ich novým hrdinom. 
qstr_Try_as_you_might_you|Urobil si všetko, čo bolo v tvojich silách, ale nepodarilo sa ti zahnať nájazdníkov. Vyplienili dedinu na popol a zotročili preživších dedinčanov.
qstr_The_village_has_been|Dedina bola vydrancována, dedinčania zabití alebo zotročení. Temný Pán má z toho potešenie.
qstr_You_failed_to_raid_t|Nepodarilo sa ti vyplieniť dedinu, spolu s tvojimi mužmi si bol zahnaný. V diaľke za sebou počuješ víťazný rev a cítiš na sebe opovržlivý pohľad Oka.
qstr_The_Scout_Camp_has_b|Tábor prieskumníkov bol zrovnaný so zemou. To spomalí nepriateľský postup.
qstr_You_failed_to_destro|Nepodarilo sa ti zničiť Tábor prieskumníkov. Nepriateľ získal prehľad o tvojej frakcii.
qstr_You_have_defeated_the|Odrazil si nájazdnícku flotilu! To otriaslo plánmi nepriateľa!
qstr_You_defeated_the_int|Prerazil si blokádovú flotilu! I keď už nemáš dosť síl na dobytie mesta, toto je skvelé víťazstvo!
qstr_You_drove_back_the_e|Odrazil si nepriateľskú flotilu, ale stratil si pritom väčšinu svojich lodí!
qstr_You_were_defeated_by|Blokádová flotila ťa zadržala a premohla, neuspel si v nájazde na mesto!
qstr_^^^^^^^You_come_upon|^^^^^^^Narazil si na utečencov opúšťajúcich {s2} na ceste do {s3}u. ^^Sú to poväčšine zoslábli ľudia, najmä ženy a deti.^^ Sú medzi nimi stráže, ale nie dosť, aby ich ochránili pred nájazdom.
qstr_^^^^^^^You_come_upon_|^^^^^^^Narazil si na utečencov, ktorých si stopoval od {s2}u. Vyzerá to, že mieria do {s3}u. Väčšina z nich je zoslabnutá a stará. ^^ Je medzi nimi pár stráži, ale nie dosť na to aby teba a tvojich mužov zastavili pred tým, aby ste ich zmasakrovali.
qstr_^^At_last_the_Master|^^Konečne, náš Pán vydal rozkazy! Tisíce fakieľ sa rozhorelo, ich oheň sa odráža na lesku smrtiacich zbraní. Ty a tvoji statní chlapci už onedlho dostanete rozkazy. Aj, bude sa bojovať, a veľa, a sláva nikoho neminie!^^Máš tu česť byť povolaný na audienciu s Pánom v Jeho Veži. Najprv zrejme dostaneš podradné úlohy vhodné tak pre zmokov - vypľundruj dedinu tu, prepadni konvoj tam. Ale čoskoro sa preukáže tvoja cena. Kto môže tvrdiť, že vo vojne nezohraješ rovnako veľkú úlohu, ako akýkoľvek veliteľ {s2}a z {s3}u?^^Vojnové ohne zbĺkli, pád Ľudí a ich spojencov započal!
qstr_^^Your_head_suddenly|^^Odrazu tvoje vedomie a zmysli pohltí vidina - ohnivé Oko. Všetci vôkol teba v úžase strnú. Niečo ti hovorí, že vidia rovnaký výjav a čujú to isté volanie. Veľká je sila Oka bez viečka - veľká je moc Bard-dûru!.^^V samotných kostiach údoch tvojho tela pocítiš poznanie. Čas nadišiel. Temný Pán vydal svoj rozkaz - budeš pochodovať v ústrety svojim nepriateľom v otvorenej vojne. Čakaj rozkazy od {s2}a v {s3}u. Spočiatku tvoj údel v tomto boji nebude veľký, ale krst ohňom vojny onedlho preverí každého schopnosti a vlohy.^^ Vojna započala a s ňou aj pád Západu!
qstr_{s13}_asked_you_to_j|{s13} ti prikazuje, aby si sa k nemu pridal s najmenej {13} jednotkami a účastnil sa Posledného Vzdoru Isengardu.
qstr_You_defeated_{reg5}_|Pobil si {reg5} nepriateľov a urobil si na svojho veliteľa dojem.
qstr_You_defeated_{reg5}_e|Pobil si {reg5} protivníkov.
qstr_You_failed_to_defeat|Nepodarilo sa ti poraziť jediného nepriateľa.
qstr_The_sorcerer_slain_y|Vo chvíli, keď černokňažník padne mrtvý k zemi, ty a tvoji spoločníci si narýchlo ošetríte svoje najväčšie zranenia a vykĺznete von do nekonečnej nočnej tmy. Odporné hlasy a škreky sa ozývajú za vami a ty pociťuješ, ako po vás v tieňoch pátra nespočet ohnivých očí. Onedlho zúrivosť v ich hlasoch vystrieda sklamanie a čoskoro sa vôkol rozhostí ťažké ticho, prirodzené pre bezútešný Temnohvozd. Unikol si.
qstr_The_sorcerer_slipped|Černokňažník ti vykĺzol spod rúk a unikol do temnoty svojho úkrytu. So srdcom ťažkým z porážky si ty a tvoji spoločníci narýchlo ošetríte svoje najväčšie zranenia a uniknete do nočnej tmy. Ostré výsmešné hlasy a škrekoty sa ozývajú za vami a cítiš, že mnoho ohnivých očí sa prediera tmavou spleťou lesa len aby vás našli. Rehot a nadávky onedlho utíchnu, vystrieda ich ťažké ticho, prirodzené pre bezútešný Temnohvozd. Unikol si.
; qstr_You_approach_a_heavi|You approach a heavily guarded region of the forest... ^^ You have to decide whether you venture forward on your own, or take some troops with you.
; qstr_You_have_a_good_chan|You have a good chance of avoiding the guards and slipping through unnoticed.
; qstr_You_may_have_a_chanc|You may have a chance of avoiding the guards.
; qstr_You_will_probably_ha|You will probably have to fight the guards.
qstr_You_wait_for_darknes|Čakáš, kým opadne temnota...
qstr_You_are_quickly_disc|Onedlho si odhalený nepriateľmi.
qstr_You_advance_stealthi|Nenápadne prenikneš hlboko do lesa.
qstr_You_have_evaded_the_|Vyhol si sa prieskumníkom a dostal si sa blízko k ruinám!
qstr_You_have_found_the_s|Našiel si černokňažníka!
qstr_You_cannot_leave_unt|Nemôžeš odísť, dokiaľ ťa stráže vidia!
qstr_Kill_him_quickly_bef|Rýchlo, zabite ho pred tým, než unikne!
qstr_Enraged_by_the_death|Smrť {s4}a v tebe vznietila neskrotný plameň, skladáš prísahu pomsty armádam {s3}u. V nasledujúcich dňoch musíš zničiť čo najviac jednotiek {s3}u. Si si vedomý toho, že tvoji muži nadšene prizerali učineniu sľubu a ty nechceš byť známy ako krivoprísažník. Zafarbi rieky, potoky i bystriny krvou svojich nepriateľov!
qstr_flooded._Somebody_or|Potopené. Niekto či niečo muselo zničiť priehrady Železného pasu.
qstr_destroyed._Only_smol|Zničené. Ostali len tlejúce ruiny.
qstr_^^^You_lost_your_fig|^^^Prehral si súboj so vzbúrencom! ^Zdá sa, že tvoji ohyzdi majú nového veliteľa.
qstr_^^^You_have_slain_th|^^^Zabil si vzbúrenca, ostatní ohyzdi sa rýchlo zaradili späť do línie. ^ Konečne budú tí lotri aspoň chvíľu počúvať.
qstr_You_cover_up_your_tr|Zakryješ svoje stopy a opäť postupuješ vpred.
qstr_Breaking_camp...|Zbaliť tábor...
; qstr_Party_morale_is_low.|Party morale is low. Troops desert from your party.
; qstr_Desertion|Desertion
; qstr_{s1}_has_deserted_fr|{s1} has deserted from your party.
qstr_You_have_left_{s1}.|Opustil si {s1}.
qstr_You_are_entering_{s1|Vstupuješ do {s1}u ({s2}).
qstr_You_are_entering_{s1}|Vstupuješ do {s1}u.
qstr_The_war_expands_comm|Vojna sa rozrástla, velitelia sú trúfalejší! (Na obliehania je treba menej potrieb)
qstr_Your_party_is_spotte|Tvoju družinu pozorujú z {s1}u.
qstr_The_effects_of_the_O|Efekty Ohyzdej pálenky sa vytratili.
; qstr_The_effects_of_the_M|The effects of the Miruvor have dissipated.
; qstr_Athelas_used_up.|Athelas used up.
qstr_Party_has_nothing_to|Družina hladuje!
qstr_You_pay_for_accommod|Platíš za ubytovanie.
qstr_The_troll_outside_{s|Zlobor pred {s2}om bol zabitý. Misia je zrušená. 
qstr_{s1}_was_killed_on_t|{s1} bol zabitý v boji. Úloha zrušená.
qstr_{s1}_has_been_defeat|{s1} bol porazený. Misia zrušená.
qstr_You_must_follow_{s1}|Musíš nasledovať {s1}a!
qstr_You_must_follow_{s1}!|Musíš nasledovať {s1}a! Toto je posledné varovanie!
qstr_{s1}_parties_defeate|{s1} Pobitých skupín: {reg1} z {reg2}
qstr_{reg65}_Moria_and/or|{reg65} Morijských a/alebo Gundabadských jednotiek zabitých. (Počítadlo sa obnovuje každú hodinu)
qstr_{reg65}_{s3}_troops_|{reg65} jednotiek {s3}u zabitých. (Počítadlo sa obnovuje každú hodinu)
qstr_{reg66}_{s5}_troops_|{reg66} jednotiek {s5}u zabitých. (Počítadlo sa obnovuje každú hodinu)
qstr_{reg67}_{s7}_{s8}_tr|{reg67} {s7} jednotiek {s8}u zabitých. (Počítadlo sa obnovuje každú hodinu)
; qstr_{s8}_in_{s9}_asked_y|{s8} in {s9} asked you to slay {reg67} {s10}.^ {reg68} {s11} killed. (Counter refreshes every hour)
qstr_{s1}_is_scouted.|{s1} je preskúmané.
qstr_{s2}_was_defeated!|{s2} bol porazený!
qstr_The_Age_of_Men_has_f|Vek Ľudí skončil. Dve Veže zhromažďujú pozostatky svojich síl a budú bojovať o to, kto sa stane vládcom nad celou Stredozemou!
qstr_The_War_of_the_Two_T|Vojna Dvoch Veží započala!
qstr_The_forces_of_{s22}_|Vojská {s22}u boli posilnené! {s22} sa stal {s23}.
qstr_The_might_of_{s22}_h|Ríša {s22} bola oslabená! {s22} sa stal {s23}.
qstr_In_a_desperate_attem|V zúfalej obrane vysiela Sauron von svoje Mordorské légie.
qstr_Guardians_of_{s6}|Strážci {s6}
qstr_Guard_Legion_of_{s6}|Légia ochrancov {s6}
qstr_Scouts_report_that_{|Prieskumníci hlásia, že {s6} shromáždil veľkú armádu neďaleko {s7} v poslednom nádeji ochrániť hlavné mesto.
; qstr_The_forces_of_{s2}_e|The forces of {s2} established an Advance Camp in {s15}!
qstr_The_hosts_of_{s2}_ma|Páni {s2}u vyrážajú späť brániť domovinu!
qstr_{playername}_s_Reser|{playername}ove zálohy.
qstr_Gondor_has_called_fo|Gondor volá o pomoc!
qstr_Gondor_is_accompanyi|Gondorskí muži sprevádzajú maršála!
qstr_{s5}_has_stopped_fol|{s5} ťa už nesprevádza.
qstr_You_have_{reg69}_all|{reg69} spojenecká družina ťa následuje.
qstr_You_have_{reg69}_ally|Následuje ťa {reg69} družín spojencov.
qstr_The_forces_of_{s2}_h|Armády {s2}u sa preskupili a pochodujú na {s15}!
qstr_Your_scouts_report_s|Tvoji prieskumníci hlásia, že sa {s2} nachádza neďaleko.
qstr_{s1}_from_{s2}|{s1} z {s2}
qstr_When_dealing_with_lo|Pokiaľ jednáš s miestnymi v {s11}e, a nemuseli sa ešte dopočuť o tvojich úspechoch v {s10}e. ^^(Body Zásob, ktorým disponuješ medzi obyvateľstvom v {s11}e, nie sú rovnaké, aké si získal v {s10}, ale rovnaké, aké bude i naďalej získavať v {s11} -- pozri Hlásenie)
qstr_Info|Info
qstr_You_came_into_a_poss|Získal si zvláštnu, neprimerane veľkú misku sviežo vyzerajúcej vody. Zapácha pižmom.
qstr_Obtained:_Ent_water.|Získaná: Entská voda.
qstr_A_little_after_you_f|Po tom, čo si sa prebral po dúšku jedovatej vody od chodiacich stromov, všímaš si vedľajšie efekty. Tvoja banda ťa .... viac rešpektuje a má z teba väčší strach, ako keby si... vyrástol. Mohol by si prisahať, že si naozaj vyšší. Je to vôbec možné?
qstr_Ent_water_effect.|Efekt entskej vody.
qstr_The_water_you_drank_|Dúšok vody, ktorú si prijal od Entov, pôsobí na tvoje telo zvláštne. Neveril si, že je to možné, ale teraz, keď si sa o tom presvedčil na vlastnej koži, o tom nie je pochyb: vyrástol si! Jed ťa však skoro zabiť. Už nikdy takto nebudeš riskovať.
qstr_Ent_water_effect:_in|Efekt entskej vody: si vyšší
qstr__+1_to_Strength__per|+1 k Sile (navždy)
qstr__+1_to_Charisma__per|+1 k Charizme (natrvalo)
qstr_The_dark_shadow_fina|Tieň sa konečne premenil na búrku, temné vojská pochodujú v ústrety slobodným rasám Stredozeme. Mordor proti Gondoru na Juhu, Isengard proti Rohanu na Západe, Dol Guldur proti Elfom... Dokonca i na vzdialenom Severe sa vedie vojna.
qstr_The_War_has_started!|Vojna započala!
qstr_The_forest_seems_pea|Les sa zdá byť mierumilovný.
qstr_There_is_a_sense_of_|Vyciťuješ hroziace nebezpečenstvo.
qstr_You_have_a_feeling_y|Nebudeš už viac les vyrušovať z jeho spánku. 
qstr_Get_out_now!|Uháňať preč!
qstr_You_are_inside_Fango|Si vnútri Farngornu. {s11}
qstr_Your_party_witnessed|Tvoja družina bola svedkom toho, ako ohyzdi zožrali väzňa.
qstr_Your_party_s_morale_|Morálka tvojej družiny sa zvýšila vďaka zášti.
qstr_Your_party_s_morale_h|Morálka tvojej družiny klesla kvôli strachu.
qstr_{s27}:_Influence_wit|{s27}: Vplyv v {s1}e sa zvyšuje z {reg2} na {reg1}.
qstr_{s27}:_Influence_with|{s27}: Vplyv v {s1} sa snižuje z {reg2} na {reg1}.
qstr_{s27}:_Party_morale_|{s27}: Morálka družiny sa zvýšila.
qstr_{s27}:_Party_morale_d|{s27}: Morálka družiny sa snížila.
qstr_You_have_failed_to_f|Nepodarilo sa ti naplniť prísahu a pomstiť smrť Balina a jeho družiny!
qstr_You_have_failed_to_fu|Nesplnil si sľub pomsty, ktorý si zložil za hrdinskú smrť {s1}a!
qstr_Your_troops_value_yo|Tvoji vojaci si vážia tvojej snahy naplniť prísahu, ale všimli si, že sa udalosti vo svete vyvinuli akosi prirýchlo. Vo výsledku
qstr_{s22}You_have_fulfil|{s22} sa ti podarilo splniť prísažný sľub pomsty za Balina a jeho družinu!
qstr_{s22}You_have_fulfill|{s22} sa ti podarilo splniť prísažný sľub za hrdinskú smrť {s1}a!
qstr_Reinforcements|Posily
qstr_Refugees_Escaped:_{r|Utečenci, ktorým sa podaril ujsť: {reg10} --- Zabitých utečencov: {reg11}
qstr_Raider_Parties_Kille|Počet pobitých Nájazdníckých bánd: {reg12}
qstr_One_of_the_target_ce|Jedno z útočísk bolo zničené. Utečenci sa rozpŕchli a nie je po nich ani vidu.
qstr_As_an_Orc_or_a_Dwarf|Ako ohyzd alebo trpaslík môžeš používať Vlastnú Kameru, ktorú sme vložili do hry, aby sme vylepšili váš zážitok z TLD behom hrania za nižšie rasy. Pre viac informácií pozri Komponenty Hry.
qstr_Custom_Camera|Vlastná kamera
qstr_{reg65?my_Lady:my_Lo|{reg65?moja Pani:môj Pane}
qstr_{reg65?My_Lady:My_Lo|{reg65?Moja Pani:Môj Pane}
qstr_{reg65?mistress:mast|{reg65?pani:pane}
qstr_{reg65?Mistress:Mast|{reg65?Pani:Pán}
qstr_{reg65?madame:sir}|{reg65?madam:sir}
qstr_{reg65?Madame:Sir}|{reg65?Madam:Sir}
qstr_How_do_magnets_work?|Ako fungujú magnety?
qstr_Um..._by_enchanting_|Um... očarovaním železa?
qstr_Magnets_are_made_of_|Magnety sú vyrábané z kovu, ktorý sa ťaží zo zeme, a tá obsahuje magnetické čiastočky. Preto je kov magnetický.
qstr_i_wont_a_bonerlrord_|Kcem tendo mót kompatibiľní s Bannerlod!!11!
qstr_Install_TLD_in_your_|Nainštaluj si TLD do priečinku Bannerlord Modules, pridaj riadok 'compatible_with_wfas = 1' do module.ini, a tak budeš môcť hrať TLD na Warbande i na Warrideri 0.202!
qstr_Bannerlord_runs_on_a|Bannerlord beží na inom engine. Preto nie sme schopní dať TLD na Bannerlord tak ako sme ho dali na Warband.
qstr_dis_mod_takes_2_long|Na dendo mót je treba šakaď 2 hodiny! To ie na prd!!11!
qstr_Well_there_s_a_lot_o|Nuž, je v ňom veľa nových grafickým modelov a iných vecičiek. Asi to nejakú tu chvíľu potrvá.
qstr_It_has_been_recently|Bol nedávno vydaný. Pokiaľ ti chýba odkaz, môžeš si ho stiahnuť na lemonparty.org.
qstr_i_wont_decapitated_e|Kcem bezhlavích slonov v multi, hneť!!!11!
qstr_I_don_t_think_there_|V TLD hra pre viac hráčov nie je, ale slony by boli fajn.
qstr_There_is_a_hidden_el|V TLD móde existuje si môžeš zahrať súboj slonov na život a na smrť, ale najprv musíš vymazať všetky svoje uložené hry, odohrať 100 herných dní bez uloženia, potom ísť do obrazovky úprav postavy, a stisnúť Alt+F4. Stojí to za to!
qstr_Y_NO_ChINESE??|Ty NIE si Číňan ??
qstr_Just_to_troll_you_tr|Len aby som ťa potrolil, trol!
qstr_Thanks_to_our_volunt|Ďakujeme našim dobrovoľným prekladateľom.
qstr_Wai_no_plate_armour_|Počkať, v tomto móde nie je plátové brnenie???
qstr_What_is_plate_armour|Čo to je plátové brnenie? Nikdy som i niečom takom nepočul.
qstr_Wai_no_female_trolls|Počkať, žiadne zlobrie samice? Eh? Eh? Ty moja dievčica!
qstr_WHEN_U_REALSE_MOD?!!|KEDY VYDÁTE MÓD!!?
qstr_But_we_did_release._|Ale my sme ho už vydali. Práve si v ňom. A vôbec, prečo kričíš?
qstr_YES!_ALSO_SOMETIMES_|ÁNO! TIEŽ NIEKEDY JE!
qstr_Wai_u_no_work_wiht_o|Poškaď, to nepracujede z ostatními mótmi aby ste vytvoriľy super LOTR mót?
qstr_Every_mod_team_works|Každý módovací tým pracuje podľa ich štandardov. Nemôžeš spolupracovať s niekým, kto má rozdielne ciele. 
qstr_Because_we_don_t_hav|Pretože nemáme zmysel pre humor a väčšina z nich je pre nás príliš smiešna.
qstr_In_movies_trolls_are|Vo filmoch sú zlobri veľkí a macatí, prečo ste zo mňa urobili špáradlo? 
qstr_We_interpreted_Tolki|Urobili sme ich podľa Tolkiena.
qstr_But_we_did_make_you_|Ale urobili sme ťa hlúpym podobne ako vo filmoch. Bod pre nás, dobrá práca.
qstr_What_is_news?_Got_an|Máte nejaké novinky? A screenshoty?
qstr_Well_just_look_aroun|Poriadne sa poobhliadni. Na čo potrebuješ screenshoty?
qstr_Say_cheese!|Povedz sýýýýr!
qstr_Why_did_you_make_mod|Prečo je inštalácia tohto módu tak zložitá?
qstr_Well_if_you_are_here|Nuž, pokiaľ si tu a rozprávaš sa so mnou, tak si musel nakoniec úspešne RTFM -read the fucking manual - prečítať ten zasraný manuál-. 
qstr_You_just_got_windyfl|You just got windyflorated!
qstr_Merry|Chicholm Brandylen
qstr_Pippin|Pútnik Bral
qstr_the_Citadel|Citadela
qstr_Minas_Tirith|Minas Tirith
qstr_Steward_Denethor|Správca Denethor
qstr_the_Golden_Hall|Zlatá Sieň!
qstr_Edoras|Edoras
qstr_King_Theoden|Kráľ Theoden
qstr_Merry_asked_you_to_d|Chicho ťa požiadal, aby si doručil dopis jeho bratrancovi, Pipinovi, do Minas Tirith.
qstr_Pippin_asked_you_to_|Pipin ťa požiadal, aby si doručil dopis jeho bratrancovi, Chichovi, do Edorasu.
qstr_Tell_him_I_ve_grown_|Odkáž mu, že som už vyrástol o celý palec!
qstr_Tell_Pip_he_smokes_t|Odkáž Pipovi, že príliš fajčí!
qstr_Tell_him_I_can_ride_|Odkáž mu, že už dokážem jazdiť na dospelom koni!
qstr_Ask_him_if_he_has_an|Nezabudni sa ho spýtať, či mu neostal ešte nejaký fajkový tabak!
qstr_Tell_him_I_ll_be_the|Odkáž mu, že keď sa nabudúce uvidíme, budem ja ten vysoký!
qstr_Ask_if_he_s_seen_Gan|Spýtaj sa ho, či videl Gandalfa!
qstr_You_gained_250_exper|Získal si 250 skúseností.
; qstr_Hrooom..._Hmmm...Who|Hrooom... Hmmm...Who are you?
; qstr_Hrooom..._Hmmm...Oh_|Hrooom... Hmmm...Oh, it's you again, {playername}.
qstr_Treebeard_wants_you_|Stromobrad chce, aby si našiel a porazil ohyzdov, ktorý rúbajú stromy vo Farngorne.
qstr_Something_wrong_not_e|Niečo nie je v poriadku, nedostatok jednotiek pre prieskumnú skupinu.
qstr_my_home_town|moje rodné mesto
qstr_I_am_in_perfect_heal|Som úplne zdravý.
qstr_I_am_suffering_from_|Mám {s1}.
qstr_I_am_suffering_from_{|Mám {s1} a {s2}.
qstr_I_am_suffering_from_{s|Mám {s1}, {s2}, a {s3}.
qstr_I_am_suffering_from_{s1|Mám {s1}, {s2}, {s3} a {s4}.
qstr_I_don_t_have_any_ser|Nemám žiadne vážne zranenie, ďakujem.
qstr_Good_day_to_you.|Dobrý deň prajem.
qstr_Ah_it_s_you_again._G|Ah, to si zase ty. Dovidenia.
qstr_My_apologies_if_I_wa|Ospravedlňujem sa, pokiaľ som bol pred tým hrubý. Rozpovieš my ešte raz tvoj príbeh?
qstr_I_was_reconsidering_|Prehodnotil som náš posledný rozhovor. Rozpovieš my ešte raz tvoj príbeh?
qstr_Zigrphel_gained_{reg|Zigûrphel získala {reg78} skúseností.
qstr_Greetings_{s23}_{s24|Pozdravujem, {s23}, {s24}.
qstr_Greetings_{s23}.|Pozdravujem, {s23}.
qstr_So_you_are_{s23}._I_|No, takže ty si {s23}. Dopočul som sa, že bojuješ za našich {s25} priateľov. Predpokladám teda, že by som ťa mal považovať za spojenca.
qstr_I_need_volunteers_wi|Potrebujem dobrovoľníkov, ktorý by ma následovali na nebezpečných výpravách.
qstr_I_need_some_soldiers|Potrebujem nových mužov aby nahradili mŕtvych.
qstr_Maybe_the_weaklings_|Možno tí slaboši z juhu dali brnenie na svojich jemných zlobrov. My nie - naši zlobri sú z Gundabádu!
qstr_Do_I_look_like_a_smi|Vyzerám pre teba ako kováč? Ha. Choď sa s jedným porozprávať.
qstr_Excellent_job_{s23}!|Výborná práca, {s23}! Kiežby boli všetci naši velitelia oddaní ako ty.^
qstr_Nicely_done_{s23}.|Pekná práca, {s23}.
qstr_Good_work_{s23}.|Dobrá práca, {s23}.
qstr_The_more_you_capture|Čím viac ich zajmeme, tým lepšie, {s23}.
qstr_Caught_a_few_straggl|Chytil si niekoľko vzbúrencov, {s23}?
qstr_I_am_sorry_no_one_el|Je mi ľúto, nikdo nie je pripravený odísť.^ Poslúžia v {s22}. Budú brániť opevnenia.
