qstr_Received_{reg0}_dama|{reg0} Schaden erlitten.
qstr_lothlorien|Lothlorien
qstr_rivendell|Bruchtal
qstr_mirkwood|Düsterwald
qstr_evil_man|Böser Mensch
qstr_{reg11}0___{reg11}9|{reg11}0 - {reg11}9
qstr_Regular_troops_only|Nur reguläre Truppen
qstr_Heroes_only|Nur Helden
qstr_Regulars_and_Heroes|Truppen und Helden
qstr_HP_lost_from_poisoni|TP durch Vergiftung verloren.
qstr__{s17}.|, {s17}.
qstr_A_group_of_{s1}_is_{|Eine Gruppe von {s1} {s10} dir entgegen.
qstr_You_are_attacking_a_|Du greifst eine Gruppe von {s1} an.
qstr_The_battle_against_t|Der Kampf gegen die Gruppe von {s1} setzt sich fort.
qstr_There_are_{reg39}_al|Du kämpfst gemeinsam mit {reg39} verbündeten Befehlshabern. Übernimm den Befehl für {reg40}/{reg41} Einflusspunkte.
qstr_There_are_{reg39}_all|Du kämpfst gemeinsam mit {reg39} verbündeten Befehlshabern. Du hast nicht genügend Einfluss, um die Befehlsgewalt zu übernehmen.
qstr_Having_a_small_party|Ein kleiner Trupp hat seine Vorteile... Du und deine Truppen verbergen sich vor dem Feind. Ihr verharrt einige Stunden, um sicherzugehen, dass ihr nicht gesehen werdet.
qstr_Your_ability_to_mast|Dank deiner Macht über die Wildnis findest du einen sicheren Ort, um deinen Trupp vor den Augen der Feinde zu verbergen. (Wildkunde-Fähigkeit erlaubt dir, bis zu {reg1} Truppen zu verstecken.)
qstr_{reg4}_will_be_lost.|{reg4} Soldaten werden zurückgelassen.
qstr_{s13}_asked_you_to_r|{s13} bat dich, dich mit mindestens {reg13} Truppen bei ihm zu melden.
qstr_{s13}_ordered_you_to|{s13} befahl dir, dich dem Angriff gegen {s14} anzuschließen.
qstr_You_were_victorious!|Du warst siegreich!
qstr_The_battle_was_lost.|Die Schlacht ist verloren. Deine Truppen wurden vollständig vernichtet.
qstr_Your_companions_carr|Deine Gefährten tragen dich vom Schlachtfeld.
qstr_You_have_defeated_th|Du hast den Feind besiegt.
qstr_You_have_retreated_f|Du hast dich aus der Schlacht zurückgezogen.
qstr_^^Ally_Casualties:{s|^^Verluste Verbündete:{s0}
qstr_You_and_{s3}_celebra|Du und {s3} feiern euren Sieg gegen {s4}.
qstr_News_of_your_victory|Nachricht von deinem Sieg gegen {s4} erreicht {s3}.
qstr_{s3}_witnesses_your_|{s3} ist Zeuge deines Sieges gegen {s4}.
qstr_Even_though_there_we|Auch wenn niemand sonst deinen Sieg bezeugen kann, feiern immerhin deine Truppen ihren Triumph.
qstr_{s1}_of_{s3}_managed|{s1} von {s3} konnte entkommen.
qstr_Prisoners_rescued_so|Bisher befreite Gefangene: {reg1}
qstr_{reg1}_kills_of_{s1}|{reg1} getötete Truppen von {s1} zählen für deinen Schwur. Insgesamt Getötete: {reg0}
qstr_Perhaps_I_m_getting_|Vielleicht hat sich das Glück gegen mich gewandt...
qstr_Retirement_is_starti|Ruhestand fängt an besser und besser zu klingen.
qstr_No_matter!_I_will_pe|Macht nichts! Ich werde es schaffen!
qstr_What_did_I_do_to_des|Womit habe ich das verdient?
qstr_I_suppose_it_ll_make|Na ja, wenigstens ist es für eine schöne Geschichte gut...
qstr__{s17}|, {s17}
qstr_You_retreated_from_b|Du hast dich aus der Schlacht zurückgezogen.
qstr_{s9}_wants_you_to_fo|{s9} will, dass du seiner Armee bis auf Weiteres folgst.
qstr_{s8}_of_{s9}|{s8} von {s9}
qstr__Your_own_banner_fli|Dein eigenes Banner weht über dem Burgtor.
qstr__You_see_the_banner_| Du siehst das Banner von {s7} über dem Burgtor wehen.
qstr__This_castle_seems_t|Diese Burg scheint niemandem zu gehören.
qstr__Your_own_banner_flie|Dein eigenes Banner fliegt über den Stadttoren.
qstr__You_see_the_banner_o| Du siehst das Banner von {s7} über den Stadttoren.
qstr__The_townsfolk_here_|Die Städter hier haben ihre Unabhängigkeit erklärt.
qstr_Go_to_the_secret_ent|Gehe zum geheimen Eingang nach Moria
qstr_Search_for_a_secret_|Such nach einem geheimen Eingang nach Moria
qstr_Get_book.|Nimm Buch.
qstr_The_{reg6?town_s:cas|Die Nahrungsvorräte der {reg6?Stadt:Feste} sollten noch für weitere {reg3} Tage reichen.
qstr_The_{reg6?town_s:cast|Die Nahrungsvorräte der {reg6?Stadt:Feste} sind erschöpft, und die Verteidiger hungern.
qstr_You_re_preparing_to_|Du bereitest dich darauf vor, die Mauern anzugreifen, die Vorbereitungen sollten in {reg9} Stunden abgeschlossen sein.
qstr_Your_forces_are_buil|Deine Truppen bauen einen Belagerunsgturm. Sie schätzen, dass es noch {reg9} Stunden bis zur Fertigstellung dauert.
qstr_You_are_ready_to_att|Du bist bereit, die Mauern jederzeit anzugreifen.
qstr_The_siege_tower_is_b|Der Belagerungsturm ist fertig und bereit zum Angriff.
qstr_As_a_last_defensive_|Als letzte Verteidigungsanstrengung ziehst du dich in die Haupthalle der Feste zurück. Du und deine verbleibenden Soldaten werden hier das letzte, verzweifelte Aufgebot stellen. Wenn ihr besiegt werdet, könnte ihr euch nirgendwo zurückziehen.
qstr_You_ve_been_driven_a|Man hat dich von den Mauern fortgetrieben. Jetzt strömen die Angreifer in die Straßen. Wenn du sie niederringen kannst, wird sich dein Glück vielleicht wenden.
qstr_You_ve_breached_the_|Du hast die Stadtmauern durchbrochen, doch die trotzigen Verteidiger stellen sich dir nun in den Straßen entgegen! Du musst sie loswerden, bevor du das Herz der Stadt angreifen kannst.
qstr_The_town_centre_is_y|Das Stadtzentrum ist dein, aber die verbleibenden Verteidiger haben sich in die Burg zurückgezogen. Sie muss fallen, bevor der Sieg wahrlich dein ist.
qstr_The_remaining_defende|Die verbliebenen Verteidiger haben sich zu einem letzten Gefecht in die Burg zurückgezogen. Du musst eindringen und jeden noch verbleibenden Widerstand zerschmettern.
qstr_However_since_you_ar|Doch da du keiner der eingeschworenen Gefolgsleute von {s9} bist, wird er dich nicht als {Herrscher/Herrscherin} dieser {reg8?Stadt:Feste} anerkennen.
qstr_The_enemy_has_been_f|Der Feind wurde zum Rückzug gezwungen. Der Angriff ist vorbei, doch die Belagerung hält an.
qstr_The_assasins_beat_yo|Die Attentäter schlagen dich nieder und lassen dich für tot liegen. .
qstr_You_have_fallen._The|Du bist gefallen. Die Räuber durchsuchen dich schnell nach Wertgegenständen, und verschwinden dann in der Nacht. Sie haben dich am Leben gelassen, gerade so.
qstr_Luckily_some_of_your|Glücklicherweise kommen einige deiner Gefährten auf der Such nach dir des Weges und finden dich am Straßenrand liegend. Rasch bringen sie dich in Sicherheit und versorgen deine Wunden.
qstr_Luckily_some_passing|Glücklicherweise kommen einige Städter des Weges, sehen dich am Straßenrand liegen, und erkennen, dass du mehr als ein lumpiger Bettler bist. Sie tragen dich zur nächsten Herberge und verarzten deine Wunden.
qstr_{s13}^^You_have_succ|{s13}^^Du bist erfolgreich hineingeschlichen.
qstr_The_tomb_is_destroye|Die Grabstätte ist zerstört. Hier fand ein heftiger Kampf statt.
qstr_Nothing_of_interest|Nichts von Interesse
qstr_the_place|die Örtlichkeit
qstr_the_castle|die Feste
qstr_the_Throne_Room|zum Thronsaal
qstr_the_Secret_Cave|zur Geheimen Höhle
qstr_Meduseld_the_Golden_|zum Meduseld, der Goldenen Halle
qstr_the_Lord_Halls|zu den Herrenhallen
qstr_the_Leader_s_Cave|zur Höhle des Befehlshabers
qstr_the_Tower|zum Turm
qstr_the_tower_of_Orthanc|zum Turm von Orthanc
qstr_Beorn_s_Hall|Beorns Halle
qstr_the_Hall|zur Halle
qstr_the_Great_Chamber_of|die Große Halle von Thrór
qstr_Stay_indoors_for_som|Einige Zeit im Inneren rasten ({reg1} Ressourcenpunkte pro Nacht)
qstr_Camp_outside_for_som|Einige Zeit draußen rasten (kostenlos)
qstr_As_you_enter_the_vas|Als du die riesigen Höhlen unter dem Ring von Isengart betrittst, wo Tausende von Orks schuften, um die wachsenden Armeen der Weißen Hand zu versorgen, wächst dein Vertrauen in den Aufstieg einer neuen Macht und den Untergang der alten Welt.
qstr_You_have_found_the_G|Du hast die Glitzernden Grotten gefunden, eines der Wunder der nördlichen Welt.
qstr_As_the_party_member_|Als das Gruppenmitglied mit der höchsten Fähigkeit im Handel ({reg2}), {reg3?schätzst du:schätzt {s3}} dass es {reg4} Stunden dauern wird um die wichtigsten Leute ausfindig zu machen. [Kostet {reg5}/{reg6} Einfluss]
qstr_You_have_already_fou|Du hast bereits alle wichtigen Leute gefunden.
qstr_the_captain_of_the_g|des Hauptmanns der Wache und der örtlichen Amtsgewalt.
qstr_and_the_captain_of_t|und des Hauptmanns der Wache. Da dieser Ort erst kürzlich erobert wurde, hat er keine örtliche Amtsgewalt.
qstr_You_also_heard_of_a_|Du hast auch von einem Heiler gehört, aber diesen musst du selbst finden.
qstr_{s4}_s_scouts_have_s|Nachricht deiner Niederlage erreicht {s4}. Du hast Schande über {s4} gebracht und musst die Verantwortung für dein Versagen übernehmen.
qstr_{s1}_s_Ship|{s1}s Schiff
qstr_Time_passes...|Zeit vergeht...
qstr_Forces_of_Good|Mächte des Guten
qstr_Forces_of_Mordor|Mächte von Mordor
qstr_Forces_of_Isengard|Mächte von Isengart
qstr_their_enemies|ihre Feinde
qstr_{s11}_and_{s13}|{s11} und {s13}
qstr_{s11}_{s13}|{s11}, {s13}
qstr_a_scout_party_from_{|Einen Spähtrupp von {s3}
qstr_two_scout_parties_an|zwei Spähtrupps und einen Stoßtrupp von {s3}
qstr_two_scout_parties_and|zwei Spätrupps und einen Plünderertrupp von {s3}
qstr_three_scouts_two_for|drei Spähtrupps, zwei Stoßtrupps und eine Patrouille von {s3}
qstr_three_scouts_two_rai|drei Spähtrupps, zwei Plünderertrupps und eine Heerschar von {s3}
qstr_You_see_the_village_|Du siehst, dass sich Plünderer dem Dorf nähern. Du befiehlst den meisten deiner Truppen, in der Umgebung nach weiteren Feinden zu suchen, während du mit wenigen Getreuen zum Dorf eilst, um es zu verteidigen.
qstr_You_see_the_village_y|Vor dir siehst du das Dorf, dass du überfallen sollst. Du nimmst nur einen kleinen Trupp von Plünderern mit, um nicht gesehen zu werden.
qstr_The_raiders_are_defe|Die Angreifer sind besiegt! Jene, die noch leben und bei Bewusstsein sind, verstreuen sich in die Dunkelheit aus der sie kamen, schlotternd vor Furcht vor den Dorfbewohnern und ihrem neuen Helden.
qstr_Try_as_you_might_you|Was du auch versuchtest, du konntest die Angreifer nicht besiegen. Sie machen das Dorf dem Erdboden gleich und versklaven die überlebenden Bauern.
qstr_The_village_has_been|Das Dorf wurde niedergebrannt, die Bauern getötet oder versklavt. Der Dunkle Herrscher wird zufrieden sein.
qstr_You_failed_to_raid_t|Du hast versagt. Du und deine Männer verstreuen sich. Du hörst die Jubelschreie der Sieger und spürst den unzufriedenen Blick des Roten Auges auf dir.
qstr_The_Scout_Camp_has_b|Der Spähposten wurde niedergebrannt. Dies wird den Vormarsch des Feindes verlangsamen.
qstr_You_failed_to_destro|Dir ist es nicht gelungen, den Spähposten zu zerstören. Der Feind konnte wichtige Informationen gewinnen und entscheidend zuschlagen.
qstr_You_have_defeated_the|Du hast dir feindliche Flotte besiegt! Dies ist ein schwerer Rückschlag für die Pläne des Feindes!
qstr_You_defeated_the_int|Du hast die Abfangflotte besiegt! Auch wenn dir nicht genügend Kräfte bleiben, um die Stadt selbst anzugreifen, ist dies ein großer Sieg!
qstr_You_drove_back_the_e|Du konntest die feindliche Flotte zwar in die Flucht schlagen, hast aber auch die meisten deiner Schiffe verloren.
qstr_You_were_defeated_by|Ihr wurdet von der feindlichen Abfangflotte in die Flucht geschlagen!
qstr_^^^^^^^You_come_upon|^^^^^^^Du triffst auf die Flüchtlinge aus {s2} auf ihrem Weg nach {s3}. ^^Es sind größtenteils Alte und Kranke, begleitet von Frauen und Kindern.^^ Es gibt einige Wachen, aber nicht genug, um alle für einem Angriff zu schützen.
qstr_^^^^^^^You_come_upon_|^^^^^^^Du triffst endlich auf die Flüchtlinge, die du seit {s2} verfolgst. Ihr Ziel scheint zu sein {s3} und es sind viele Alte und Kranke darunter. ^^Es gibt einige Wachen, aber nicht genug, um dich und deine Männer daran zu hindern, sie alle abzuschlachten.
qstr_^^At_last_the_Master|^^Endlich, der Meister macht den ersten Zug! Die Fackeln leuchten hell, die scharfen Schwerter glänzen. Du und deine Jungs werdet bald eure Marschbefehle erhalten. Ei, es wird genug Kampf für alle geben, und Ruhm ebenso!^^Dir wird die Ehre zugesprochen, dem Meister im gezackten Turm deine Aufwartung machen zu dürfen. Wahrscheinlich werden deine ersten Aufgaben Snaga-Arbeit sein. Hier ein Dorf niederbrennen, dort einem Versorgungstrupp auflauern. Aber du wirst dich schon noch beweisen können. Wer sagt denn, dass du nicht bald ebenso wichtig bist wie {s2} und sein Gefolge in {s3}?
qstr_^^Your_head_suddenly|^^Plötzlich siehst du ein Bild vor Augen - das flammende Auge. Alle deine Gefährten halten inne. Du erkennst, ihr alle gerade dasselbe Bild seht, den selben Ruf vernehmt. Gewaltig ist die Kunst des Lidlosen Auges - gewaltig ist die Macht von Barad-dûr!^^Du hörst die ungesprochenen Worte und verstehst, ohne zu hören. Die Zeit ist gekommen, der Dunkle Herrscher befiehlt - ihr alle werdet eure Feinde mit offenem Krieg überziehen. Befehle werden kommen von {s2} in {s3}. Deine ersten Aufgaben werden gering sein, aber du wirst dich noch früh genug beweisen können.^^Der Krieg hat begonnen, der Untergang des Westens ist nahe!
qstr_{s13}_asked_you_to_j|{s13} bat dich, dich mit mindestens {reg13} Truppen bei ihm zu melden, um Isengarts letzte Verteidigungslinie anzugreifen.
qstr_You_defeated_{reg5}_|Du hast {reg5} Feinde besiegt und deinen Befehlshaber beeindruckt.
qstr_You_defeated_{reg5}_e|Du hast {reg5} Feinde besiegt.
qstr_You_failed_to_defeat|Du hast nicht einen Feind besiegt.
qstr_The_sorcerer_slain_y|Nachdem der Hexemeister erschlagen ist, verbinden du und deine Gefährten hektisch eure Wunden und verschwinden in die Dunkelheit der Nacht. Grausame Stimmen schreien euch nach und du spürst, wie brennende Augen nach dir die Dunkelheit durchsuchen. Bald jedoch weicht die Wut der Enttäuschung und die Geräusche eurer Verfolger werden erstickt von der üblichen schweren Stille des Düsterwalds. Du bist entkommen.
qstr_The_sorcerer_slipped|Der Hexenmeister ist deinem Zugriff entwischt und entschlüpfte in die Dunkelheit. Mit schweren Herzen ob eures Versagens versorgen du und deine Gefährten hastig eure Wunden und entschwinden in die Nacht. Spottende Stimmen schreien euch nach und du spürst, wie brennende Augen nach dir die Dunkelheit durchsuchen. Bald jedoch werden das Gelächter und der Spott gnädig erstickt von der üblichen schweren Stille des Düsterwalds. Du bist entkommen. 
qstr_You_approach_a_heavi|Du näherst dich einem schwer bewachten Teil des Waldes...^^ Du musst nun entscheiden, ob du allein weitergehst oder Begleiter mitnimmst.
qstr_You_have_a_good_chan|Du hast gute Chancen, den Wachen auszuweichen und unbemerkt durchzuschlüpfen.
qstr_You_may_have_a_chanc|Du könntest eine Chance haben, den Wachen auszuweichen.
qstr_You_will_probably_ha|Du wirst wahrscheinlich gegen die Wachen kämpfen müssen.
qstr_You_wait_for_darknes|Du wartest auf den Einbruch der Dunkelheit...
qstr_You_are_quickly_disc|Du wurdest rasch vom Feind entdeckt.
qstr_You_advance_stealthi|Du rückst verstohlen in den Wald vor.
qstr_You_have_evaded_the_|Du bist den Streifen ausgewichen und näherst dich den Ruinen.
qstr_You_have_found_the_s|Du hast den Zauberer gefunden!
qstr_You_cannot_leave_unt|Du kannst nicht gehen, ehe die Wachen dich verloren haben!
qstr_Kill_him_quickly_bef|Töte ihn rasch, bevor er entkommt!
qstr_Enraged_by_the_death|Erzürnt durch den Tod von {s4}, schworst du einen Racheeid gegen die Truppen von {s3}. Du musst in den kommenden Tagen möglichst viele Soldaten von {s3} eigenhändig töten. Du bist dir bewusst, dass deine Gefährten Zeugen dieses Schwurs waren, und du möchtest nicht als Eidbrecher bekannt werden. Eine Orgie des Blutvergießens muss nun beginnen!
qstr_flooded._Somebody_or|geflutet ist. Jemand oder etwas muss die Dämme des Isen durchbrochen haben.
qstr_destroyed._Only_smol|zerstört ist. Nur glimmende Ruinen sind übrig.
qstr_^^^You_lost_your_fig|^^^Du hast gegen die Aufrührer verloren! ^Es scheint, deine Orks haben nun einen neuen Anführer.
qstr_^^^You_have_slain_th|^^^Du hast den Aufrührer erschlagen und die anderen Orks kehren rasch ins Glied zurück. ^ Fürs Erste werden diese Maden sicherlich ruhig bleiben.
qstr_You_cover_up_your_tr|Du verwischst deine Spuren und ziehst weiter.
qstr_Breaking_camp...|Lager abbrechen...
qstr_Party_morale_is_low.|Schlechte Moral: Soldaten desertieren aus deinem Trupp.
qstr_Desertion|Desertion
qstr_{s1}_has_deserted_fr|{s1} ist desertiert.
qstr_You_have_left_{s1}.|Du hast {s1} verlassen.
qstr_You_are_entering_{s1|Du bist nun {s1} ({s2}).
qstr_You_are_entering_{s1}|Du bist nun {s1}.
qstr_The_war_expands_comm|Der Krieg weitet sich aus. Die Anführer werden kühner! (Belagerungsbedingungen gesenkt)
qstr_Your_party_is_spotte|Dein Trupp wurde in {s1} bemerkt.
qstr_The_effects_of_the_O|Die Wirkung des Orkgebräus hat nachgelassen.
qstr_The_effects_of_the_M|Die Wirkung des Miruvor hat nachgelassen.
qstr_Athelas_used_up.|Athelas ist aufgebraucht.
qstr_Party_has_nothing_to|Die Truppe hat nichts zu essen!
qstr_You_pay_for_accommod|Du bezahlst die Unterbringung.
qstr_The_troll_outside_{s|Der Troll bei {s2} ist getötet worden. Auftrag abgebrochen.
qstr_{s1}_was_killed_on_t|{s1} wurde in der Schlacht getötet. Auftrag abgebrochen.
qstr_{s1}_has_been_defeat|{s1} wurde besiegt. Auftrag abgebrochen.
qstr_You_must_follow_{s1}|Du musst {s1} folgen!
qstr_You_must_follow_{s1}!|Du musst {s1} folgen! Das ist deine letzte Warnung!
qstr_{s1}_parties_defeate|{s1} - Trupps vernichtet: {reg1} von {reg2}
qstr_{reg65}_Moria_and/or|{reg65} Truppen von Moria und Gundabad getötet. (Zähler wird jede Stunde aktualisiert.)
qstr_{reg65}_{s3}_troops_|{reg65} Truppen von {s3} getötet. (Zähler wird jede Stunde aktualisiert.)
qstr_{reg66}_{s5}_troops_|{reg66} Truppen von {s5} getötet. (Zähler wird jede Stunde aktualisiert.)
qstr_{reg67}_{s7}_{s8}_tr|{reg67} {s8} von {s7} getötet. (Zähler wird jede Stunde aktualisiert.) 
qstr_{s8}_in_{s9}_asked_y|{s8} in {s9} bat dich, {reg67} zu erschlagen {s10}.^ {reg68} {s11} getötet. (Zähler wird jede Stunde aktualisiert)
qstr_{s1}_is_scouted.|{s1} ist ausgespäht.
qstr_{s2}_was_defeated!|{s2} wurde besiegt!
qstr_The_Age_of_Men_has_f|Das Zeitalter der Menschen ist endlich vorüber. Nun sammeln die Zwei Türme ihre verbliebenen Truppen und Verbündeten, um zu entscheiden, wer der alleinige Herrscher über Mittelerde wird!
qstr_The_War_of_the_Two_T|Der Krieg der Zwei Türme hat begonnen!
qstr_The_forces_of_{s22}_|Die Truppen von {s22} haben sich erholt! {s22} ist nun {s23}.
qstr_The_might_of_{s22}_h|Die Macht von {s22} hat abgenommen! {s22} ist nun {s23}.
qstr_In_a_desperate_attem|In einem verzweifelten Versuch, sich gegen seine Feinde zu verteidigen, entsendet Sauron seine Legionen von Mordor!
qstr_Guardians_of_{s6}|Hüter von {s6}
qstr_Guard_Legion_of_{s6}|Legion von {s6}
qstr_Scouts_report_that_{|Späher berichten, dass {s6} eine große Armee in der Nähe von {s7} sammelt, um in einem letzten Versuch die Hauptstadt zu verteidigen.
qstr_The_forces_of_{s2}_e|Die Truppen von {s2} haben ein Vorstoßlager in {s15} errichtet!
qstr_The_hosts_of_{s2}_ma|Die Heere von {s2} marschieren zurück, um ihre Heimat zu verteidigen!
qstr_{playername}_s_Reser|{playername}s Reserven
qstr_Gondor_has_called_fo|Gondor ruft nach Hilfe!
qstr_Gondor_is_accompanyi|Die Fürsten von Gondor begleiten den Heerführer.
qstr_{s5}_has_stopped_fol|{s5} hat dich verlassen.
qstr_You_have_{reg69}_all|Dir folgt {reg69} verbündeter Trupp.
qstr_You_have_{reg69}_ally|Dir folgen {reg69} verbündete Trupps.
qstr_The_forces_of_{s2}_h|Die Armeen von {s2} haben sich gesammelt und marschieren nach {s15}!
qstr_Your_scouts_report_s|Deine Späher melden Spuren von {s2} in der Nähe.
qstr_{s1}_from_{s2}|{s1} aus {s2}
qstr_When_dealing_with_lo|Bedenke beim Umgang mit den Leuten in {s11}, dass sie dich nicht kennen und nicht unbedingt deine Verdienste in {s10} anerkennen.^^(Die Ressourcenpunkte über die du in {s11} verfügen kannst sind nicht die, die du dir in {s10} verdient hast, sondern jene, die du in {s11} verdienen wirst. Siehe auch den Berichtbildschirm)
qstr_Info|Info
qstr_You_came_into_a_poss|Du bist in den Besitz einer merkwürdigen, übergroßen Schüssel voll frisch wirkenden Wassers gelangt. Es riecht ein wenig nach Moschus.
qstr_Obtained:_Ent_water.|Erlangt: Entwasser
qstr_A_little_after_you_f|Nachdem du dich endgültig von dem vergifteten Wasser, dass du von den laufenden Bäumen erlangtest, erholt hast, bemerkst du eine merkwürdige Nebenwirkung. Das Gewürm in deiner Truppe scheint dich nun zu... respektieren und dich mehr zu fürchten, als wärst du... größer geworden. Und du könntest schwören, dass du auch tatsächlich etwas größer bist. Ist das möglich?
qstr_Ent_water_effect.|Wirkung des Entwassers.
qstr_The_water_you_drank_|Das Wasser der Ents, das du getrunken hast, hat eine seltsame Wirkung auf deinen Körper. Zunächst hast du es nicht glauben wollen, aber nun, mit dem Beweis konfrontiert, musst du es zugeben: Irgendwie bist du gewachsen! Trotzdem, das Gift hätte dich beinahe getötet. Du wirst dieses Wagnis nicht erneut eingehen.
qstr_Ent_water_effect:_in|Wirkung des Entwassers: Größere Gestalt!
qstr__+1_to_Strength__per|+1 Stärke (dauerhaft)
qstr__+1_to_Charisma__per|+1 Charisma (dauerhaft)
qstr_The_dark_shadow_fina|Der dunkle Schatten hat sich endlich zu einem Sturm entwickelt und Horden des Bösen marschieren gegen die freien Völker Mittelerdes. Mordor gegen Gondor im Süden, Isengart gegen Rohan im Westen, Dol Guldur gegen die Elben... Selbst im Norden tobt ein eigener Krieg.
qstr_The_War_has_started!|Der Krieg hat begonnen!
qstr_The_forest_seems_pea|Der Wald wirkt friedlich.
qstr_There_is_a_sense_of_|Es hängt ein Gefühl der Gefahr in der Luft.
qstr_You_have_a_feeling_y|Du hast das Gefühl, den Wald lange genug gestört zu haben.
qstr_Get_out_now!|Hinaus, jetzt!
qstr_You_are_inside_Fango|Du befindest dich im Fangorn. {s11}
qstr_Your_party_witnessed|Deine Leute sahen Orks, die Gefangene fraßen.
qstr_Your_party_s_morale_|Die Kampfmoral wurde durch den Hass verstärkt.
qstr_Your_party_s_morale_h|Die Kampfmoral wurde durch die Furcht geschwächt.
qstr_{s27}:_Influence_wit|{s27}: Einfluss auf {s1} steigt von {reg2} auf {reg1}.
qstr_{s27}:_Influence_with|{s27}: Einfluss auf {s1} fällt von {reg2} auf {reg1}.
qstr_{s27}:_Party_morale_|{s27}: Truppenmoral gesteigert.
qstr_{s27}:_Party_morale_d|{s27}: Truppenmoral gesenkt.
qstr_You_have_failed_to_f|Du hast deinen Racheschwur für Balin und seine Gefährten nicht erfüllt!
qstr_You_have_failed_to_fu|Du hast deinen Racheschwur für {s1}s heldenhaften Tod nicht erfüllt!
qstr_Your_troops_value_yo|Deine Truppen anerkennen deine Bemügungen, den Schwur zu erfüllen, aber sie geben zu, dass die Situation sich zu schnell geändert hat. Deshalb sagen sie: 
qstr_{s22}You_have_fulfil|{s22}Du hast deinen Schwur, Balin und seine Gefährten zu rächen, erfüllt!
qstr_{s22}You_have_fulfill|{s22}Du hast deinen Racheschwur für {s1}s heldenhaften Tod erfüllt!
qstr_Reinforcements|Verstärkung
qstr_Refugees_Escaped:_{r|Entkommene Flüchtlingszüge: {reg10} --- Vernichtete Flüchtlingszüge: {reg11}
qstr_Raider_Parties_Kille|Plünderertrupps vernichtet: {reg12}
qstr_One_of_the_target_ce|Der Zielort der Flüchtlinge wurde zerstört. Die Flüchtlinge haben sich zerstreut und sind unauffindbar.
qstr_As_an_Orc_or_a_Dwarf|Als Ork oder Zwerg kannst du die einstellbaren Kamermodi nutzen. Siehe 'Spielkonzepte' für weitere Informationen.
qstr_Custom_Camera|The Last Days of the Third Age verfügt über eine angepasste 'Kamera'-Perspektive für kleine Charaktere (Orks und Zwerge). Sie ist einfach zu verwenden, verlangt aber möglicherweise eine gewisse Eingewöhnung.^^Es gibt (zusätzlich zur alten Standardposition) zwei neue Modi: Feste Kameraposition und Freier Modus.^^Die feste Kameraposition ist optimal für alle Rassen, kann aber nicht konfiguriert werden.^^Der freie Modus positioniert den Charakter in der Mitte des Bildschirms. Diese Kamera kann den Wünschen des Spielers angepasst werden. Beim Benutzen eines Bogens oder einer Wurfwaffe springt die Kamera an die Standardposition, um das Zielen zu erleichtern (was anfangs ziemlich schwierig sein kann, aber Gewöhnungssache ist). Sobald das Geschoss losgelassen wurde, springt die Kamera zurück auf die selbst eingestellte Position.^^^Steuerung:^^Drücke gleichzeitig Strg+Ende, um die Kamera zwischen den drei Modi umzuschalten: Standardposition / Feste Position / Freier Modus.^^ Freier Modus - Kamerahöhe (Tilt): Drücke und halte Strg+"Page Up" / "Page Down", um die Kamerahöhe einzustellen.^^Freier Modus - Kameraabstand (Zoom): Drücke und halte Strg+ "+" (Nummernblock) / "-" (Nummernblock), um den Kameraabstand einzustellen.^^Halte zusätzlich die Umschalttaste, um eine feinere Einstellung der Kamerahöhe / des Kameraabstands zu ermöglichen.
qstr_{reg65?my_Lady:my_Lo|{reg65?meine Herrin:mein Herr}
qstr_{reg65?My_Lady:My_Lo|{reg65?Meine Herrin:Mein Herr}
qstr_{reg65?mistress:mast|{reg65?Gebieterin:Gebieter}
qstr_{reg65?Mistress:Mast|{reg65?Gebieterin:Gebieter}
qstr_{reg65?madame:sir}|{reg65?Herrin:Herr}
qstr_{reg65?Madame:Sir}|{reg65?Herrin:Herr}
qstr_How_do_magnets_work?|Wie funktionieren Magneten?
qstr_Um..._by_enchanting_|Ehm... indem Eisen verzaubert wird?
qstr_Magnets_are_made_of_|Magneten bestehen aus Metall, das aus dem Boden gewonnen wird. Sie sind magnetisch, weil das Metall immer noch Reste von Anziehungskraft in sich trägt.
qstr_i_wont_a_bonerlrord_|i wont a bonerlrord port nao!!11!
qstr_Install_TLD_in_your_|Install TLD in your Bannerlord Modules folder, add the line 'compatible_with_wfas = 1' to module.ini, and you can play it both on Warband AND Warrider 0.202!
qstr_Bannerlord_runs_on_a|Bannerlord läuft auf einer neuen Engine. Wir werden TLD nicht auf Bannerlord portieren können, wie es mit Warband möglich war.
qstr_dis_mod_takes_2_long|dis mod takes 2 long 2 releaze! it sux!!11!
qstr_Well_there_s_a_lot_o|Naja, es gibt viele neue Grafiken und so, ich schätze das dauert.
qstr_It_has_been_recently|Sie ist kürzlich erschienen, solltest du den Link verpasst haben, kannst du sie bei lemonparty.org herunterladen.
qstr_i_wont_decapitated_e|i wont decapitated elephants in multi, nao!!11!
qstr_I_don_t_think_there_|Ich glaube nicht, dass es in TLD einen Mehrspielermodus gibt, aber Elefanten wären schön.
qstr_There_is_a_hidden_el|Es gibt einen versteckten Deathmatch-Modus in TLD, aber du musst zunächst alle gespeicherten Spielstände entfernen, ohne zu speichern für 100 Spieltage spielen, dann auf den Charakterbildschirm wechseln und Alt+F4 drücken. Es lohnt sich!
qstr_Y_NO_ChINESE??|Y NO ChINESE??
qstr_Just_to_troll_you_tr|Just to troll you, troll!
