trp_unarmed_troop|Unbewaffneter
trp_gunda_placeholder_pl|Abgerichtete Bergtrolle
trp_isen_troll|Troll von Isengart
trp_isen_troll_pl|Trolle von Isengart
trp_isen_vet_troll|Abgerichteter Troll von Isengart
trp_isen_vet_troll_pl|Abgerichtete Trolle von Isengart
trp_isen_armored_troll|Gepanzerter Troll von Isengart
trp_isen_armored_troll_pl|Gepanzerte Trolle von Isengart
trp_mordor_troll|Troll aus Mordor
trp_mordor_troll_pl|Trolle aus Mordor
trp_mordor_vet_troll|Abgerichteter Troll aus Mordor
trp_mordor_vet_troll_pl|Abgerichtete Trolle aus Mordor
trp_mordor_olog_hai|Olog-hai aus Mordor
trp_mordor_olog_hai_pl|Olog-hai aus Mordor
trp_troll_placeholder_1|Höhlentroll
trp_troll_placeholder_1_pl|Höhlentrolle
trp_troll_placeholder_2|Höhlentroll
trp_troll_placeholder_2_pl|Höhlentrolle
trp_troll_placeholder_3|Höhlentroll
trp_troll_placeholder_3_pl|Höhlentrolle
trp_troll_placeholder_4|Höhlentroll
trp_troll_placeholder_4_pl|Höhlentrolle
trp_troll_placeholder_5|Höhlentroll
trp_troll_placeholder_5_pl|Höhlentrolle
trp_troll_placeholder_6|Höhlentroll
trp_troll_placeholder_6_pl|Höhlentrolle
trp_wild_troll|Wilder Höhlentroll
trp_wild_troll_pl|Wilde Höhlentrolle
trp_ent|Ent
trp_ent_pl|Ents
trp_mountain_goblin|Bergork
trp_mountain_goblin_pl|Bergorks
trp_tribal_orc|Stammesork
trp_tribal_orc_pl|Stammesorks
trp_tribal_orc_warrior|Ork-Stammeskrieger
trp_tribal_orc_warrior_pl|Ork-Stammeskrieger
trp_tribal_orc_chief|Ork-Stammeshäuptling
trp_tribal_orc_chief_pl|Ork-Stammeshäuptlinge
trp_a3_dism_skirmisher_of_rohan|Scharmützler aus Rohan
trp_a3_dism_skirmisher_of_rohan_pl|Scharmützler aus Rohan
trp_a4_dism_veteran_skirmisher_of_rohan|Erfahrener Scharmützler aus Rohan
trp_a4_dism_veteran_skirmisher_of_rohan_pl|Erfahrene Scharmützler aus Rohan
trp_a5_dism_elite_skirmisher_of_rohan|Angesehener Scharmützler aus Rohan
trp_a5_dism_elite_skirmisher_of_rohan_pl|Angesehene Scharmützler aus Rohan
trp_ac5_camel_rider|Kamelreiter von Harad
trp_ac5_camel_rider_pl|Kamelreiter von Harad
trp_aragorn|Aragorn
trp_legolas|Legolas
trp_gimli|Gimli
trp_pippin_notmet|Halbling
trp_merry_notmet|Halbling
trp_pippin|Pippin
trp_merry|Merry
