
str_yes|Ja
str_npc20_personalitymatch_speech_b|Ich habe noch nie einen 'urku' wie Bolzog getroffen. Oh ja, er bietet dem Auge kein Fest, das nicht. Aber in meinem ganzen langen Leben ist er der erste, den ich getroffen habe, der mehr kann als schleichen, lungern und metzeln. Seine knotigen Hände sind erstaunlich geschickt. Oh ja, sehr geschickt... Es könnte sein, dass ich ihm noch mehr über die Kunst von Knochen und Sehne beibringen kann, als ich zunächst gedacht hatte.
str_npc21_personalitymatch_speech_b|Dieser dämliche kleine Ufthak versucht ständig, davonzuschleichen. Aber ich erwische ihn jedes mal. Es ist fast so wie in der guten alten Zeit, als ich meine eigene Bande hatte. Oder noch davor, auf der anderen Seite der Berge, als ich meine Jungs bei mir hatte - Bert und Bill und Tom. Ach was soll's - das ist lange lange her. Wo ist der kleine rattengesichtige Schuft jetzt schon wieder hin? Ufthak! Komm her, du mieser kleiner Rumschleicher!
str_npc22_personalitymatch_speech_b|Ich mag {s11}.
str_npc23_personalitymatch_speech_b|Ich frage mich, wie alt er ist. Vielleicht einige dutzend Jahrhunderte älter als auch? Vergesst es, Ihr würdet es nicht verstehen.
str_npc24_personalitymatch_speech_b|{s11} und ihre Thal-Sippe, auch wenn sie nicht ganz den Zwergenkrieger-Standards gerecht werden, haben sich als standhafte Verbündete in diesem Krieg erwiesen. Eine gute Wahl für einen Freund und Gefährten unter den Menschen, wenn ich so sagen darf.
str_npc25_personalitymatch_speech_b|Die Leute von Thal haben hohe Achtung vor den kühnen Zwergenvolk vom Einsamen Berg, als Freunde und Beschützer und trotz der unterschiedlichen Völker und Gebräuche.
str_npc26_personalitymatch_speech_b|Ich mag {s11}.
str_npc27_personalitymatch_speech_b|Ich mag {s11}.
str_npc18_retirement_speech|I think I want to settle down and raise a family and, I dunno, do embroidery or shit. Bye.
str_npc19_retirement_speech|Listen, strange men standing around claiming royal bastardy is no basis for a system of government.
str_npc20_retirement_speech|Maybe anger isn't the way. All we need is love. Why can't we all get along?
str_npc21_retirement_speech|Ich bin des Lebens eines Kriegers überdrüssig, ich setze mich zur Ruhe.
str_npc22_retirement_speech|Ich bin des Lebens eines Kriegers überdrüssig, ich setze mich zur Ruhe.
str_npc23_retirement_speech|Ich bin des Lebens eines Kriegers überdrüssig, ich setze mich zur Ruhe.
str_npc24_retirement_speech|Ich bin des Lebens eines Kriegers überdrüssig, ich setze mich zur Ruhe.
str_npc25_retirement_speech|Ich bin des Lebens eines Kriegers überdrüssig, ich setze mich zur Ruhe.
str_npc26_retirement_speech|Ich bin des Lebens eines Kriegers überdrüssig, ich setze mich zur Ruhe.
str_npc27_retirement_speech|Ich bin des Lebens eines Kriegers überdrüssig, ich setze mich zur Ruhe.
str_npc18_rehire_speech|Meine Klinge lechzt nach Blut, {Meister/Herrin}. Lasst mich wieder mitkommen!
str_npc19_rehire_speech|Es ist gut, Euch wiederzusehen, Recke. Erlaubt mir, mich Euch wieder anzuschließen.
str_npc20_rehire_speech|Lasst uns gleich aufbrechen, {Kriegsherr/Kriegsherrin}. Dieser Krieg wird nicht durch Faulheit gewonnen!
str_npc21_rehire_speech|Wie ist es Euch ergangen, Boss? Soll ich meine Habe sammeln und wieder mit Euch kommen?
str_npc22_rehire_speech|Es ist gut Euch zu sehen, {playername}. Lasst uns wieder zusammen reisen.
str_npc23_rehire_speech|Es ist gut Euch zu sehen, {playername}. Lasst uns einen gemeinsamen Weg gehen.
str_npc24_rehire_speech|Meine Axt ist bereit, {playername}. Soll ich mich Euch wieder anschließen?
str_npc25_rehire_speech|Ihr seid ein willkommener Anblick. Soll ich mich Euch wieder anschließen?
str_npc26_rehire_speech|Gulm ist bereit, wieder für Euch zu töten. Gehen wir?
str_npc27_rehire_speech|Kann ich Euch wieder dienen?
str_npc18_home_intro|Ah, der Anduin. Oh {Meister/Herrin}, Ihr wisst sicher vond en großen Siegen der Wagenfahrer vor vielen vielen Generationen? Sie gingen ein Bündnis mit uns Variags ein und gemeinsam zermalmten sie die armseligen Armeen Gondors unter ihrem König Ondoher. Was für ein ruhmreiches Gemetzel unsere Vorfahren genießen konnten!
str_npc19_home_intro|Ah, Edoras. Mein rechtmäßiges Erbe. Seht dort oben, Recke, die Goldene Halle. Es ist nur wenige Generationen her, dass genau vor der Tür von Meduseld der letzte Sohn Helm Hammerhands erschlagen wurde, und nach ihm war Wulf für eine kurze Weile König. Natürlich nicht jener Wulf, der jetzt ein Häuptling der Dunländer ist, der ist nur ein armer Bastard der einen Namen trägt, der größer ist als er selbst.
str_npc20_home_intro|Ah, der einsame Berg. Die letzte Heimstatt von Durins Volk. Ein schöner Anblick - aber nicht so schön, wie die Erinnerung an jenes Zwergen letzte Augenblicke, welche ich ihm mit meiner Kunst ins schier unendliche verlängerte. Von zäher Art sind die Zwerge, wahrlich. Aber ihr Erschaffer Aulë hat ihnen keinen Gefallen damit getan, dass sie so große Schmerzen ertragen können.
str_npc21_home_intro|Hey Boss! Das hier ist ein übler Ort. Dol Guldur, eine schwarze Grube, bis zum Rand gefüllt mir Übel. Überall Bäume und nicht ein einziges saftiges Eichhörnchen, kein einziges leckeres Vögelchen zwischen den Zweigen. Muss keine Hexe oder sowas sein um zu erkennen, dass hier die Großen Dunklen hausen.
str_npc22_home_intro|Daro! Das voraus ist Angrenost und der schwarze Turm Orthanc. Viel hat sich verändert, seit ich sie das letzte Mal sah, und nichts zum Besseren.
str_npc23_home_intro|Verzeiht, {playername}. Die Pfade in dieser Gegend werden verschlungener und einige führen zu toten Enden. Wir scheinen uns Dol Guldur zu nähern.
str_npc24_home_intro|He, Hauptmann! Dass muss der alte Pfad zu den östlichen Toren von Khazad-dûm sein, oder Moria, wenn Ihr das bevorzugt. Ihr könnt in der Ferne den glänzenden See Kheled-zâram sehen, und, durch die Wolken, die drei Gipfel der Nebelgebirge, die diesen Teil bekanntlich zieren.
str_npc25_home_intro|Oh, ein eigentümlicher Anblick! Ich hörte Geschichte über diesen Ort, an dem stämmige Waldmenschen in Harmonie mit Tieren und Pflanzen leben sollen. Beorninger werden sie genannt, glaube ich.
str_npc26_home_intro|Verflucht! Meister, das dort muss die Hornburg sein.
str_npc27_home_intro|Seht dort!
str_npc18_home_description|Unsere Weisen berichten von diesem Krieg. Wenn die Südländer nicht so schwach gewesen wären, dass sie trotz ihrer großen Zahl eine Schlacht verloren, dann hätten die Menschen von Gondor niemals die Schlacht des Lagers gewonnen. Die Streitwagen der Wagenfahrer wurden zertrümmert und viele tapfere Helden kamen in den Totensümpfen um ihr Leben.
str_npc19_home_description|Ich würde gern erleben, dass sich unsere Völker vereinen, so wie sie es einst waren. Nicht länger werden matthaarige Frauen kränkliche Kinder an ihren dürren Brüsten nähren, während sich ihre goldhaarigen Verwandten in ihren warmen Hallen an Fleisch laben und am Wein berauschen. Nicht länger  werden die schwarzhaarigen Hügelmenschen voller Verbitterung auf die Pferdeherden der blondhaarigen Bauern schauen. Als König werde ich für Gerechtigkeit sorgen - aber erst, wenn die Unrechtsherrscher von Rohan ihr Wergeld bezahlt haben.
str_npc20_home_description|Ich erinnere mich gut an ihn - Thráin, Sohn des Thrór. Ein törichter, aufgeblasener Möchtegernkönig einer zerbrochenen Linie, der Anspruch erhebt auf einen wertlosen Thron! Furchtbare Qualen erlitt er von meiner Hand. Aber niemand kann Zigûrphels Willen lange widerstehen, {Kriegsherr/Kriegsherrin}. Niemand. Ich nahm ihm seinen Ring ab, in den Verliesen von Dol Guldur, und schickte das Kleinod zum Dunklen Turm, wofür ich reich belohnt wurde. Hoch stieg ich im Ansehen des Dunklen Herrschers!
str_npc21_home_description|Mein ganzes Leben lang hatte ich nichts mit Hexerei zu tun und ich habe nicht vor, jetzt damit anzufangen.
str_npc22_home_description|Einst durch das Südliche Königreich errichtet, nun Heim jemandes, den wir den Weißen Zauberer nennen, ohne Zweifel intrigierend, wie er seine Macht auf Kosten anderer weiter steigern kann.
str_npc23_home_description|Ich bin noch nie so weit vorgedrungen, aber ich hörte unsere Düsterwald-Späher sagen, dass es hier vielleicht Nazgul gibt. Ich fühle die Anwesenheit von etwas Bösem, aber ich kann es nicht benennen. Es ist jedoch mächtig, also lasst uns umsichtig sein.
str_npc24_home_description|Ausgehend von der Verwüstung und den vielen Orkspuren, fürchte ich um das Schicksal des tapferen Balin und seiner Expedition. Moria scheint dem Schatten anheim gefallen zu sein, und wir sollten vorsichtig vorgehen.
str_npc25_home_description|Nicht allzu oft kommt ein fahrenden Händler auf den Markt von Thal und bietet den besten Honig an, den ich jemals kostete. Aus irgendeinem merkwürdigen Grund sagt er, dass 'er von Bären hergestellt wurde' und lacht.
str_npc26_home_description|Ihre verdammten Mauern sind zu hoch und zu hart, um sie mit meinem Hammer zu zerbrechen. Ich meine, wenn wir es jemals schaffen, die Menschlinge aus den Schweinsställen Edoras zu vertreiben, werden sie hierher fliehen und sich hinter die Mauern kauern.
str_npc27_home_description|Kennt Ihr die Stadt?
str_npc18_home_description_2|Es ist mir eine Freude, Eure Kampfgefährtin zu sein, {Meister/Herrin}. Die Großen meines Volkes werden dieses Land zurückverlangen, welches einst das ihre war. Sie sollen gern an sich reißen von Gondor und dem Westen, was immer sie mögen. Ich für meinen Teil zähle mich glücklich, wenn ich jeden Tag diesen Boden mit dem Blut meiner Feinde besprenge.
str_npc19_home_description_2|Ihr werdet Euch für mich einsetzen, nicht wahr, wenn der lange Krieg vorbei ist? Gegenüber welcher Macht auch immer, die dann die Oberhand erringt, Auge oder Hand? Ihr werdet meinen Anspruch vertreten, damit ich Edoras und ganz Rohan, mein Heim und meinen Besitz, als rechtmäßiger Herr zum Lehen erhalte?
str_npc20_home_description_2|Wir werden die Werke der Valar hier in Mittelerde zerstören und damit auch diese Zwerge. Ja, es wäre ein süßer Sieg, zu vernichten, was Aulë erschaffen hat. Wir werden die Zwerge unter unseren Stiefel zermalen, die letzten Königreiche der niederen Menschen zertrümmern und lachend zusehen, wie die Elben in die Nebel schwinden wie Geister. Dann wird der Tag kommen, da ich vor den Höhlen der Vergessenen in Valinor stehe und meinen Kind erneut hervorrufe!
str_npc21_home_description_2|Mein ganzes Leben lang hatte ich nichts mit Hexerei zu tun und ich habe nicht vor, jetzt damit anzufangen.
str_npc22_home_description_2|Lasst es eine Mahnung dafür sein, dass auch die Größten, selbst einer der Istari, verdorben und zu Fall gebracht werden können. Diejenigen, die nach Macht gieren, können durch Macht besiegt werden, lasst uns also nicht länger verweilen.
str_npc23_home_description_2|Ich spüre finstere Armeen hinter den Mauern, die sich vorbereiten zu marschieren... Gen Lothlórien? Thal? Mein Heimatland Düsterwald? Ich kann es nicht sagen, aber bitte tut alles in Eurer Macht Stehende, um es zu verhindern.
str_npc24_home_description_2|Sollten uns die Wendungen des Schicksals jemals mit einer großen Armee beglücken, dann sollten es wagen, in die Minen vorzudringen und ihre großen Reichtümer zu bergen.
str_npc25_home_description_2|Ich kann den Duft vieler süßer Blumen riechen und sehe die Bienen ihren Nektar sammeln. Wenn es Euch nicht stört, werde ich einige Kräuter für unseren Eigengebrauch pflücken. Es dauert nur einen Moment.
str_npc26_home_description_2|Es hat keinen Sinn sich hier herumzuschleppen, sofern wir nicht durch eine große Horde Uruk-hai unterstützt werden. Es sei denn, Ihr wollt den Wachen auf der Mauer Grimassen schneiden.
str_npc27_home_description_2|Minas Morgul, wo die Nazgul den ganzen Tag saufen, harr-harr!
str_npc18_home_recap|Ich war eine Gefangene in Ketten, zum Tode verurteilt, weil ich den Sohn von Lurmsakun in der Kampfgrube erschlagen habe. Drei von ihnen griffen mich an und ich schlug sie, aber einer erlag seinern Wunden. Dann spracht Ihr für mich und gabt mir die Freiheit. Nun töte ich für Euch und würde auch für Euch sterben, wenn es sein muss.
str_npc19_home_recap|Ich bin von königlichem rohirrischen Blut, das schwöre ich. König Fengel war mein Großvater, auch wenn er meine Großmutter nie zur Frau nahm. Die Häuptline von Dunland sind neidisch auf mich und halten mich fern von Kampf, auf dass ich keine großen taten vollbringen möge und keinen Ruhm erlange noch Männer für mein Kriegsbanner. Dann habt Ihr mich aufgenommen, Recke. Nun erwarte ich geduldig den Tag, da ich in Edoras auf meinem rechtmäßigen Thron sitze.
str_npc20_home_recap|Was soll ich Euch noch berichten, {Kriegsherr/Kriegsherrin}? Ich übte meine Künste in den Verliesen von Dol Guldur. Mein träumendes Auge sieht tief und weit - und so sah ich Euch und Eure Taten in diesem Krieg. Es scheint mir, dass ich Euch beistehen muss wie ich es vermag, auf dass die Mächte des Westens daniederliegen und die Macht im Osten sich erneut erheben möge, um zu herrschen bis zum Ende der Welt.
str_npc21_home_recap|Ich hatte eine richtige Räuberbande in den Bergen, bis ich mal ein bisschen zu viel getrunken hatte und mein Leben an diese Schwindler aus Gundabad verspielte.
str_npc22_home_recap|Ich gebe Eurer Neugier nach, aber lasst uns nicht verweilen.
str_npc23_home_recap|Ich wurde im Düsterwald geboren und aufgezogen, eine Waldelbin. Die Fertigkeit unseres Volkes in der Holzbearbeitung ist allen bekannt.
str_npc24_home_recap|Ich bin der Sohn von Dwalin, aus Durins Volk.
str_npc25_home_recap|Ich bin eine Heilerin und Kräuterkundige aus Thal.
str_npc26_home_recap|Gulm wird erzählen, wenn du wissen musst. Aber Reden macht Feinde nicht tot.
str_npc27_home_recap|Ich werde mich kurz fassen.
str_npc18_honorific|{Meister/Herrin}
str_npc19_honorific|{Anführer/Anführerin}
str_npc20_honorific|{Kriegsherr/Kriegsherrin}
str_npc21_honorific|Häuptling
str_npc22_honorific|{Anführer/Anführerin}
str_npc23_honorific|Krieger
str_npc24_honorific|Hauptmann
str_npc25_honorific|{Anführer/Anführerin}
str_npc26_honorific|Gebieter
str_npc27_honorific|Gebieter
str_gondor_guildmaster_companion_player_ask|Mit Verlaub des Herrn von Gondor suche ich mutige Gefährten. Gibt es hier solche?
str_gondor_guildmaster_companion_none|Nein, {Hauptmann/Herrin}. Wir benötigen jeden von Rang zur Verteidigung unserer Stadt. In den Kasernen werdet ihr tapfere und erfahrene Soldaten finden - vielleicht eher das erste als das zweite, fürchte ich. Wir sind vor allem Händler, Handwerker und Landvolk. Unsere besten Soldaten ziehen in die Hauptstadt, um der Wache beizutreten, Ihr solltet es also in der Weißen Stadt versuchen.
str_gondor_guildmaster_companion_player_none_ok|Nun gut, habt Dank für Euren Rat.
str_gondor_guildmaster_player_found_ok|Ich danke Euch. Mögen die guten Wünsche aller guten Menschen mit Euch sein.
str_gondor_mt_guildmaster_companion|Nun, {Hauptmann/Herrin}, es gäbe wohl einen und ich berichte Euch gern von ihm. Er ist eine Torwache und nennt sich Cirdil. Auch jetzt werdet Ihr ihn wohl in der Nähe der Stadttore auffinden. Er ist pflichtbewusst und tapfer - jedoch habe ich kürzlich mit ihm gesprochen und hatte den Eindruck, dass er mehr tun will als nur auf seinem Posten zu stehen und zuzusehen, wie die Schatten sich jenseits der Mauern sammeln. Ich bin mir sicher, dass er sich Euch freudig anschließen wird, um die Weiße Stadt zu verlassen.
str_gondor_ha_guildmaster_companion|Fürwahr, dem ist so. Unser Hauptmann Faramir schätzt zwei seiner Untergebenen besonders: Mablung und Damrod. Damrod ist unterwegs auf Geheiß des Hauptmanns, aber Mablung werdet Ihr in der Höhle dort finden, etwas weiter den Pfad hinauf. Wir Waldläufer beherrschen manches Wissen über die Wildnis wie auch über den Umgang mit dem Bogen und Mablung übertrifft die meisten von uns in beidem. Er ist ein Mann von Wert, einer unserer besten. Womöglich erhält er Urlaub, um Euch eine Weile zu begleiten.
str_rohan_guildmaster_companion_player_ask|Mit Verlaub des Königs Theodens suche ich die Hilfe der mutigen Rohirrim. Folgen mir einige standhafte Kämpfer?
str_rohan_guildmaster_companion_none|Es wäre nun besser wenn du Hilfe bieten möchtest, statt darum zu bitten. Pferde, Schwerter, Speere - das brauchen wir zurzeit. In Bezug auf deine Frage: gehe zu den Kasernen. Da findest du diejenigen, die zum Fortreiten bereit stehen, obwohl die oft bartlose Jugendlichen oder kampfunerfahrene Hirten und Hüter sind.
str_rohan_guildmaster_companion_player_none_ok|Ich wünsche Eurem Volk ebenfalls das Beste, Thain. Lebt wohl.
str_rohan_guildmaster_player_found_ok|Dieser Rat erscheint mir gut. Möget Ihr stehts mit Kraft gesegnet sein!
str_rohan_edoras_guildmaster_companion|Wahrlich, das könnte sein. Nur in den dunkelsten aller Tage ergreifen unsere Frauen das Schwert und reiten gemeinsam mit den Männern in den Krieg - doch unsere kühne und edle Herrin Eowyn, die wir alle lieben, reitet und kämpft so gut wie jeder Marschall. In ihrem Gefolge hat sie Schildmaiden, die seit ihrer Jugend mit ihr den Kampf üben. Einigen davon könntet ihr bei der Goldenen Halle begegnen. Unsere Frauen sind wahrlich kühn! Fragt nach Galmyne - sie beherrscht unsere Kriegskunst in vollendetem Maße und doch zieht sie umher wie eine Stute, die sich an schlecht sitzendem Zaumzeug wund scheuert, denn ihr ist nicht die Erlaubnis erteilt worden, mit den Männern auszureiten.
str_lorien_guildmaster_companion_player_ask|Ältester, ich suche Hilfe. Die niedrigsten unter den Elben von Lorien kämpfen wie Helden von einst; würden sich einige hier meiner Sache anschließen?
str_lorien_guildmaster_companion_none|Das Böse zeigt sich selbst hier, im Schatten der Mallornbäume; Schmerz und Sorge ergreifen uns. In fröhlicheren Tagen zupften wir sanft die Saiten der Harfe, doch nun ziehen unsere Finger nur noch an Bogensehnen. Ich weiß von keinem Helden unter uns, aber Ihr solltet mit dem Befehlshaber der Wachen sprechen. Vielleicht willigen einige der unsrigen ein, sich Euch für eine Weile anzuschließen.
str_lorien_guildmaster_companion_player_none_ok|Ich hatte mir schönere Worte erhofft in diesem Eurem schönen Land. Aber ich werde tun was Ihr sagt, Ältester.
str_lorien_guildmaster_player_found_ok|Ich danke Euch für Euren Rat, Ältester. Tiro ven Elbereth!
str_lorien_ca_guildmaster_companion|Nan Belain, ich vermag Euch von einem Wunder berichten! Zu einem anderen Zeitpunkt hätte ich nichts als Enttäuschung für Euch, aber nun befindet sich in der Gesellschaft unserer Herrin niemand anderer als Herr Glorfindel, Held aus mehr Schlachten als ich erinnern kann. Ich weiß nichts darüber, zu welchem Zweck solch ein großer Kämpfer sich hier aufhält -- er kam mit Elronds Heer aus Imladris, jedoch folgt er seinem eigenem Rat und spricht allein mit Herrn Celeborn und der Herrin Galadriel. Sucht ihn auf, womöglich lässt sich sein Ansinnen mit dem Euren vereinen.
str_beorn_guildmaster_companion_player_ask|Einen Ratschlag, guter Freund - befinden sich hier irgendwelche Krieger von großem Können?
str_beorn_guildmaster_companion_none|Nun, davon weiß ich nichts. Eure Frage erscheint mir unklar. Was meint ihr mit "großem Können", was ihr nicht unter unseren Wachen finden könntet? Wir kämpfen mit starken Stäben und scharfen Beilen und wir schießen gut genug mit unseren Bögen. Ich wüsste nicht, was Ihr mehr verlangen könntet.
str_beorn_guildmaster_companion_player_none_ok|Nun gut, dann ziehe ich am besten weiter. Einen guten Tag Euch, Waldmann.
str_beorn_guildmaster_player_found_ok|Ich verstehe. Nun, dann werde ich diesen Dimborn aufsuchen. Guten Tag Euch, Waldmann.
str_beorn_house_guildmaster_companion|Das ist eine gute Frage. Ich würde sagen, dass jeder von uns einen Bergork oder einen Warg besiegen könnte, aber der Neffe unseres Häuptlings ist kräftiger als die meisten von uns. Er verbringt seine Zeit am liebsten im Wald, nicht unter Leuten. Mehr Kraft als Witz, versteht Ihr? Dennoch - er ist sanft zu seinen Freunden und voller Grimm im Kampf, so wie es sein soll. Bewegt sich durch die Wälder so geschickt wie ein Elb. Wir nennen ihn Dimborn, Dunkelquell, denn niemand kann ergründen, woran- oder ob - er gerade denkt. Sprecht mit ihm, er sollte hier irgendwo sein.
str_woodelf_guildmaster_companion_player_ask|Mit Erlaubnis von König Thranduil suche ich große Kämpfer des Grünwalds, die in meiner Truppe kämpfen wollen, Ältester.
str_woodelf_guildmaster_companion_none|Ist das so? Dann fragt doch einfach bei unseren Truppen und vielleicht entscheiden sich einige, Euch zu folgen. Aber ich vermute, Ihr verlangt nach mehr. Haltet Ihr Euch für {einen großen Held/eine große Heldin}, aus dem Nargothrond oder Gondolin von einst? Wir brauchen unsere besten Krieger um uns gegen den wachsenden Schatten im Düsterwald zu behaupten. Nehmt mit, was wir an Kämpfern entbehren können und gebt Euch damit zufrieden.
str_woodelf_guildmaster_companion_player_none_ok|Gut, Ältester. Ich werde tun was Ihr sagt.
str_woodelf_guildmaster_player_found_ok|Habt Dank für Euren Rat, Ältester. Navaer!
str_woodelf_halls_guildmaster_companion|Möglich. Ich weiß von einer Elbin, deren Hilfe Ihre nicht verachten solltet. Sie heißt Luevanna und sie ist eine Verwandte von mir, wie es der Zufall will. Sie ist jung, nach dem Maßstab unseres Volkes, und sie pflegt eine zärtliche Liebe zu den Wäldern und Wesen darin - abgesehen von jenen, die dem Bösen folgen. Sie ist sanftmütig und hat noch nicht in unserem Aufgebot gekämpft. Dennoch habe ich die Hoffnung, dass sie überredet werden könnte, sich Euch anzuschließen, denn dann könnte sie lernen, dass - obwohl wir in friedlichen Zeiten friedliebend sind - kriegerische Zeiten nach kriegerischen Taten verlangen. Seht, dort drüben steht sie, sprecht mir ihr. Harthon gerithach lend vaer!
str_dale_guildmaster_companion_player_ask|Guter Meister, ich suche nach kräftigen und verdienten Kriegern, die in diesem Krieg an meiner Seite kämpfen wollen.
str_dale_guildmaster_companion_none|Nun, hier in unserer Stadt kümmern wir uns lieber um unsere Geschäfte, still und leise, und bis vor kurzem hatten wir keinen großen Bedarf an Kriegern. I denke, Ihr solltet in den Truppenunterkünften fragen und Rekruten aus unserer Garnison anwerben. Ich weiß von keinem unserer Hauptmänner, der seinen Posten aufgeben und Euch folgen würde.
str_dale_guildmaster_companion_player_none_ok|Das werde ich tun, guter Meister. Lebt wohl.
str_dale_guildmaster_player_found_ok|Oft ist das ungebetene Geschenk das beste. Ich werde mit Faniul reden. Lebt wohl!
str_dale_main_guildmaster_companion|Nun, der König und seine Fürsten haben den besten Anspruch auf den Dienst unserer Hauptmänner. Ich wüsste von keinem Krieger von Rang, der nicht schon woanders gebraucht würde. Aber sind Kämpfer das einzige, was Ihr braucht? Was ist mit jenen, die Wunden verbinden oder sich mit Heilkräutern auskennen? Ich kenne so jemanden -  Faniul, die persönliche Heilerin des Königs. Sie war auch Hebamme bei meiner Schwester. Und lasst Euch nicht von ihrem Alter täuschen: Sie ist beherzt und kräftiger, als sie aussieht. Ich denke, sie wird die Strapazen des Herumreisens gut ertragen können. Ich glaube ich sehe sie dort drüben von der Arbeit ruhen, hier auf dem Platz.
str_dwarf_guildmaster_companion_player_ask|Guter Meister, hier gibt es sicher einige wackre Krieger. Kennt Ihr einen, der sich mir anschließen würde?
str_dwarf_guildmaster_companion_none|Nun, Ihr habt Recht was unsere Fertigkeiten in der Schlacht angeht, aber sind Euch die Jungs in unserer Garnison nicht gut genug? Abgesehen von denen weiß ich keinen, der Euch zufriedenstellen würde - Ihr redet daher, als wäret Ihr ein König, der einen Recken sucht, so wie in den alten Tagen. Aber von nichts kommt nichts, wie ich zu sagen pflege. Beweist erst einmal selbst, wie wacker Ihr seid!
str_dwarf_guildmaster_companion_player_none_ok|Kein Grund, verärgert zu sein, guter Meister. Ich habe nur eine Frage gestellt. Einen guten Tag Euch.
str_dwarf_guildmaster_player_found_ok|Das hört sich vielversprechend an, Meister. Einen guten Tag Euch.
str_dwarf_erebor_guildmaster_companion|Oho! Ihr sucht nach Kriegern, ja? Dann habe ich genau den richtigen Zwerg für Euch: Sprecht mit Kili Goldfinger. Er ist ein Zwerg von der besten und kühnsten Sorte und der Stolz seiner Sippe. Kämpft fast so gut wie ein Langbart, obgleich er nach unseren Maßstäben noch sehr jung ist. Er ist auch ein hervorragender Geschichtenerzähler - und was er erzählt, ist nicht düster und grausig, sondern heiter und ungezwungen. Sprecht mit ihm - ich glaube nicht, dass es vieler Überzeugung bedarf, damit er Euch in die weite Welt folgt und seinen Anteil am Krieg trägt. Nun, lasst mich einen Blick werfen... Er ist nicht gerade nicht hier unten. Und auch nicht in der Großen Kammer des Königs. Sucht nach ihm in den oberen Ebenen der Halle.
str_rhun_guildmaster_companion_player_ask|Ich hörte, hier gäbe es große Krieger? Nun, wo sind sie? Wer ist würdig, mir zu folgen?
str_rhun_guildmaster_companion_none|Nicht all unsere Krieger haben schon ihren ersten Krieger getötet, aber jeder von ihnen ist stärker und mutiger als zehn Männer von Thal! Sprecht mit dem Waffenmeister und fragt ihn, ob er Krieger für dich erübrigen kann.
str_rhun_guildmaster_companion_player_none_ok|Ich fragte nach Kriegern und du zeigst mir Knaben, die noch an den Brüsten ihrer Mütter hängen! Pah!
str_rhun_guildmaster_player_found_ok|Das hört sich gut an. Endlich ein Krieger mit Kampfgeist!
str_rhun_maincamp_guildmaster_companion|Unsere besten Schwertmänner und Reiter kämpfen im Gefolge unserer Kriegsherren. Aber ich weiß von einem, der noch nicht die Gunst eines unserer Häuptlinge errungen hat. Nicht, weil er schwach wäre, nichts weniger als das! Er hält jedoch seine Zunge nicht im Zaum und wirft unseren Fürsten öffentlich vor, dass sie zu zögerlich und vorsichtig wären. Wenn es nach ihm ginge, wären wohl schon alle Lande des Nordens in Flammen versunken. Er heißt Varfang und er verbringt seine Zeit mit Waffenübungen bei den Gefangenenkäfigen, in der Nähe dieses Zelts.
str_guldur_guildmaster_companion_player_ask|Alles was ich hier sehe ist ein ärmlicher Haufen von Feiglingen, die lieber wegrennen als kämpfen. Wo finde ich echte Krieger?
str_guldur_guildmaster_companion_none|Oho! Was haben wir denn hier? {Ein großer Hauptmann/Eine große Kriegsherrin}, was? Bellen kannst du, aber beißen? Wohl kaum. Und Befehl ist Befehl: Ziehe Truppen von der Garnison ein - das ist alles. Oder rede nur weiter so, wo dich alle hören, und bald schon wird dir einer ein hübsches Messerchen in den Rücken stecken.
str_guldur_guildmaster_companion_player_none_ok|Halte deine Zunge zurück, wenn du weißt was gut für dich ist.
str_guldur_guildmaster_player_found_ok|Du machst dir vor dieser Frau in die Hosen, was? Ich werde mal nachsehen, ob sie hergibt, was du versprichst. Ich hoffe für dich, dass ich meine Zeit nicht verschwende!
str_guldur_main_guildmaster_companion|Wir haben hier mehr als genug kräftige Jungs, sei verflucht! Ha, ich weiß, wonach du in Wahrheit suchst. Oh ja, ich weiß wohin du gehen solltest. Siehst du den Höhleneingang dort drüben, wo die Treppen nach unten führen? Wenn unsere Jungs was abgekriegt haben, dann schicken wir sie dort runter. Und ungefähr ein Drittel von ihnen kommt auch wieder da raus, hah! Die treiben merkwürdige Dinge dort unten... und diese Frau dort... die lässt mich bis ins Mark erzittern und das will was heißen. Die Jungs flüstern, dass sie mit der Nummer Eins zu tun hat, oder sogar noch höher, wenn wir uns recht verstehen. Sprich mit ihr, wenn du dich traust.
str_moria_guildmaster_companion_player_ask|Alles was ich hier sehe ist ein ärmlicher Haufen von Feiglingen, die lieber wegrennen als kämpfen. Wo finde ich echte Krieger?
str_moria_guildmaster_companion_none|Echte Krieger, sagt {er/sie}! Ich denke mal, jeder unserer Snagas könnte jedem von deinem Jungs eine Abreibung verpassen. Wir sind ein harter Haufen, merk dir das! Sprich mit unserem Ausbilder, aber zeige etwas Ehrerbietung, sonst werden dir unsere Jungs nicht folgen, sondern dir eher ein Messer zwischen die Rippen stechen, sobald du ihnen den Rücken zudrehst.
str_moria_guildmaster_companion_player_none_ok|Ich spreche mit euch wie es mir gefällt. Meine Ehrerbietung spare ich mir für die Oberen.
str_moria_guildmaster_player_found_ok|Verdammt, ein Wundarzt, meinst du? Hier? Gut, ich werde mit ihm sprechen, aber ich hoffe für dich, dass du mir keinen Unsinn erzählt hast.
