qstr_Received_{reg0}_dama|Recibes {reg0} de daño.
qstr_Retirement_is_starti|Retirarse empieza a parecerme una buena idea.
qstr_No_matter!_I_will_pe|¡No importa! ¡Sobreviviré!
qstr_What_did_I_do_to_des|¿Qué es lo que he hecho para merecer esto?
qstr_I_suppose_it_ll_make|Supongo que por lo menos tendré una buena historia que contar...
qstr__{s17}|, {s17}
qstr_You_retreated_from_b|Te has retirado de la batalla.
qstr_{s9}_wants_you_to_fo|{s9} quiere que sigas a su ejército hasta nueva orden.
qstr_{s8}_of_{s9}|{s8} de {s9}
qstr__Your_own_banner_fli|Tu estandarte ondea sobre las puertas del castillo.
qstr__You_see_the_banner_| Ves el estandarte de {s7} ondeando sobre las puertas del castillo.
qstr__This_castle_seems_t| Este castillo parece no tener dueño.
qstr__Your_own_banner_flie| Tu propio estandarte ondea sobre las puertas de la ciudad.
qstr__You_see_the_banner_o| Ves el estandarte de {s7} ondeando sobre las puertas de la ciudad.
qstr__The_townsfolk_here_| Los habitantes han declarado su independencia.
qstr_Go_to_the_secret_ent|Ir a la entrada secreta de Moria
qstr_Search_for_a_secret_|Buscar la entrada secreta de Moria
qstr_Get_book.|Hacerse con el libro.
qstr_The_{reg6?town_s:cas|Los suministros de comida {reg6?de la ciudad:del castillo} deberían durar durante {reg3} días más.
qstr_The_{reg6?town_s:cast|Los suministros de comida {reg6?de la ciudad:del castillo} se han agotado y los defensores están hambrientos.
qstr_You_re_preparing_to_|Te preparas para atacar los muros, deberías terminar en unas {reg9} horas.
qstr_Your_forces_are_buil|Tus fuerzas están construyendo una torre de asedio. Se espera que en {reg9} horas se complete su construcción.
qstr_You_are_ready_to_att|Las tropas están listas para asaltar los muros a tu orden.
qstr_The_siege_tower_is_b|La torre de asedio está lista para comenzar el ataque.
qstr_As_a_last_defensive_|Como última medida defensiva, os retiráis a la sala principal de la fortaleza. Tú y tus últimos soldados lucharéis allí desesperadamente. Si te derrotan, no tendréis donde retroceder...
qstr_You_ve_been_driven_a|Te han superado en los muros. Los atacantes ya anegan las calles. Si puedes vencerlos, tal vez puedas cambiar el curso de los acontecimientos.
qstr_You_ve_breached_the_|¡Has conseguido atravesar los muros de la ciudad, pero los obstinados defensores continúan la resistencia en las calles! Tendrás que ocuparte de ellos antes de poder atacar el corazón de la fortaleza.
qstr_The_town_centre_is_y|El centro de la ciudad ya es tuyo, pero los últimos defensores se han retirado al castillo. Para alcanzar la victoria, deberá caer.
qstr_The_remaining_defende|Los últimos defensores se han refugiado en el castillo en una última defensa desesperada. Debes entrar y aplastar a la resistencia, la victoria está cerca...
qstr_However_since_you_ar|De todas formas, al no haber jurado lealtad a {s9}, no hay posibilidad de que él os reconozca como {señor/señora} de {reg8?esta ciudad:este castillo}.
qstr_The_enemy_has_been_f|El enemigo se ha visto obligado a retirarse. El asalto ha concluido, pero el asedio continúa.
qstr_The_assasins_beat_yo|Los asesinos te golpean hasta dejarte inconsciente en el suelo, dándote por {muerto/muerta}.
qstr_You_have_fallen._The|Has caído. Los bandidos registran tu cuerpo rápidamente en busca de objetos de valor, y desaparecen en la noche. Te han dejado con vida, aunque poco les ha faltado para matarte.
qstr_Luckily_some_of_your|Por suerte, algunos de tus compañeros llegan en tu busca y te encuentran en el suelo. Rápidamente te llevan a un sitio seguro y atienden tus heridas.
qstr_Luckily_some_passing|Por fortuna, algunas buenas gentes de la zona te encuentran a un lado del camino y descubren que no eres un vil mendigo. Te llevan a una posada cercana y atienden tus heridas.
qstr_{s13}^^You_have_succ|{s13}^^Te has colado con éxito.
qstr_The_tomb_is_destroye|La tumba está destruida. Una feroz lucha tuvo lugar aquí.
qstr_Nothing_of_interest|Nada de interés
qstr_the_place|l lugar
qstr_the_castle|l castillo
qstr_the_Throne_Room|l Salón del Trono
qstr_the_Secret_Cave| la Cueva Secreta
qstr_Meduseld_the_Golden_| Meduseld, el Castillo de Oro
qstr_the_Lord_Halls| los Salones del Rey
qstr_the_Leader_s_Cave| la Cueva del Cabecilla
qstr_the_Tower| la Torre
qstr_the_tower_of_Orthanc| la torre de Orthanc
qstr_Beorn_s_Hall|Salón de Beorn
qstr_the_Hall| los Salones
qstr_the_Great_Chamber_of| la Gran Cámara de Thrór
qstr_Stay_indoors_for_som|Quedarse aquí durante algún tiempo ({reg1} Puntos de Recursos por noche)
qstr_Camp_outside_for_som|Acampar fuera durante algún tiempo (sin coste)
qstr_As_you_enter_the_vas|Cuando penetras en las vastas cavernas situadas bajo el círculo de Isengard, donde millares de orcos trabajan para pertrechar a las crecientes legiones de la Mano Blanca, aumenta tu confianza en el alzamiento de un nuevo poder y en el fin del viejo mundo.
qstr_You_have_found_the_G|Has encontrado las Cavernas Centelleantes, una de las maravillas del mundo septentrional.
qstr_As_the_party_member_|Como miembro del grupo con la mejor habilidad de Comercio ({reg2}), {reg3?calculas:{s3} calcula} que tardareis unas {reg4} horas en encontrar a las personas más notables del lugar.  [Cuesta {reg5}/{reg6} puntos de influencia]
qstr_You_have_already_fou|Ya has encontrado a todas las personas de interés.
qstr_the_captain_of_the_g|el capitán de la guarnición y la autoridad civil.
qstr_and_the_captain_of_t|y el capitán de la guarnición. Como este lugar ha sido conquistado hace poco, no se ha establecido una autoridad civil.
qstr_You_also_heard_of_a_|También has oído hablar de un sanador, pero tendrás que encontrarlo por tu cuenta.
qstr_{s4}_s_scouts_have_s|Los exploradores de {s4}' han sido testigos y han informado de tu fracaso. Has traido la deshonra sobre {s4} y la responsabilidad de este fracaso es solo tuya.
qstr_{s1}_s_Ship|Barco de {s1}
qstr_Time_passes...|El tiempo pasa...
qstr_Forces_of_Good|Fuerzas del Bien
qstr_Forces_of_Mordor|Fuerzas de Mordor
qstr_Forces_of_Isengard|Fuerzas de Isengard
qstr_their_enemies|sus enemigos
qstr_{s11}_and_{s13}|{s11} y {s13}
qstr_{s11}_{s13}|{s11}, {s13}
qstr_a_scout_party_from_{|un grupo de exploradores de {s3}
qstr_two_scout_parties_an|dos grupos de exploradores y uno de cazadores de {s3}
qstr_two_scout_parties_and|dos grupos de exploradores y uno de incursores de {s3}
qstr_three_scouts_two_for|tres grupos de exploradores, dos de cazadores y una patrulla de {s3}
qstr_three_scouts_two_rai|tres grupos de exploradores, dos de incursores, y una tropa de {s3}
qstr_You_see_the_village_|Ves la aldea que está siendo sqqueada por bandidos. Ordenas a la mayoría de tus tropas que se desplieguen para vigilar por si aparecen más incrusores, mientras llevas a un pequeño grupo contigo y te preparas para defender a los aldeanos.
qstr_You_see_the_village_y|Ves la aldea que se ta ha ordenado saquear. Tú y un pequeño grupo de tus incursores os preparáis para atacar la aldea por sorpresa.
qstr_The_raiders_are_defe|¡Hemos acabado con los incursores! Los pocos que quedan con vida se escabullen de vuelta a la oscuridad que los vio venir, aterrados de los aldeanos... y de su {nuevo campeón/nueva campeona}.
qstr_Try_as_you_might_you|A pesar de todos tus esfuerzos, no has podido acabar con los incursores. Reducen la aldea a cenizas y esclavizan a los supervivientes.
qstr_The_village_has_been|La aldea está reducida a cenizas; los pueblerinos muertos o esclavizados. Buenas noticias para el Señor Oscuro.
qstr_You_failed_to_raid_t|Has fracasado en el asalto a la aldea y no te queda otra opción que escabullirte junto con las tropas que te quedan. Escuchas los vítores de los vencedores mientras notas la mirada reprobadora del Ojo.
qstr_The_Scout_Camp_has_b|El campamento de exploradores ha sido arrasado.. Esto entorpecerá el avance del enemigo.
qstr_You_failed_to_destro|Has fracasado en la destrucción del campamento de exploradores. El enemigo ha tomado buena nota del estado de tu facción, y podría volverse más atrevido.
qstr_You_have_defeated_the|¡Has derrotado a la flota de incursión! ¡Éste es un duro golpe para los planes del enemigo!
qstr_You_defeated_the_int|¡Has derrotado a la flota de intercepción! Aunque no te han quedado suficientes fuerzas como para lanzar una incursión sobre la ciudad, ¡ésta es una gran victoria!
qstr_You_drove_back_the_e|¡Has rechazado a la flota enemiga, pero has perdido la mayoría de tus barcos!
qstr_You_were_defeated_by|¡La flota de intercepción te ha derrotado y no has podido lanzar el ataque contra la ciudad!
qstr_^^^^^^^You_come_upon|^^^^^^^Te encuentras con los refugiados abandonando {s2} de camino a {s3}. ^^Son en su mayoría viejos y enfermos, acompañados de mujeres y niños.^^ Hay algunos guardias, pero no son suficientes para protegerlos a todos de un ataque.
qstr_^^^^^^^You_come_upon_|^^^^^^^Encuentras a los refugiados cuyo rastro vienes siguiendo desde {s2}. Parece que se dirigen a {s3}, y son en su mayoría viejos y enfermos. ^^ Hay unos pocos guardias, pero no son suficientes para evitar que tú y los tuyos los matéis a todos.
qstr_^^At_last_the_Master|^^¡Por fin, el Amo ha puesto en marcha Sus planes! Las antorchas arden con fuerza. Las armas afiladas relucen. Tú y tus muchachos pronto recibiréis órdenes para marchar. ¡Sí, habrá pelea, mucha pelea, y gloria suficiente para repartir!^^Tienes el honor de haber sido {convocado/convocada} a una audiencia con el Amo en Su torre. Lo más probable es que tus primeras órdenes sean trabajos más propios de un snaga: asaltar una aldea por aquí, emboscar una caravana por allá. Pero pronto probarás lo que vales. ¿Quién sabe si no jugarás un papel tan importante como cualquiera de los capitanes de {s2} en {s3}?^^¡La Guerra ha comenzado, y con ella comienza la caída de los Hombres y sus aliados!
qstr_^^Your_head_suddenly|^^En tu mente se abre paso una visión repentina: el Ojo llameante. A  tu alredeor, tus guerreros se detienen en seco. De alguna forma, sabes al momento que todos vosotros habéis recibido la misma llamada, visto la misma visión. ¡Grandes son las artes del Ojo Sin Párpado, grande es el poder de Barad-dûr!.^^La idea, sin necesidad de palabras, cala hasta tus mismos huesos. Ha llegado la hora. El Señor Oscuro ha dado la orden: marcharéis contra vuestros enemigos en una guerra abierta. Pronto llegarán las órdenes de {s2} en {s3}. La parte que te toque no será al principio de gran importancia, pero no tardarás en probar lo que vales.^^ ¡La Guerra ha comenzado, y con ella comienza la caída del Oeste!
qstr_{s13}_asked_you_to_j|{s13} te ha pedido que te unas a sus fuerzas con al menos {reg13} tropas para hacer frente a la Última Defensa de Isengard.
qstr_You_defeated_{reg5}_|Has derrotado a {reg5} enemigos y has impresionado a tu comandante.
qstr_You_defeated_{reg5}_e|Has derrotado a {reg5} enemigos.
qstr_You_failed_to_defeat|No has conseguido derrotar a ningún enemigo
qstr_The_sorcerer_slain_y|Con el hechicero muerto, tus compañeros y tú vendáis apresuradamente vuestras heridas y os escabullís al amparo de la noche. Voces inmundas aúllan a vuestras espaldas y puedes sentir muchos ojos brillantes buscándoos entre las sombras. Pronto la rabia se transforma en decepción, y los ruidos de la persecución se apagan, dando paso al habitual silencio pesado del Bosque Negro. Has logrado escapar.
qstr_The_sorcerer_slipped|El hechicero se te ha escapado de las manos y ha huido de vuelta a la oscuridad de sus dominios. Con el peso del fracaso en vuestros corazones, tus compañeros y tú vendáis apresuradamente vuestras heridas y os retiráis al amparo de la noche. Voces burlonas aúllan a vuestras espaldas y puedes sentir muchos ojos brillantes tratando de perforar las sombras. Las risas y los insultos pronto se apagan, dando paso al habitual silencio pesado del Bosque Negro. Has logrado escapar.
qstr_You_approach_a_heavi|Te acercas a una región fuertemente vigilada del bosque...^^ Tendrás que decidir si te adentras en solitario o llevas algunas tropas contigo .
qstr_You_have_a_good_chan|Tienes bastantes posibilidades de evitar a los guardias y pasar de largo desapercibido.
qstr_You_may_have_a_chanc|Puede que tengas alguna posibilidad de evitar a los guardias.
qstr_You_will_probably_ha|Tendrás que enfrentarte a los guardias, casi con total seguridad.
qstr_You_wait_for_darknes|Esperas a que caiga la noche...
qstr_You_are_quickly_disc|El enemigo te descubre rápidamente.
qstr_You_advance_stealthi|Avanzas sigilosamente adentrándote en el bosque.
qstr_You_have_evaded_the_|Has evitado las patrullas y te acercas sigilosamente a las ruinas.
qstr_You_have_found_the_s|¡Has encontrado al hechicero!
qstr_You_cannot_leave_unt|¡No puedes irte hasta que los guardias te pierdan de vista!
qstr_Kill_him_quickly_bef|¡Mátalo rápidamente antes de que escape!
qstr_Enraged_by_the_death|{Enfurecido/Enfurecida} por la muerte de {s4}, has pronunciado un juramento de venganza contra las fuerzas de {s3}. Ahora debes destruir tantas tropas de {s3} como te sea posible en los próximos días. Eres plenamente consciente de que tus seguidores han sido testigos de este juramento y no deseas que se te considere {un perjuro/una perjura}. ¡Que comience el baño de sangre y muerte! 
qstr_flooded._Somebody_or|inundada. Alguien o algo debe haber destruido los diques del Isen.
qstr_destroyed._Only_smol|destruida. Solo quedan ruinas y rescoldos humeantes.
qstr_^^^You_lost_your_fig|^^^¡Has perdido la pelea contra el amotinado!^Parece que ahora tus orcos tienen un nuevo capitán.
qstr_^^^You_have_slain_th|^^^Has matado al cabecilla, y los otros orcos retroceden rápidamente.^ Seguro que esos gusanos se mantendrán tranquilos durante algún tiempo.
qstr_You_cover_up_your_tr|Cubres tus huellas y sigues adelante.
qstr_Breaking_camp...|Levantando el campamento...
qstr_Party_morale_is_low.|La moral del grupo es baja, empiezas a tener desertores en tus filas.
qstr_Desertion|Deserción
qstr_{s1}_has_deserted_fr|{s1} ha desertado el grupo.
qstr_You_have_left_{s1}.|Has abandonado {s1}.
qstr_You_are_entering_{s1|Estás entrando en {s1} ({s2}).
qstr_You_are_entering_{s1}|Estás entrando en {s1}.
qstr_The_war_expands_comm|¡La guerra se recrudece, y los capitanes cada vez son más audaces! (Reducidos los requisitos de asedio)
qstr_Your_party_is_spotte|Tu grupo ha sido divisado por {s1}.
qstr_The_effects_of_the_O|Los efectos del brebaje orco se han disipado.
qstr_The_effects_of_the_M|Los efectos del miruvor se han disipado.
qstr_Athelas_used_up.|Athelas agotada.
qstr_Party_has_nothing_to|¡Tu grupo no tiene nada que comer!
qstr_You_pay_for_accommod|Pagas por el alojamiento.
qstr_The_troll_outside_{s|Alguien ha matado al troll en las afueras de {s2}. Misión cancelada.
qstr_{s1}_was_killed_on_t|{s1} ha muerto en el campo de batalla. Misión cancelada.
qstr_{s1}_has_been_defeat|{s1} ha sufrido una derrota. Misión cancelada.
qstr_You_must_follow_{s1}|¡Debes seguir a {s1}!
qstr_You_must_follow_{s1}!|¡Debes seguir a {s1}! ¡Éste es tu último aviso!
qstr_{s1}_parties_defeate|Has destruido {reg1} grupos de {s1}, de un total de {reg2}.
qstr_{reg65}_Moria_and/or|{reg65} tropas de Moria y/o Gundabad eliminadas. (el contador se actualiza cada hora)
qstr_{reg65}_{s3}_troops_|{reg65} tropas de {s3} eliminadas. (el contador se actualiza cada hora)
qstr_{reg66}_{s5}_troops_|{reg66} tropas de {s5} eliminadas. (el contador se actualiza cada hora)
qstr_{reg67}_{s7}_{s8}_tr|{reg67} tropas de {s7} de la clase {s8} eliminadas. (el contador se actualiza cada hora)
qstr_{s8}_in_{s9}_asked_y|{s8} en {s9} te ha pedido que des muerte a {reg67} {s10}.^ Has matado a {reg68} {s11} (el contador se actualiza cada hora),
qstr_{s1}_is_scouted.|Has reconocido el terreno en torno a {s1}.
qstr_{s2}_was_defeated!|¡{s2} ha sufrido una derrota!
qstr_The_Age_of_Men_has_f|La Edad de los Hombres ha llegado a su fin. A partir de ahora las Dos Torres reunirán lo que queda de sus huestes y de sus aliados para decidir quién será el único e indiscutible gobernante de la Tierra Media.
qstr_The_War_of_the_Two_T|¡La Guerra de las Dos Torres ha comenzado!
qstr_The_forces_of_{s22}_|¡Las fuerzas de {s22} se han reagrupado! Ahora las huestes de {s22} están {s23}.
qstr_The_might_of_{s22}_h|¡El poder de {s22} se ha visto reducido! Ahora las huestes de {s22} están {s23}.
qstr_In_a_desperate_attem|¡En un intento desesperado por defenderse de sus enemigos, Sauron envía a sus legiones de Mordor!
qstr_Guardians_of_{s6}|Guardianes de {s6}
qstr_Guard_Legion_of_{s6}|Legión de Guardianes de {s6}
qstr_Scouts_report_that_{|Los exploradores informa de que {s6} ha congregado un gran ejercito en las proximidades de {s7}, en un último y desesperado intento de defender la capital.
qstr_The_forces_of_{s2}_e|¡Las fuerzas de {s2} han establecido un campamento de avanzada en {s15}!
qstr_The_hosts_of_{s2}_ma|¡Las huestes de {s2} regresan a defender sus hogares!
qstr_{playername}_s_Reser|Reservas de {playername}
qstr_Gondor_has_called_fo|¡Gondor pide ayuda!
qstr_Gondor_is_accompanyi|¡Gondor acompaña al mariscal!
qstr_{s5}_has_stopped_fol|{s5} ha dejado de seguirte.
qstr_You_have_{reg69}_all|Tienes {reg69} grupo aliado siguiéndote
qstr_You_have_{reg69}_ally|Tienes {reg69} grupos aliados siguiéndote
qstr_The_forces_of_{s2}_h|¡Las fuerzas de {s2} se han reagrupado y marchan hacia {s15}!
qstr_Your_scouts_report_s|Tus exploradores te informan de que hay {s2} en las cercanías.
qstr_{s1}_from_{s2}|{s1} de {s2}
qstr_When_dealing_with_lo|Cuando trates con la gente de {s11}, recuerda que no te conocen y que no tienen por qué reconocer los méritos que has conseguido al servicio de {s10}.^^(los Puntos de Recursos de los que dispones con la gente de {s11} no son los mismos que con {s10}, sino los que ganes con {s11}; echa un vistazo al menú de informes)
qstr_Info|Información
qstr_You_came_into_a_poss|Has encontrado un gran tazón de lo que parece agua fresca. Tiene un aroma ligeramente almizclado.
qstr_Obtained:_Ent_water.|Has conseguido: Agua de los Ents.
qstr_A_little_after_you_f|Un poco después de recuperarte totalmente de beber el agua envenenada que tomaste de los árboles andantes, empiezas a notar un extraño efecto secundario. Los gusanos de tu grupo parecen... respetarte y temerte más, como si te hubieras vuelto más... grande. Y jurarías que eres, de hecho, un poco más {alto/alta}. ¿De verdad es posible?
qstr_Ent_water_effect.|Bajo el efecto del agua de los Ents.
qstr_The_water_you_drank_|El agua de los Ents que bebiste ha tenido un estraño efecto en tu cuerpo. Al principio no podías creerlo, pero ahora, debes rendirte a la evidencia y admitir que, de alguna manera, ¡eres más {alto/alta}! Sin embargo, el veneno casi te mata, no volverás a correr ese riesgo jamás.
qstr_Ent_water_effect:_in|Bajo el efecto del agua de los Ents: ¡Incremento de estatura!
qstr__+1_to_Strength__per|+1 de Fuerza (permanente)
qstr__+1_to_Charisma__per|+1 de Carisma (permanente)
qstr_The_dark_shadow_fina|La sombra por fin ha roto en tormenta, y las hordas del mal han comenzado su marcha sobre los pueblos libres de la Tierra Media. Mordor contra Gondor en el Sur, Isengard contra Rohan en el Oeste, Dol Guldur contra los elfos... Incluso lejos, en el Norte, libran su propia guerra.
qstr_The_War_has_started!|¡La Guerra ha comenzado!
qstr_The_forest_seems_pea|El bosque parece tranquilo.
qstr_There_is_a_sense_of_|Hay una sensación de peligro en el ambiente.
qstr_You_have_a_feeling_y|Tienes la sensación de que ya has perturbado la tranquilidad del bosque durante demasiado tiempo.
qstr_Get_out_now!|¡Sal de aquí, ahora!
qstr_You_are_inside_Fango|Estás dentro de Fangorn. {s11}
qstr_Your_party_witnessed|Tu grupo ha presenciado a orcos devorando prisioneros.
qstr_Your_party_s_morale_|La moral de tu grupo ha aumentado gracias al odio.
qstr_Your_party_s_morale_h|La moral de tu grupo ha decaído por culpa del terror.
qstr_{s27}:_Influence_wit|{s27}: Tu influencia con {s1} aumenta de {reg2} a {reg1}.
qstr_{s27}:_Influence_with|{s27}: Tu influencia con {s1} desciende de {reg2} a {reg1}.
qstr_{s27}:_Party_morale_|{s27}: La moral del grupo aumenta.
qstr_{s27}:_Party_morale_d|{s27}: La moral del grupo baja.
qstr_You_have_failed_to_f|¡No has cumplido con tu juramento de vengar a Balin y su compañía!
qstr_You_have_failed_to_fu|¡No has cumplido con tu juramento de venganza por la heroica muerte de {s1}!
qstr_Your_troops_value_yo|Tus tropas aprecian tu dedicación y esfuerzo por cumplir el juramento, pero son conscientes de lo rápìdo que se han precipitado los acontecimientos. Y por ende, 
qstr_{s22}You_have_fulfil|{s22}Has cumplido con tu juramento de vengar a Balin y su compañía!
qstr_{s22}You_have_fulfill|{s22}Has cumplido con tu juramento de venganza por la heroica muerte de {s1}!
qstr_Reinforcements|Refuerzos
qstr_Refugees_Escaped:_{r|Refugiadoses huidos: {reg10} --- Refugiados muertos: {reg11}
qstr_Raider_Parties_Kille|Grupos de Incursores eliminados: {reg12}
qstr_One_of_the_target_ce|Uno de los lugares de destino de la caravana de refugiados ha sido destruido. Los refugiados se han dispersado, y no hay forma de encontrarlos.
qstr_As_an_Orc_or_a_Dwarf|Al ser un orco o enano puedes beneficiarte de la nueva cámara personalizada que hemos añadido a TLD para mejorar la experiencia de las razas de menor estatura. Ver «Conceptos» para más información sobre cómo usarla.
qstr_Custom_Camera|Cámara personalizada
qstr_{reg65?my_Lady:my_Lo|{reg65?mi Señora:mi Señor}
qstr_{reg65?My_Lady:My_Lo|{reg65?Mi Señora:Mi Señor}
qstr_{reg65?mistress:mast|{reg65?ama:amo}
qstr_{reg65?Mistress:Mast|{reg65?Ama:Amo}
qstr_{reg65?madame:sir}|mi {reg65?señora:señor}
qstr_{reg65?Madame:Sir}|{reg65?Señora:Señor}
qstr_How_do_magnets_work?|¿komo funsionan los imanes??'
qstr_Um..._by_enchanting_|Em... ¿Encantando el hierro?
qstr_Magnets_are_made_of_|Los imanes están hechos de metal, que se extrae de la tierra. Son magnéticos porque el metal todavía contiene piezas de gravedad en su interior.
qstr_i_wont_a_bonerlrord_|kiero k paceis el mod a bonerlrord haora mizmo!11
qstr_Install_TLD_in_your_|Instala TLD en la carpeta Modules de Bannerlord, agrega la línea 'compatible_with_wfas = 1' en el module.ini, y podrás jugar en Warband y... ¡en Warrider 0.202!
qstr_Bannerlord_runs_on_a|Bannerlord usa un motor diferente. No podemos pasar TLD a Bannerlord como lo hicimos con Warband.
qstr_dis_mod_takes_2_long|eztee mod tardda muxo tempo pa salir y apezta un webo!!11!
qstr_Well_there_s_a_lot_o|Bueno, viene con un montón de mejoras gráficas y contenido. No sé por qué pero me da que lleva tiempo.
qstr_It_has_been_recently|Ha salido hace poco, si no sabes donde encontrarlo puedes descargarlo desde lemonparty.org.
qstr_i_wont_decapitated_e|yo kiero cortar kavesas de xaxielefantees en el multi, aoda mizmo!!11!
qstr_I_don_t_think_there_|No creo que nunca haya una versión multijugador de TLD, pero tener elefantes estaría chulo.
qstr_There_is_a_hidden_el|Hay un nivel secreto multijugador todos contra todos de elefantes, pero primero tienes que borrar todas tus partidas guardadas, luego jugar durante cien días en el juego sin guardar, luego ve a la pantalla del personaje y presiona Alt+F4. ¡Vale la pena!
qstr_Y_NO_ChINESE??|¿¿POKÉ NO PoNÉS CHiNoRRIS??
qstr_Just_to_troll_you_tr|Para trolear ese cuerpo serrano.
qstr_Thanks_to_our_volunt|Gracias a nuestros voluntariosos traductores tenemos traducciones a chino tradicional y simplificado. Pero vas a tener que leerte nuestra guía de Steam Workshop para probarlas.
qstr_Wai_no_plate_armour_|Por ke no ay armadura chaxi de plakas en ell ., mod, moreno???
qstr_What_is_plate_armour|¿Armadura de... placas? Ni idea, chato.
qstr_Wai_no_female_trolls|sperah no jay trolasas jembras po' aquí? Ee? Ee? Tu ereh mah perra, moreno!
qstr_WHEN_U_REALSE_MOD?!!|PA' KUANDO PEDO DEZCARGAR EL MOD JEJE ?!!?
qstr_But_we_did_release._|Pero si ya lo puedes descargar. Estás en él. ¿Y por qué gritas?
qstr_YES!_ALSO_SOMETIMES_|¡ZII! ¡TMBIEN A BEZES SI!
qstr_Wai_u_no_work_wiht_o|'perah pque no rtabaajas ocn otors mods xachis pa' aser un zuzuper xachimod de ESDLA?
qstr_Every_mod_team_works|Cada equipo de modding trabaja siguiendo sus propias normas, no puedes hacer que los mods cooperen si su visión difiere.
qstr_Because_we_don_t_hav|Porque no tenemos sentido del humor y la mayoría de ellos son demasiado chachi pistachis.
qstr_In_movies_trolls_are|En las pelis los trolls eran grandotes y gordis, ¿'perah poke me as hesho un tirillas?
qstr_We_interpreted_Tolki|Interpretamos Tolkien así. Ajo y agua.
qstr_But_we_did_make_you_|Pero te hemos hecho tan tonto como en las pelis. Eso tiene que contar para algo, trolazo.
qstr_What_is_news?_Got_an|¿Komo van las cozas? ¿Tenes imágenes nuuevs de al mod?
qstr_Well_just_look_aroun|Bueno, echa un vistazo a tu alrededor, ¿para que necesitas imágenes nuevas del mod, moreno?
qstr_Say_cheese!|¡Dí, pa... ta... ta..!
qstr_Why_did_you_make_mod|¿Porké el MmOD es tan complicao de istalar, peñita??'
qstr_Well_if_you_are_here|¡Bueno, si has terminado hablando conmigo al final te has tenido que leer el p*** manual de instalación!
qstr_You_just_got_windyfl|¡Toma error de windyflora, por tonto!
qstr_Merry|Merry
qstr_Pippin|Pippin
qstr_the_Citadel| la Ciudadela
qstr_Minas_Tirith|Minas Tirith
qstr_Steward_Denethor|Senescal Denethor
qstr_the_Golden_Hall|el Castillo de Oro
qstr_Edoras|Edoras
qstr_King_Theoden|Rey Théoden
qstr_Merry_asked_you_to_d|Merry te ha pedido que entregues un mensaje a su primo Pippin, en Minas Tirith.
qstr_Pippin_asked_you_to_|Pippin te ha pedido que entregues un mensaje a su primo Merry, en Edoras.
qstr_Tell_him_I_ve_grown_|¡Dile que he crecido otra pulgada!
qstr_Tell_Pip_he_smokes_t|¡Dile a Pip que fuma demasiado!
qstr_Tell_him_I_can_ride_|¡Dile que ahora puedo montar a caballo!
qstr_Ask_him_if_he_has_an|¡Pregúntale si le queda algo de hierba para pipa!
qstr_Tell_him_I_ll_be_the|¡Dile que cuando volvamos a vernos, yo seré el más alto de los dos!
qstr_Ask_if_he_s_seen_Gan|¡Pregúntale si ha visto a Gandalf!
qstr_You_gained_250_exper|Has ganado 250 puntos de experiencia.
qstr_Hrooom..._Hmmm...Who|Hrooom... Hmmm... ¿Quién eres?
qstr_Hrooom..._Hmmm...Oh_|Hrooom... Hmmm... Oh, eres tú otra vez, {playername}.
qstr_Treebeard_wants_you_|Bárbol quiere que encuentres y elimines a los orcos que están talando árboles en Fangorn.
qstr_Something_wrong_not_e|Algo falla, no tienes tropas suficientes para la partida de exploradores
qstr_my_home_town|mi lugar de origen
qstr_I_am_in_perfect_heal|Estoy en perfecto estado de salud.
qstr_I_am_suffering_from_|Sufro de {s1}.
qstr_I_am_suffering_from_{|Sufro de {s1} y de {s2}.
qstr_I_am_suffering_from_{s|Sufro de {s1}, {s2}, y de {s3}.
qstr_I_am_suffering_from_{s1|Sufro de {s1}, {s2}, {s3} y de {s4}.
qstr_I_don_t_have_any_ser|No tengo heridas graves, gracias.
qstr_Good_day_to_you.|Que tengas un buen día.
qstr_Ah_it_s_you_again._G|Ah, eres tú otra vez. Adiós.
qstr_My_apologies_if_I_wa|Mis disculpas si he sido {grosero/grosera} antes. ¿Cuál era tu historia?
qstr_I_was_reconsidering_|He reconsiderado nuestra última conversación. ¿Cuál era tu historia?
qstr_Zigrphel_gained_{reg|Zigûrphel ha ganado {reg78} puntos de experiencia.
qstr_Greetings_{s23}_{s24|Saludos, {s23}, {s24}.
qstr_Greetings_{s23}.|Saludos, {s23}.
qstr_So_you_are_{s23}._I_|Así que eres {s23}. He oído que luchas por nuestros amigos de {s25}, así que supongo que debería considerarte mi {aliado/aliada}.
qstr_I_need_volunteers_wi|Necesito voluntarios dispuestos a seguirme en misiones peligrosas.
qstr_I_need_some_soldiers|Necesito algunos soldados para reemplazar mis muertos.
qstr_Maybe_the_weaklings_|Puede que los debiluchos del sur pongan armadura sobre los hombros de piel fina de esos trolls tan patéticos. ¡Los nuestros son de Gundabad!
qstr_Do_I_look_like_a_smi|¿Tengo cara de herrero? Agh, tómale el pelo a otro.
qstr_Excellent_job_{s23}!|¡Excelente trabajo, {s23}! Ojalá todos nuestros capitanes fueran tan dedicados como tú.^
qstr_Nicely_done_{s23}.|Muy bien hecho, {s23}.
qstr_Good_work_{s23}.|Buen trabajo, {s23}.
qstr_The_more_you_capture|Cuantos más captures, mejor, {s23}.
qstr_Caught_a_few_straggl|¿Has atrapado a unos cuantos rezagados, {s23}?
