dlga_start:mutiny_pretalk_1|喂，{playername}。告訴你.. ^小的們在抱怨！想多點樂子，少點行軍。
dlga_start:caravan_help1|感謝你的幫助！我們得救了。我是托爾巴，受到攻擊的時候正在運輸一些貨物。^^你見過那些大型半獸人嗎？看起來可不像我們平時能輕鬆搞定的普通山地種。他們盾牌的圖案貌似古老的魔多標誌。我很久沒在大河的這一邊看到了。^^邪惡正在邁進..戰爭就要來了！^^我建議你去最近的城鎮警告負責人。這很重要，請盡快。
dlga_caravan_help1:caravan_help2|不，我從沒見過如此大型的半獸人。骯髒的東西...^^我是一名正為未來大戰做準備的士兵。
dlga_caravan_help2:caravan_help_tut|你是？你果然是！我已經見識到你是個有能的戰士了。^^看來我今天確實走運，我會趁此良機返回村莊，警告村民關於這些骯髒野獸的事。^^來，這是一些{s10}
dlga_caravan_help_tut:caravan_help3|(資源點教學)^^不同陣營所用資源點也不同，你從{s11}獲得的資源點只能在{s11}當地使用。^^詳情請參閱報告選單。
dlga_caravan_help3:caravan_help4|祝你一路平安，托爾巴。我想我們會再見的。
dlga_caravan_help4:caravan_help_fac_tut|我十分期待。我的護衛在這裡見證了你的戰鬥，肯定會把你的消息告訴他們領主的。^^如果你多次幫助他們的同胞，你肯定會在他們之中聲名大噪，而這將會給你帶來很多好處！^^例如我，作為一個名人，每個月都能因為我的貢獻得到一些額外收入！
dlga_caravan_help_fac_tut:caravan_help5|(陣營階級教學)^^階級點數允許你提升你在原本陣營(和/或其他陣營)中的地位。^^這將決定你的隊伍人數上限，每週的陣營資源點收入，並解鎖一些陣營的特別獎勵。
dlga_caravan_help5:close_window|我會記住的。托爾巴，謝謝你，注意安全。
dlga_start:caravan_attack1|你又是誰？我們不需要你插手，吶！
dlga_caravan_attack3:close_window|弱者？讓我們看看誰才是弱者！(困難)
dlga_caravan_attack3:close_window.1|那來啊，懦夫。我會把你棄屍荒野的。
dlga_start:caravan_res_tut1|*竊笑*等一下不會少塊肉的，戰士！有些小伙子可能不會認為你怎麼樣，但我不同，噢不。我看到你的戰鬥了。不會打賭你輸！{s10} ^^但我們都跟同類在一起，我們都是。都臣服於邪眼，為黑暗之主服務，是的，但在東方做一件事，南方不會注意到，反之亦然。幫助邪眼，白掌不會關心。幫助老人，黑塔則會認為你浪費時間不為它做工作！
dlga_start:caravan_res_tut2|*竊笑*看來我現在是領隊了。你是一個勇猛的戰士，是的！拿走你的戰利品吧。一些小伙子們打賭你會變成座狼的食物，但我不同，噢不。我看到你的戰鬥了。不會打賭你輸！^^我們的朋友和盟友會聽到你的事蹟，不用懷疑！他們可能給你新的坐騎或新刃。沒有人會管弱者，但如果你是強者，哈，我們會幫助那些幫助我們的人，懂嗎？{s10}^^但我們都跟同類在一起，我們都是。都臣服於邪眼，為黑暗之主服務，是的，但在東方做一件事，南方不會注意到，反之亦然。幫助邪眼，白掌不會關心。幫助老人，黑塔則會認為你浪費時間不為它做工作！
dlga_caravan_res_tut1:caravan_noduel|(資源點教學)^^你可以用來從魔多的人購買物資的資源點與你從自己的陣營獲得的不同，而是在魔多才能獲得的點數。^^詳情請參閱報告。
dlga_caravan_res_tut2:caravan_duel1|(資源點教學)^^你可以用來從魔多的人購買物資的資源點與你從自己的陣營獲得的不同，而是在魔多才能獲得的點數。^^詳情請參閱報告。
dlga_caravan_noduel:caravan_duel2|我吐口水就能輕易殺死他！但我對他沒什麼好證明的。
dlga_caravan_duel1:caravan_duel2|我的所做所為不關你的事，半獸人。但我會幫助盟友並斬殺對手。
dlga_caravan_duel2:caravan_fac_tut|好吧，好吧！看看我們身邊這幫膽小的傢伙！哈！他們害怕你，噢對，正該如此！我不同。嘿。但，我欠你個人情，對嘛！我會回報你的。我會告訴老大們你今天的事蹟。話會傳開。當老大們對你有足夠的了解時...誰知呢，他們可能給你一些特別的東西。禮物、力量、尊重！我現在正要回去領賞呢！
dlga_caravan_fac_tut:caravan_duel3|(陣營階級教學)^^階級點數允許你提升你在原本陣營(和/或其他陣營)中的地位。^^這將決定你的隊伍人數上限，每週的陣營資源點收入，並解鎖一些陣營的特別獎勵。
dlga_woodelf_help_6:woodelf_help_7|(陣營階級教學)^^階級點數允許你提升你在原本陣營(和/或其他陣營)中的地位。^^這將決定你的隊伍人數上限，每週的陣營資源點收入，並解鎖一些陣營的特別獎勵。
dlga_woodelf_help_7:close_window.1|(抬起手一言不發地離開)
dlga_start:beorn_help1|*他皺眉打量著你。*^^就是像你這樣閃亮的東西才會吸引那群哥布林離開山脈進入我們的森林。但你俐落的幹掉了他們，因此我們對你表示感謝。
dlga_beorn_help1:beorn_help2|幸會！儘管我們一般不會離開我們的林子，但我是不會吝於幫助任何與敵方爪牙對抗之人的。
dlga_beorn_help1:beorn_help2a|(默默地點頭)
dlga_beorn_help2:beorn_help3|一般來說盡量遠離那些服侍他的人才明智，但今天看來不管我們躲多遠都不夠。^^我們的所有同胞都將知道你今天斬飛了多少哥布林的腦袋！如果你來到我們門前的話，我們將用蜂蜜酒和麵包歡迎你的。
dlga_beorn_help2a:beorn_help3|*欣賞地咕噥道*^^一個寡言少語的精靈，是嗎？你似乎更像我們這種人，沒有沉悶的精靈歌曲和無聊的詩。^^我們最愛的是，能追溯到山脈仍然年輕而森林永無止盡的，古老故事！^^我會把你介紹給我的同胞的。每個人都會知道你今天清除了多少汙穢的半獸人。在我們的木之大殿中，不論何時都會有蜂蜜酒和真心誠意歡迎你的到來。
dlga_beorn_help3:beorn_help4|(資源點教學)^^你可以用來從比翁的人購買物資的資源點與你從自己的陣營獲得的不同，而是在比翁才能獲得的點數。^^詳情請參閱報告。
dlga_beorn_help4:beorn_help4a|*愉快地笑著*你也覺得精靈是熊的兄弟嗎？…
dlga_beorn_help4a:beorn_help5|*愉快地笑著*你也覺得精靈是熊的兄弟嗎？…金黃的蜂蜜酒甜膩而溫暖人心，但也許精靈的刀刃和銳利的箭才是這種黑暗的日子裡更需要的東西…
dlga_beorn_help4:beorn_help5|(將一隻手放在心窩上，點頭微笑)
dlga_beorn_help5:beorn_help6|我們可能粗魯又多毛，冷酷又黑暗。但我們會幫助我們的朋友，那些幫助我們的人。^^如果我們的酋長們認為你和你的行動是有價值的，我們就會跟著你上戰場。
dlga_beorn_help6:beorn_help7|(陣營階級教學)^^階級點數允許你提升你在原本陣營(和/或其他陣營)中的地位。^^這將決定你的隊伍人數上限，每週的陣營資源點收入，並解鎖一些陣營的特別獎勵。
dlga_beorn_help7:close_window|謝謝你，朋友！告別。
dlga_beorn_help7:close_window.1|(抬起手一言不發地離開)
dlga_start:kill_scout_1|你的眼睛和耳朵真好！如果你沒有警告我們，那些穿著綠衣的爬樹者就會奇襲我們了，我是這認為的-或者逃走，並帶來更多同伴吧！現在他們則是蛆蟲和烏鴉的食物，而我們的任務仍是安全的。是阿！老大們會很高興。
dlga_kill_scout_1:kill_scout_2|看好你要帶我們去哪，半獸人。我們還沒打算在戰爭開始之前，就走這麼遠只落得讓人埋伏殺死的下場！
dlga_kill_scout_2:kill_scout_3|確實，我們會有戰爭的！別怕，戰士，魔多是你和手下的盟友。拿好這些-去換一些補給品。適用於所有魔多哨站！讓我請一輪半獸人酒吧！
dlga_kill_scout_3:kill_scout_4|(資源點教學)^^你可以用來從魔多的人購買物資的資源點與你從自己的陣營獲得的不同，而是在魔多才能獲得的點數。^^詳情請參閱報告。
dlga_kill_scout_4:kill_scout_5|你想讓我們喝半獸人酒？我們寧願喝自己的尿。
dlga_kill_scout_5:kill_scout_6|哈！我就知道你們外地人會做這種事！我贏了與葛斯摩的賭注，感謝你！！^^我肯定會告訴他和其他老大們關於你的事。黑邪塔會知道你今天多麼有用，別怕！現在起，偉大的邪眼將與你同在！^^但我們都跟同類在一起，我們都是。都臣服於邪眼，為黑暗之主服務，是的，但在東方做一件事，南方不會注意到，反之亦然。幫助邪眼，白掌不會關心。幫助老人，黑塔則會認為你浪費時間不為它做工作！
dlga_kill_scout_6:kill_scout_7|(陣營階級教學)^^階級點數允許你提升你在原本陣營(和/或其他陣營)中的地位。^^這將決定你的隊伍人數上限，每週的陣營資源點收入，並解鎖一些陣營的特別獎勵。
dlga_kill_scout_7:kill_scout_8|我做什麼不關你的事，你這噁心的生物。我們走吧！
dlga_kill_scout_8:close_window|如你所願，如你所願。走這邊吧！
dlga_woodelf_help_1:woodelf_help_2.1|不，我從沒見過如此大型的半獸人。骯髒的東西。不用怕。^^我是一名正為未來大戰做準備的士兵。
dlga_woodelf_help_2:woodelf_help_3.1|你是？你果然是！我已經見識到你是個有能的戰士了。看來我今天確實走運，我會趁此良機返回村莊，警告村民關於這些骯髒野獸的事。
dlga_woodelf_help_3:close_window|祝你一路平安，托爾巴。我想我們會再見的。
dlga_healers_ask:healer_who|你是做什麼的？
dlga_healers_ask:healer_wound_ask|我的人馬和我有時間無法癒合的傷口。你能治療我們的傷口嗎？
dlga_healers_ask:healer_injured_ask|我和我的人馬受傷了，而我們沒有時間等傷口癒合。你能提供援助嗎？
dlga_healers_ask:close_window|沒什麼。
dlga_healers_injured_check:healers_injured_heal|好，幫我們處理吧。
dlga_healers_wound_check:healers_wound_heal|好，幫我們處理吧。
dlga_healers_wound_check:close_window|現在不行。
dlga_healers_injured_check:close_window|現在不行。
dlga_hungry_orc_1:hungry_orc_2|你認為我該怎麼做，鼠輩啊？
dlga_hungry_orc_2:hungry_orc_choice|反正，那些弱者在戰鬥中一點用都沒有。讓我們吃掉他們吧！
dlga_hungry_orc_choice:hungry_orc_eat|好吧，抓住他們！[殺掉幾個弱者來餵你的半獸人們。]
dlga_hungry_orc_choice:hungry_orc_no_check|沒門。我不會讓手下人馬被吃掉！歸隊不然我就割掉你的舌頭餵你吃！[統御測驗]
dlga_start:sad_elf_1|看 阿， {大 人/女 士}，海 鷗！對 我 來 說 是 奇 景 也 是 煩 心 的 事。
dlga_sad_elf_1:sad_elf_2|我聽見了。他們帶來了什麼新聞？
dlga_sad_elf_2:sad_elf_choice|阿，來自海上的故事。甚至來自遙遠的天邊。{大人/女士}，我已經厭倦了這場戰爭，厭倦了這潭渾水。恐怕伊諾爾(中土世界)已經沒有希望了。讓我走吧！
dlga_sad_elf_choice:sad_elf_leave|我能理解你的痛苦。你已經為這場戰爭付出的夠多了。儘管走吧。
dlga_sad_elf_choice:sad_elf_no|精靈們決不能放棄中土世界。這場戰爭不僅是為我們自己戰鬥而是每個人都必需發揮自己的作用。我不能準你離開。[統御測驗]
dlga_sad_elf_leave:close_window|感謝你，{大人/女士}！^^至海，至海之上！白色海鷗正在哭泣，^風已起，白沫飛揚。^向西，向西而去，渾圓之日終將落下。
dlga_start:close_window.16|你來得正好。讓我們一起給敵人好好上一課吧。
dlga_start:close_window.17|想跟我們戰鬥的你真是愚蠢透頂。
dlga_start:ally_thanks_meet|朋友啊雖然我不覺得我們曾正式見過面。但你剛剛救了我的命，我卻還不知道你的名字…
dlga_start:ally_thanks_meet.1|你出手的正是時候，陌生人。我叫{s1}。我能否請問你的名字？
dlga_start:ally_thanks_meet.2|感謝相助，陌生人。我想我們沒有正式見過面，對吧？你叫什麼名字？
dlga_ally_thanks_meet:ally_thanks_meet_2|我的名字是{playername}。
dlga_ally_thanks_meet_2:close_window|遇到你真是好事啊{playername}。我是{s1}而我欠你的人情將終身難忘。如果你有任何事情是我能幫上忙的，就告訢我吧…
dlga_ally_thanks_meet_2:close_window.1|你好{playername}。我欠你一個人情。希望有一天我能報答你。
dlga_ally_thanks_meet_2:close_window.2|你好{playername}。我是{s1}。感謝你的幫忙也希望我們能夠再見。
dlga_start:close_window.18|你又救了我們，{playername}！真的，你真是最好的朋友。{s43}
dlga_start:close_window.19|幸好你及時趕到！{playername}。請接受我衷心的謝意！{s43}
dlga_start:close_window.20|幸好你及時出現，{playername}。我不會忘記你的幫助。{s43}
dlga_start:close_window.21|很高興見到你，{playername}。{s43}
dlga_start:close_window.24|感謝你的幫忙，指揮官。你救了{reg1?我們的命:我的命}。
dlga_start:close_window.25|感謝你的幫忙，指揮官。剛才的情勢很惡劣但你的出現扭轉了一切。
dlga_start:close_window.26|感謝你的幫忙，指揮官。你就在附近我們真的很幸運。
dlga_start:freed_hero_answer|朋友啊放我自由真是讓我欠你一個人情了。
dlga_freed_hero_answer:freed_hero_answer_1|你哪裡都別想去。你現在是我的俘虜！
dlga_freed_hero_answer_1:close_window|唉。我的運氣就不會轉變嗎？
dlga_freed_hero_answer:freed_hero_answer_2|你自由了，{s65}。
dlga_freed_hero_answer_2:close_window|謝謝你，指揮官。我永遠不會忘記幫過我的人。
dlga_freed_hero_answer:freed_hero_answer_3|你想要加入我嗎？
dlga_freed_hero_answer_3:close_window|好吧我會加入你的。
dlga_freed_hero_answer_3:close_window.1|不了，我想自己走。
dlga_start:defeat_hero_answer|你的命不會長的。我的親族很快就會一雪前恥的。
dlga_defeat_hero_answer:defeat_hero_answer_1|你是我的俘虜了。
dlga_defeat_hero_answer_1:close_window|你這該死的。你會後悔的。
dlga_defeat_hero_answer:defeat_hero_answer_2|這次放你走，但以後別再擋我的路了。
dlga_defeat_hero_answer_2:close_window|我們會再見的。
dlga_start:fugitive_1|是，你想要什麼？
dlga_fugitive_1:fugitive_2|我正在尋找一個名叫{s4}的逃犯。你符合他的特徵。
dlga_fugitive_1:close_window|沒什麼。抱歉打擾你了。
dlga_fugitive_2:fugitive_3|我不知道你在說什麼。你一定是把我跟誰搞混了。
dlga_fugitive_3:fugitive_4|那就放下你的劍吧。如果你是無辜的，那你就不用害怕。我們現在去跟衛兵長談談就會知道誰搞混了。
dlga_fugitive_4:close_window|你這該死的！你哪裡都別想去！
dlga_start:follow_spy_talk|日安。天氣很不錯是吧？不好意思我還要趕路。
dlga_follow_spy_talk:follow_spy_talk_2|以{s1}之名，你被逮捕了！
dlga_follow_spy_talk_2:close_window|你是不會活捉我的！
dlga_follow_spy_talk:close_window|別在意我。我只是路過。
dlga_start:spy_partners_talk|你好。
dlga_spy_partners_talk:spy_partners_talk_2|以{s1}之名你被逮捕了！
dlga_spy_partners_talk_2:close_window|你得先打倒我們！
dlga_spy_partners_talk:close_window|別在意我。我只是路過。
dlga_start:runaway_serf_intro_1|主人日安。
dlga_runaway_serf_intro_1:runaway_serf_intro_2|我是你們正努力逃離的{s4}派來的。如果你們現在回去他就不會懲罰你們。
dlga_runaway_serf_intro_2:runaway_serf_intro_3|我的好主人啊。我們受不了在{s1}的生活了。我們每天工作卻還得餓著肚子睡覺。現在我們要去{s6}開始新生活，至少在那裡我們會被當作人看。
dlga_runaway_serf_intro_3:runaway_serf_go_back|你們這群逃跑的奴隸已經觸犯了法律。你們要立刻回到{s1}！
dlga_runaway_serf_go_back:close_window|好吧主人。如你所願。我們會轉頭回去{s5}的。
dlga_start:runaway_serf_talk_caught|主人日安。我們正在回去{s5}的路上，但我們恐怕迷路了。
dlga_runaway_serf_talk_caught:runaway_serf_go_back|不要挑戰我的耐心。你們要立刻回去！
dlga_start:runaway_serf_talk_again_return|主人我們正在回去{s5}的路上。
dlga_runaway_serf_talk_again_return:runaway_serf_talk_again_return_2|快點。你們越早回去越好。
dlga_runaway_serf_talk_again_return:runaway_serf_talk_again_return_2.1|很好。繼續吧。
dlga_runaway_serf_talk_again_return_2:close_window|是的主人。如你所願。
dlga_mayor_talk:mayor_deliver_wine|我被叫來送{reg9}單位的{s4}給你。
dlga_mayor_deliver_wine:mayor_pretalk|總算！我們的庫存都快耗盡了。我已經預先安排{s4}的補給了。幫我向{s9}問好。^^[得到{s14}的{reg14}資源點]
dlga_mayor_talk:mayor_deliver_wine_incomplete|我被委派送{reg9}單位的{s4}來給你，但有部分貨物被敵人搶走了。
dlga_mayor_deliver_wine_incomplete:mayor_pretalk|他們會為此付出代價！但至少我們還有一點{s4}。無論如何謝謝你了。^^[得到{s14}的{reg14}資源點]
dlga_start:trainer_pretalk|你存活到了錦標賽第{reg2}回合。{s4}
dlga_start:trainer_pretalk.1|非常好，你打倒了所有敵人。
dlga_start:trainer_talk|日安。你準備好接受今天的訓練了嗎？
dlga_trainer_pretalk:trainer_talk|你真的準備好接受訓練了嗎？
dlga_trainer_talk:trainer_combat_begin|首先，告訴我戰鬥方面的事吧...
dlga_trainer_talk:trainer_choose_mode|我準備好接受訓練了。
dlga_trainer_talk:close_window|我必須離開了。告別。
dlga_trainer_combat_begin:trainer_talk_combat|你想知道什麼嗎？
dlga_trainer_combat_pretalk:trainer_talk_combat|你還想知道什麼嗎？
dlga_trainer_talk_combat:trainer_explain_defense|告訴我如何自我防衛。
dlga_trainer_talk_combat:trainer_explain_attack|告訴我如何使用武器攻擊。
dlga_trainer_talk_combat:trainer_explain_horseback|告訴我如何在馬背上戰鬥。
dlga_trainer_talk_combat:trainer_pretalk|我想我已經知道我需要的理論了。我們換個話題吧。
dlga_trainer_explain_defense:trainer_explain_defense_2|好問題。首先你要知道的是作為一個戰士要如何防守。保持自己不受傷害是戰鬥的第一法則，它遠比給出傷害更為重要。任何人都可以隨便揮揮劍希望砍下血肉，但只有懂得防守的人能在最後活下來。
dlga_trainer_explain_defense_2:trainer_explain_defense_3|現在。你裝備上盾時防禦是很容易的。只需拿起盾隔擋就好。[按住滑鼠右鍵使用盾防禦]在這狀態下，你能夠擋住所有正面攻擊。但，你仍然會受到從側面或背面而來的打擊。
dlga_trainer_explain_defense_3:trainer_explain_defense_4|如果我沒有盾呢？
dlga_trainer_explain_defense_4:trainer_combat_pretalk|那你就要使用你的武器去隔擋。這樣比拿著盾更困難些。使用武器去隔擋，你只能防住一個方向的攻擊。也就是說，你只能擋住上砍、側砍或突刺。因此你要小心留意對方並在他開始攻擊後立即隔擋。這樣你就可以擋住這次攻擊。但如果你一開始就先擺出隔擋姿勢，對方只需改變攻擊方向就能命中。
dlga_trainer_explain_attack:trainer_explain_attack_2|好問題。有人說過：攻擊就是好的防禦。很多戰士都會選擇擺出攻擊的姿態，並等待合適的時機砍下去。[你可以透過按住滑鼠左鍵去用你的武器擺出攻擊姿勢。]
dlga_trainer_explain_attack_2:trainer_explain_attack_3|這聽起來很有用。
dlga_trainer_explain_attack_3:trainer_explain_attack_4|這是個很好的戰術，但你要注意，對方會看見你的攻勢並對你攻擊的方向並作出防禦。這種時候，你就要立即停止攻擊並從另一個方向攻擊。[你可以透過快速按下滑鼠右鍵去取消目前的攻擊。]
dlga_trainer_explain_attack_4:trainer_explain_attack_5|如果我的對手防禦我正在攻擊的方向，我會停下並換到另一個方向。
dlga_trainer_explain_attack_5:trainer_combat_pretalk|對，選擇揮舞武器的方向是一項至關重要的技能。你可以使用四個主要方向：右砍，左砍，上段砍和突刺。你必須明智地使用每一個。[使用預設控制操控揮舞方向時，將鼠標移動到想要揮動的方向後按下鼠標左鍵]。
dlga_trainer_explain_horseback:trainer_combat_pretalk|非常好的問題。一匹馬可能是戰士在戰鬥中最強大的武器。牠可以為你提供速度、高度、力量和優勢。許多致命武器將在馬背上變得更加致命。但是你必須特別注意使用騎槍的敵人，他們可以用一擊打倒任何對手。[想要自己使用騎槍衝擊的話，使用騎槍或類似的武器，加速你的馬並不按下攻擊或防禦鍵。達到速度後，你會降低你的騎槍。這時再試著通過操縱你的馬來瞄準敵人。]
dlga_trainer_choose_mode:trainer_choose_mode_player|我們有幾種訓練模式可以提高士兵的技能。單人戰鬥將使你對抗一到四個對手，在團隊戰鬥中，你的四人團隊將面對四、八或十二名戰鬥員，最後，錦標賽是任何戰士的終極挑戰-你將獨自面臨一波又一波越來越多的對手。大規模混戰則是簡單的幹架。^你喜歡哪種？
dlga_trainer_choose_mode_player:trainer_choose_opponents|單人戰鬥。
dlga_trainer_choose_mode_player:trainer_choose_opponents.1|團隊戰鬥。
dlga_trainer_choose_mode_player:trainer_choose_weapon|錦標賽。
dlga_trainer_choose_mode_player:trainer_choose_weapon.1|大規模混戰。
dlga_trainer_choose_mode_player:trainer_pretalk|都不要，我改變主意了。
dlga_trainer_choose_opponents:trainer_choose_opponents_player|現在選擇對手的人數。
dlga_trainer_choose_opponents_player:trainer_choose_weapon|一個。
dlga_trainer_choose_opponents_player:trainer_choose_weapon.1|兩個。
dlga_trainer_choose_opponents_player:trainer_choose_weapon.2|三個。
dlga_trainer_choose_opponents_player:trainer_choose_weapon.3|四個，我覺得今天的我蠻幸運的。
dlga_trainer_choose_opponents_player:trainer_choose_weapon.4|四個。
dlga_trainer_choose_opponents_player:trainer_choose_weapon.5|八個。
dlga_trainer_choose_opponents_player:trainer_choose_weapon.6|十二個，我和我的同伴可以打倒任何人。
dlga_trainer_choose_opponents_player:trainer_pretalk|零個，我改變主意了。
dlga_trainer_choose_weapon:trainer_choose_weapon_player|最後選擇你想要的武器。
dlga_trainer_choose_weapon_player:trainer_begin_training|單手武器。
dlga_trainer_choose_weapon_player:trainer_begin_training.1|雙手武器。
dlga_trainer_choose_weapon_player:trainer_begin_training.2|長柄武器。
dlga_trainer_choose_weapon_player:trainer_begin_training.3|弓。
dlga_trainer_choose_weapon_player:trainer_begin_training.4|投擲武器。
dlga_trainer_choose_weapon_player:trainer_pretalk|不用，我改變主意了。
dlga_trainer_begin_training:close_window|很好，讓我們開始吧。當你完成訓練後，再回來找我。
dlga_start:close_window.27|滾吧你，臭乞丐。
dlga_start:mayor_begin|日安，大人。
dlga_start:mayor_talk|你好啊陌生人，你是第一次來到{s9}吧。我是這座城鎮的公會長。
dlga_start:mayor_begin.1|日安，{playername}。
dlga_mayor_begin:lord_deal_with_night_bandits_completed|幹得漂亮，{playername}，你教訓了那群無法無天的瘋狗！^^[獲得{s14}的{reg14}資源點]
dlga_lord_deal_with_night_bandits_completed:close_window|他們活該。
dlga_mayor_talk:mayor_deliver_iron|你當初要的是{s3}，但我帶來了質量更好的金屬，{reg9}單位的{s4}。
dlga_mayor_talk:mayor_deliver_iron.1|這是你的金屬補給，{reg9}單位的{s4}。
dlga_mayor_talk:mayor_deliver_iron.2|你當初要求{reg9}單位，但我帶來了更多金屬，{reg8}單位的{s4}。
dlga_mayor_deliver_iron:mayor_deliver_iron_completed|幹的漂亮，{playername}。我們的鍛治匠會好好利用這些材料的。
dlga_mayor_deliver_iron_completed:close_window|我只是盡力而為罷了。
dlga_mayor_sea_battle_start:mayor_sea_battle_question|太棒了！我們極度缺少船員。你現在準備好上船了嗎？
dlga_mayor_sea_battle_question:mayor_sea_battle_yes|是的，我準備好了。
dlga_mayor_sea_battle_question:mayor_sea_battle_no|我需要一點時間去準備。
dlga_mayor_sea_battle_yes:close_window|很好。叫你的部隊上船吧，我們很快就會出航的。
dlga_mayor_sea_battle_no:close_window|快點，我們剩沒多少時間就要出航了。
dlga_mayor_talk:mayor_reinforced_center_finished|我按你的要求增援了{s3}。
dlga_mayor_begin:kill_quest_bandits_failed|我聽說你沒能做到我要求的事。令人失望啊，{playername}。
dlga_kill_quest_bandits_failed:close_window|我下次會做得更好的。
dlga_mayor_talk:mayor_deliver_food|這是你要的食物，共{reg9}單位。
dlga_mayor_deliver_food:mayor_deliver_food_completed|幹的漂亮，{playername}，我們的糧倉再次滿了所以現在不會有人挨餓了。
dlga_mayor_deliver_food_completed:close_window|我只是盡力而為罷了。
dlga_mayor_begin:mayor_looters_quest_response|啊，{playername}。你有什麼進展要報告的嗎？
dlga_mayor_looters_quest_response:mayor_looters_quest_destroyed|我殺了一些部落半獸人。
dlga_mayor_looters_quest_response:close_window|還沒有，先生。告別。
dlga_mayor_looters_quest_destroyed:mayor_looters_quest_destroyed_2|是啊，我的斥候看到了整件事。這應該能讓那些部落半獸人學乖一點！^^[獲得{reg14}x{reg15}{s14}的資源點]
dlga_mayor_looters_quest_destroyed_2:close_window|還有個好消息！因為你，那些部落半獸人不再是威脅了。我們到現在也沒有收到任何遭受攻擊的報告。如果還有剩下半獸人，一定都跑得老遠或躲起來了。這地方已經變得很安全了！我想你也算完成任務了吧，{playername}。謝謝你，告別。
dlga_mayor_looters_quest_destroyed_2:mayor_looters_quest_response|你還需要什麼嗎？
dlga_mayor_begin:close_window|很高興再次見到你，{playername}。我聽說你成功把那些人送到目的地了。我會告訴我們的指揮官你有多麼可靠的。^^[獲得{s14}的{reg14}資源點]
dlga_mayor_begin:move_cattle_herd_failed|我聽說你失去了那些你該送到{s9}的人。害我花了不少時間跟這裡的指揮官解釋你的失敗。你有什麼要說嗎？
dlga_move_cattle_herd_failed:move_cattle_herd_failed_2|對不起。但我在路上被攻擊了。
dlga_move_cattle_herd_failed:move_cattle_herd_failed_2.1|對不起。那些人在半夜走丟了。
dlga_move_cattle_herd_failed_2:close_window|嗯，不管怎麼說，你都有責任去確保他們安全到達目的地。你該知道指揮官有問誰該負這個責任。所以我有告訴他是你。
dlga_mayor_begin:mayor_friendly_pretalk|我已經聽過你的英勇事跡。你給了那些哥布林應有的懲罰。你真是名不虛傳啊。^^[獲得{s14}的{reg14}資源點]
dlga_mayor_begin:mayor_talk|我能為你做些什麼嗎？
dlga_mayor_friendly_pretalk:mayor_talk|現在...還有什麼是我能為你做的嗎？
dlga_mayor_pretalk:mayor_talk|是？
dlga_mayor_talk:mayor_info_begin|你能告訴我你是做什麼的嗎？
dlga_mayor_talk:merchant_quest_requested|我該如何幫助我們的大業呢？
dlga_mayor_talk:merchant_quest_last_offered_job|關於那件你需要我做的事…
dlga_mayor_talk:merchant_quest_about_job|關於你給的那個任務…
dlga_mayor_talk:mayor_talk_ask_location|我想知道某人現在的位置。
dlga_mayor_talk:close_window|[離開]
dlga_mayor_info_begin:mayor_info_talk|我是{s9}的地方官。這裡的日常工作都由我管理。人手永遠都不嫌多，如果你想幫忙就跟我說吧。
dlga_mayor_info_talk:mayor_info_lord|誰統治這個城鎮？
dlga_mayor_info_lord:mayor_info_talk|我們的領主是{s10}。
dlga_mayor_info_talk:mayor_pretalk|這就是我想知道的全部了。謝謝。
dlga_merchant_quest_about_job:merchant_quest_about_job_2|怎麼了？
dlga_merchant_quest_about_job_2:merchant_quest_what_if_fail|如果我完成不了怎麼辦？
dlga_merchant_quest_about_job_2:merchant_quest_about_job_working|嗯，我還在處理。
dlga_merchant_quest_about_job_working:mayor_pretalk|好。我相信你能搞定的。
dlga_merchant_quest_last_offered_job:merchant_quest_brief|呃，你想要重新考慮一下。好...
dlga_merchant_quest_what_if_fail:mayor_pretalk|我希望你不會失敗。我們負擔不起你失去那些貨物。
dlga_merchant_quest_what_if_fail:mayor_pretalk.1|嗯，你就盡力去完成吧。
dlga_merchant_quest_taken:mayor_pretalk|太棒了。我就指望你了。祝你好運。
dlga_merchant_quest_stall:mayor_pretalk|好吧，我會找其他人的。但如果你改變主意就跟我說吧。
dlga_mayor_talk_ask_location:mayor_talk_ask_location_2|我會盡力的。我能打聽他們最近在哪個據點來來去去。如果他們不在據點，我就只能從該區域裡的商隊打聽了。
dlga_mayor_talk_ask_location_2:mayor_pretalk|算了。
dlga_merchant_quest_requested:merchant_quest_brief|嗯，你看起來很能幹。我大概有些事能給你做。
dlga_merchant_quest_brief:merchant_quest_looters_choice|我們最近在{s5}附近有些衝突，那之後造成的混亂，吸引了幾群部落半獸人過來掠奪周遭地區。我需要人去給這些半獸人一點教訓。你幹得來嗎？
dlga_merchant_quest_looters_choice:merchant_quest_looters_brief|好，我會搞定的。
dlga_merchant_quest_looters_choice:merchant_quest_stall|我想你得去找別人了。
dlga_merchant_quest_looters_brief:close_window|太棒了！你會在郊區找到那些遊盪的部落半獸人的，大概在找農田下手吧。殺光部落半獸人，把他們都消滅吧。我會跟我們的補給長說好，你每摧毀一群部落半獸人就可以領到報酬，直到他們被消滅殆盡。
dlga_merchant_quest_requested:merchant_quest_brief.1|謝謝你願意幫助。我剛好正在找人運送{s4}。或許你可以幫忙...
