
str_yes|する
str_imladris_faction_intro|^イムラドリス(裂け谷)のエルフはエルロンド卿と^彼のふたりの息子たちによって率いられる、^シンダールとノルドールたちです。^彼らはいにしえの西方の伝承の保管人であり、^第一紀から伝わる数々の古代の遺物を^保有しています。^彼らの陣営には、北方のドゥネダインもいます。^崩壊した北方王国の末裔である彼ら野伏たちは、^背が高く、濃い色の髪を持ち、頑丈な皮鎧か、^古びた鎖かたびらを身にまとっています。^^イムラドリスの兵は中つ国において最も^高い水準の戦闘技術を持ち、装備もよく^行き届いています。彼らの軍は戦術面において^高い柔軟性を持っています。
str_woodelf_faction_intro|^古くは”森のエルフ”と呼ばれる^シルヴァン・エルフは現在は闇の森に住み、^スランドゥイル王によって率いられています。^^闇の森のエルフたちは剣または槍で武装する、^能力の高い歩兵を持ちます。^軍の主軸となるのは斥候と弓兵で、親類である^ローリエンよりもその傾向が強いです。彼らの防具は^軽装ですが、高い防御力を持っています。
str_dale_faction_intro|^谷間の国​は、ロヒアリムと同じ祖先を持つ^北国人と、エスガロスの湖の町(スマウグによって^焼き払われた後です)の生き残った人々が再建した^国です。^^軍は長柄武器に特化した頑丈な歩兵と、^名高いバルドの弓兵を始めとする優秀な弓兵、^それに標準的な騎兵として商人たちの護衛兵を^持ちます。
str_harad_faction_intro|^​シンダール語で”南方の民”を意味する^ハラドリムは、遠い南の砂漠と熱帯雨林地帯から^やって来ました。彼らは極彩色とたくさんの金の^装飾品を身にまとって戦いに臨みます。^^ハラドリム軍は、標準的ながらも有能な^大ハラドの歩兵(散兵/弓兵と槍兵/剣士)、^ハロンドールの騎兵(重装騎兵と弓騎兵)、^それに遠ハラドの部族戦士で構成されます。
str_rhun_faction_intro|^​リューンの民は、遠く東に位置するリューンの湖の^周辺に住む、東夷の部族です。^^彼らの大多数は騎兵で、弓騎兵、槍騎兵、ともに^軽装ですが、最上位の騎兵は大型で重装備の馬に^乗っています。彼らの歩兵も非常に軽装備で、^大型の斧や剣で武装しています。ひらけた場所では^リューンの騎兵の大群は恐ろしい敵となるでしょう。
str_khand_faction_intro|^​ハンドのヴァリアグは恐ろしい仮面をつけて戦う^獰猛な東夷の略奪者たちです。^^彼らの主力は素早い軽装歩兵(散兵と剣士)と^重装斧兵です。彼らの騎兵は機敏な軽装騎兵と、^重装備のカタフラクトで構成されます。軽装歩兵は^主力部隊を守りながら破壊力の高い投げ槍の^一斉射撃を行います。彼らの中でも特に^獰猛な者たちは防具をほとんど身に着けず、^力と残忍さでもって戦います。
str_umbar_faction_intro|^ウンバールの海賊は、黒きヌーメノール人を祖先に^持つ南方に住む民族で、ゴンドールにとっての^宿敵です。^^海賊たちは軽装の散兵と比較的重装備の剣士、^それに高い技術を持つ長弓兵で構成されます。^ウンバールの海賊はゴンドールの南方における^敵であり、ゴンドール領沿岸をたびたび襲撃した^黒きヌーメノール人の子孫たちです。^^海賊たちは軽装の散兵と重装備の剣士、それに^よく訓練された長弓兵を運用します。主に海上で^活動する勢力なため、頑丈である事よりも機動性を^重視した防具を好みます。
str_moria_faction_intro|^​モリアのオークは、かつて強大を誇った^ドワーフの王国、カザド＝ドゥームの館を拠点と^しています。^^他のオークと同様、彼らの軍は歩兵、弓兵、散兵、^そしてワーグ乗りたちで構成されていますが、^モリアで見つかる鉄くずを使っているため、^より質の良い装備を持っています。^^なかにはドワーフの防具や武器を見つけて^手に入れた幸運な者もいます。モリアのオークの^族長たちは他のオーク種族よりも力が強くて^獰猛であり、戦闘では恐るべき威力を発揮します。
str_guldur_faction_intro|^ドル・グルドゥアは闇の森にあるサウロンの古代の^要塞であり、かつての”緑森大森林”が、^闇の森という現在の暗い名前で呼ばれるように^なった理由です。^^ここではモルドールから派遣される忠実な者たちが^大軍団の編成に備えて訓練を受けると同時に、^エルフや森に入ってくる人間を標的として^襲撃部隊をひんぱんに繰り出しています。^ドル・グルドゥアの兵は大多数がオークで軍の^構成はモルドールとほぼ同様ですが(歩兵、弓兵、^散兵、ワーグ乗り)、いくぶん多様性に欠けます。
str_gundabad_faction_intro|^グンダバドはかつてドワーフたちの聖地でしたが、^現在は北方の山々のオークの巨大な要塞になって^います。^^他の場所に住むオークたちよりも野蛮な^グンダバドオークですが、軍の構成は他の^オーク軍と似ており(歩兵、弓兵、散兵、^ワーグ乗り)、戦い方も同様です。彼らの装備は^原始的で戦闘スタイルは洗練されていません。^彼らのワーグ乗りたちは飛びぬけた強靭さと^獰猛さを誇ります。グンダバドのオークのなかには、^みずからをむち打って戦闘に対する狂乱状態になる^者もいます。
str_dunland_faction_intro|^褐色人は”褐色人の国に住む野人たち”で、^もともと住んでいた土地から彼らを追い出した^ロヒアリムの宿敵です。^^褐色人の国はなにもない、貧しい国です。^褐色人はまともな防具を持たず、ほとんどが毛皮や^なめした皮に、地位を表す金属を多少^あしらったものを身に着けます。武器に関しては^ロングパイクと鹿の角でつくった斧を使い、まれに^名声を示すシンボルとして剣を持っています。^彼らの馬はやせていて弱く、ローハンの馬には^到底及びませんが、それでも褐色人は馬に乗り、^散兵として戦場に出ます。戦闘では、パイク兵は^まとまって行動をとり、粗野ながらも手ごわい、^鋭い長柄武器の壁となります。褐色人のなかには^野生の生き物たちと親しい関係を築く者もおり、^獰猛な狼の群れを放って敵を襲わせる事もあります。
str_beorn_faction_intro|^ビヨルンの子孫たちであるビヨルン一党は、^闇の森と霧ふり山脈に挟まれた^アンドゥインの谷間の上流に住む人々です。彼らは^多くを森で過ごしますが、通商のための道としての^渡り場の安全を確保し、その対価としてそこを^利用する隊商から通行料を徴収しています。^^森人は頑丈な棒と鋭い斧を持ちますが、防具は^ほとんど身に着けません。重装備のビヨルン一党の^歩兵は盾も持ちます。猟兵はよく訓練された射手で、 貴重な弓兵となります。
str_intro_faction_intro_strings_end|faction intro END
str_gondor_extra_info|光^^難しい^^ゴンドール (南東部)^^イムラヒル大公^^モルドール、ウンバール、ハンド、ハラド
str_dwarf_extra_info|光^^簡単^^ロヴァニオン北部 (北部)^^鉄の足ダイン二世王^^リューン、グンダバド
str_rohan_extra_info|光^^標準^^ローハン (南西部)^^セオデン王^^アイゼンガルド、褐色人
str_mordor_extra_info|サウロン^^簡単^^ゴンドール (南東部)^^ゴスモグ^^ゴンドール
str_isengard_extra_info|サルマン^^簡単^^ローハン (南西部)^^ウグルク^^ローハン
str_lorien_extra_info|光^^非常に簡単^^ロヴァニオン南部 (中部)^^ケレボルン^^モリア、ドル・グルドゥア
str_imladris_extra_info|光^^非常に簡単^^ロヴァニオン南部 (中部)^^エルロンド卿^^モリア、ドル・グルドゥア
str_woodelf_extra_info|光^^非常に簡単^^ロヴァニオン南部 (中部)^^スランドゥイル王^^モリア、ドル・グルドゥア
str_dale_extra_info|光^^標準^^ロヴァニオン北部 (北部)^^ブランド王^^リューン、グンダバド
str_harad_extra_info|サウロン^^簡単^^ゴンドール (南東部)^^ウル＝ウルカリ族長^^ゴンドール
str_rhun_extra_info|サウロン^^難しい^^ロヴァニオン北部 (北部)^^ヘルカロス族長^^谷間の国、ドワーフ、闇の森、ビヨルン一党
str_khand_extra_info|サウロン^^簡単^^ゴンドール (南東部)^^クルクマフール族長^^ゴンドール
str_umbar_extra_info|サウロン^^簡単^^ゴンドール (南東部)^^テュルミア提督^^ゴンドール
str_moria_extra_info|サルマン^^非常に難しい^^ロヴァニオン南部 (中部)^^小ボルグ頭領^^イムラドリス、ロスローリエン
str_guldur_extra_info|サウロン^^非常に難しい^^ロヴァニオン南部 (中部)^^フイヌア団長^^イムラドリス、ロスローリエン
str_gundabad_extra_info|サルマン^^非常に難しい^^ロヴァニオン北部 (北部)^^ブルザ＝クルアル団長^^谷間の国、ドワーフ、闇の森、ビヨルン一党
str_dunland_extra_info|サルマン^^難しい^^ローハン (南西部)^^黒のデグラフ族長^^ローハン
str_beorn_extra_info|光^^難しい^^ロヴァニオン北部 (北部)^^老グリムビヨルン族長^^リューン、グンダバド
str_intro_strings_extra_end|Intro EXTRA END
str_gundabad_intro|戦争が近いとの報せを受け取ったあなたは、 遠い昔にかつてアングマールのあった、北方の彼方の地よりやって来た。 数えるのを忘れるほど長い年月のあいだ、 あなたは仲間と共に斧と槍でもって多くのドワーフの盾を破壊し、 人間やエルフを獰猛なワーグの爪にかけてへし折り、 熊人間たちの毛皮を剥いでそれを身に着けた。 霧ふり山脈にあるグンダバドの大広間は、 かつてのボルグとアゾグの時代のように、 ふたたびあなたたちのものとなった。^^たくさんの仲間がここで死に、その多くはこの大広間や坑道で殺されたが、 生き残った者もまた少なくない。 かつては強欲な背の低い穴掘りどもとその仲間たちをいたぶって楽しんだ。 今度はやつらのものをすべて奪い取り、我が物としてくれよう！^^ボルグ、アゾグ、そして大ゴブリンの復讐をするのだ。 グンダバドのゴブリンたちの復讐を果たすのだ！
str_show_keybinds|特別なキーの割り当て: ^^ 陣形ショートカット:^ 横陣 - J ^ シールドウォール - K ^ くさび形 - L ^ 方陣 - ; ^ 陣形解除 - U ^^ 使用武器の切り替え - O ^^ カメラタイプの切り替え - CTRL+END ^^ 檄 - V ^^ 乗馬を呼ぶ - M ^^ 命令の確認/ミニマップ - Backspace
str_tactical_controls|キーボードの数字で分隊を指定します。0で部隊全体を選択します。^^F1-F4で選択した分隊に指示を出します。 F1を押しっぱなしにすると、選択中の分隊に移動先を指示できます。 移動先として敵の分隊を指定することもできます。^^ENTERを押すとたいていの場面で頭上からの 戦術カメラに切り替わります。^^BACKSPACEを押すとたいていの場面で戦術命令画面と 「レーダー」が表示されます。
str_division_placement|分隊がひとつ選択された場合、 選択された分隊の前列が指定された場所に位置します。^^たくさんの分隊が選択された場合、 兵は指定された場所を中心に展開します。^^F2、F7を押すと、選択された分隊の、 プレイヤーの位置を基準にした配置を記憶させておく事ができます。 標準では歩兵が左、騎兵が右、弓兵が前面に配置されます。
str_formations|戦闘メニューに用意されている高度な陣形は次の通りです：^^- 横陣。最強の兵は最前列に配置されます。^- シールドウォール。盾を持った兵は前列に、 攻撃範囲の長い武器を持った兵は後列に配置されます。^- くさび形。最強の兵は 最前列に配置されます。^- 方陣。兵科は考慮せずに兵を配置します。^- 陣形なし。^^陣形なしの場合でも、 Stand Closerをじゅうぶんな回数命令すると、 最大で4列の横陣をつくります。
str_npc18_intro|大いなる者よ、しばし待たれよ！話がある！
str_npc19_intro|そこなる隊長、しばし待たれよ。余はそなたに話がある。 いやいや、王家の血をひく者の前だからって、 別にひざまずかなくてもいいんだぜ。
str_npc20_intro|待て。おぬし。わしはおぬしを見た事がある。その顔を見たのじゃ。 おぬしの夢を見たのじゃ。だが、なぜおぬしなのだろうか？ いざ目の前に見てみると、 これは確かにただの卑しいスナガではないようじゃ！
str_npc21_intro|黄金館へようこそ、戦士殿！
str_npc22_intro|やあ、{playername}殿。 マエ・ゴヴァンネン！
str_npc23_intro|私にかまわないで、旅の人。あなたと話をしたくないの。
str_npc24_intro|ドワーリンの息子、キーリがこれにあり。^ご用があれば、なんなりと！
str_npc25_intro|谷間の国へようこそ、旅の人！私に何かできることはあるかしら？
str_npc26_intro|シッ！衛兵どもに合図を送るそぶりでも見せたら、おまえを^切り裂いて、はらわたをワーグどものエサにしてやるからな！
str_npc27_intro|おい、あんた！
str_npc18_intro_response_1|さらし台に繋がれ死を待つだけの奴隷が、私に話があるだと？一体なんだ？
str_npc19_intro_response_1|王家の血だと？フン！おまえに王家の血が一滴でもまじっていると考える根拠はなんだ？
str_npc20_intro_response_1|この妖術師め、何が言いたいのだ？おまえは誰だ？
str_npc21_intro_response_1|{これはどうも/あらこんにちは}、お嬢さん。お名前を伺ってもよろしいか{な/しら}？
str_npc22_intro_response_1|やあ、エルフの将軍！お会いできて光栄だ。
str_npc23_intro_response_1|それがシルヴァン・エルフ流の来客へのあいさつなのか{い/しら}？
str_npc24_intro_response_1|やあ、私は{playername}。ドゥリンの一族の調子はどう{だい/}？
str_npc25_intro_response_1|こんにちは。我々と共に戦ってくれる者を探している{んだ/の}。
str_npc26_intro_response_1|脅す相手をよく考えること{だな/ね}、ウルク。私はその辺のこそ泥とは違う{ぞ/わよ}。
str_npc27_intro_response_1|{おまえ/あんた}は何者{だ/なの}？
str_npc18_intro_response_2|死を待つだけの奴隷にかまっている時間などない。
str_npc19_intro_response_2|厚かましい恥知らずめ。消え失せろ。
str_npc20_intro_response_2|狂人のたわごとにつきあっているヒマはないのだ、この妖術師め。
str_npc21_intro_response_2|放っておいて{くれ/ちょうだい}、よそで大事な用がある{んだ/の}。
str_npc22_intro_response_2|せっかくだが、高貴な方々とは話が合うと思えないんだ。
str_npc23_intro_response_2|私も同じ気分{だ/よ}。さようなら。
str_npc24_intro_response_2|かまわないで{くれ/ちょうだい}。ここは空気が悪い{な/わね}。
str_npc25_intro_response_2|かまわないで{くれ/ちょうだい}。観光に来ただけな{んだ/の}。
str_npc26_intro_response_2|すぐに立ち去ろう。でないと私の利き腕が勝手に動きそうだ。
str_npc27_intro_response_2|[無視して素通りする]
str_npc18_backstory_a|我、奴隷にあらず！私は功のある戦士だ。罠にはめられ、 本来の地位を奪われたのだ！見ての通り私は女であるが、 他の多くの者より強くて素早く、男たちに打ち勝つ事は数知れぬ。 闘技場の長が・・・あのいまいましい奴め！あの者が、 私が一度に3人を相手にするように闘いを仕組んだのだ。3人だ！
str_npc19_backstory_a|そりゃあまあ、ほんのちょっとさ。でもな、わしの母ちゃんが、^わしの血統の話を詳しくしてくれたんだ。わしはヘイズレク。^フェンゲル王の直系の子孫で、ローハンと褐色人の国の王位に、^他のどの族長よりも近い男だ！わしの髪は黒いが、黄色い大きなふさが^まじってるのは気に入っているんだ。
str_npc20_backstory_a|夢には一本の木が出てきた。すべてが白い木じゃ。そして、おぬしは^その木の傍らに立っておる。おぬしが木の幹に手をそえると、^あれよ、その木は根まで枯れていくのじゃ。そして空の闇が伸びていき、^あたりの空気が重くなる。すると遠く東のほうから、笑い声が^聞こえてくるのじゃ。
str_npc21_backstory_a|私の名はガルマイネ。 あなたの名前は存じ上げています、 {playername}殿。 説明させて頂きたい。
str_npc22_backstory_a|君は生身の人間たちが忘れ去ってしまった、 私の数々の戦いにおける功績を 耳にしたことがあるかも知れない。 いずれこの戦いは、 エルダールの危機の 再来とも言うべきものになるだろうが、 これが最後の戦いになるだろう。
str_npc23_backstory_a|感じの悪いのは謝るわ、旅の人。 でも、ここを訪れる数少ない来客といえば、 信用できない者ばかりなの。 つい一週間まえにここへ来た、 あのドワーフときたら・・・ 何でもないわ。 私はルエヴァンナ、 闇の森のシルヴァン・エルフよ。
str_npc24_backstory_a|これはどうもご丁寧に、 {playername}殿。 わしらは侵攻してくる東夷やグンダバドのオークどもを 追い払っているのだが、 いまのところ、 わしらと同盟国の谷間の国の手に余るような相手はおらん。
str_npc25_backstory_a|兵舎に行けば、あなたの部隊に志願してくれる勇敢な戦士が きっと見つかると思いますよ。 私はただの医師、それと薬草医で、 腕も大したことないんです。
str_npc26_backstory_a|あんた、いいね！ わし、グルム。 上官に手を上げちまって、 やつのスナガどもに追われとるんじゃ。^あの役立たずの豚め、 自業自得じゃ！ ちょっとまえ、 わら頭の偵察隊に奇襲されてな・・・ やつは一人で勝手に負けよったんじゃ。 「退却」とか叫んでな、 やつはさっさと逃げちまったのさ。 その場にとどまって、 突撃してくる馬をさばいたのは、 グルムと他数匹だけじゃ。 黄色い頭がすり身になるまで、 殴ってやったわ(ヒッヒッヒッ)。 わしら強いのがおらんかったら、 部隊はそっくり全部長虫の餌になっとったところじゃ。
str_npc27_backstory_a|俺はドゥルガシュ！
str_npc18_backstory_b|私は打ち勝った！彼らを倒したのだ！だが・・・そのうちの一人は^か弱く、私の打撃により死んだのだ。その者がただの奴隷であれば^話はそれまでだ。だが、その者は偉大なる将軍、ルルムサクンの^大勢の息子のうちのひとりで、身分の低い妻に産ませた子だったのだ。
str_npc19_backstory_b|そりゃあ、わしの主張を受け入れる者なんかローハンにも^褐色人の国にもいないがね、それでもこれは事実なんだ。わしの^ばあちゃんは山に住む牛飼いだったんだけどな、ある日アイゼンの^川岸にいるところを、王位泥棒のセオデンの祖父で、強欲な^フェンゲル王の目にとまったんだ。王はばあちゃんを気に入って、^それで出来たのが、わしの母ちゃんさ。
str_npc20_backstory_b|おぬしは自分が前にしておるのが誰なのか、わかっておらぬようじゃな？^無知なる愚か者め。わしの名はジグールフェル。いにしえの^アカルラベースが我が祖国じゃ。おぬしには聞いた事もない名で^あろうがの。もうひとつ覚えておくがよい。わしは遠い昔に行われた^不正な行為を正す方法を探し求めている。不正な行為、すなわち我らが^大いなる軍備と我が祖国を沈めたヴァラールが、その悪意によって、^我と我が民にもたらした不正な行為じゃ。おお、偉大で栄光ある、^アル＝ファラゾーンよ！あなたの夢は、永久に忘れ去られてしまうのか？^否、ジグールフェルのある限り、我が術を行う、我が両の手がある限り！
str_npc21_backstory_b|私は貴族の家に生まれ、 女官としてエオウィン様がご幼少の頃よりお仕えしてきました。 エオウィン様と私は、 男の兄弟たちにまじって戦闘の稽古をすることを許され、 ローハンの戦士となるべく、 共に精進してきました。
str_npc22_backstory_b|私はエルロンド卿に頼まれ、 ロヴァニオンのこの一帯での戦闘において助けとなるべく、 ケレボルンのもとへ密使としてやってきた。
str_npc23_backstory_b|私は、この美しい森の、 秘密の小道を歩くのがすき。 ときどき息をひそめては、 木々の影から森に住む動物たちの営みを、 そっと観察するの。 めずらしい鳥の歌や、 巣ごもりをする野生の熊たちの姿は、 私にとってはエダインが武器をぶつけあったり、 大きな城壁に心を奪われたりするのと同じくらい、 興味を引かれることなのよ。
str_npc24_backstory_b|わしはドワーフのしきたり通り、 尊敬する父ドワーリンの教えに従い、 エレボールの守備を固めるのを助け、 若いドワーフたちを訓練した。
str_npc25_backstory_b|私はブランド王の、体調不良の治療を担当しています。 これは便秘から来るもので、 戦争に行く方が患いやすいんです。 ニガヨモギを調合して薄めたものを服用すれば、 胃腸も気分も落ち着くんですよ。
str_npc26_backstory_b|そこでわしは考えた。 「グルム、おまえはくさった肉の塊になりたいのか？」、とな。 「嫌だ」、が答えじゃ。^次の戦いで、 わしは怪我をしたふりをして、 後ろのほうにおった。 それで、 誰も見ておらんのを確認して、 上官に襲いかかったんじゃ！ 奴はほぼ、 まっぷたつじゃ、 グハハー！ それから奴の周りにおったスナガどもを、 全部きれいに切り倒した。^^・・・だが、 どうやら奴は、 血まみれで這いずってたくせに、 命拾いしたらしくてのう。 この一件を周りにまくしたてておったわ。 次はきっちり首を落としておかんとなあ、 ガァルル・・・
str_npc27_backstory_b|アイゼンガルドの狼乗りで、追跡兵なんだけどさ。
str_npc18_backstory_c|私は私をあざ笑った犬を打ち倒した罪によって死を宣告され、 ご覧の通り、ここでののしりを浴び、つばを吐きかけられている。 大いなる者よ、私を開放してくれ！私を開放してくれれば・・・ 私の力は、あなたのものだ。私の剣は、あなたのものだ。 私の命は、あなたのものだ！
str_npc19_backstory_c|当然、デグラフ族長とその他の連中は、わしの話に説得力がつく事を^怖れて、わしが手柄をたてる機会なんか一切くれないのさ。まあ、^そうなったらみんなわしの許に集まっちまうだろうからな！隊長さん、^あんたのうわさは聞いてるよ。わしをあんたの許で働かせてくれる^なら、わしはあんたのために手柄をたてるぜ。
str_npc20_backstory_c|オー・アカルラベース、今どこにあるのか？消えてしまった、すべて^消え去ってしまった・・・かつて最も偉大な国であった我が祖国が^光り輝いていた場所には、今は闇があるばかりじゃ。美しい我が^祖国は、今や大海の果てしのない沈黙を知るのみ。だがわしの^心の中にはいまだ闇の獣が荒れ狂い、燃え盛る炎で満たされておる。^わしはおぬしらの種には夢想もできぬ、強力な術を知っておる。^さあ、我に聞くがよい！当然わしの助力を乞うのか、それとも、^長虫のように、こそこそとこの場から逃げるのか。素早く決断せよ！
str_npc21_backstory_c|ご存知かも知れませんが、 たとえどれほどの武芸をもっていようとも、 女がエオレドに加わる事は許されていません。 しかしながら、 暖炉のそばで戦士たちの帰りをじっと待つというのは、 私には到底受け入れられないのです。 この戦争で建てられるべき功績がひとつ残らず消えるまで、 私は何もせずにただ時間を過ごすつもりはありません。 そこで戦士殿、 あなたのお力をお借りしたい。
str_npc22_backstory_c|しかしながら、 ロスローリエンの当面の敵が姿を隠している現状をかんがみると、 しばらく君と行動をともにする事も悪くない考えかも知れないな、 {playername}殿。 この戦争において、 君と私の運命は交わっているように感じる。
str_npc23_backstory_c|みたところ、 あなたは戦いに熱心みたいだし、 こんな事は、 あなたには理解できないかもしれないわね。 でも、 あなたは遠く離れた、 いろいろな場所を旅をして来たのよね。 他の大森林に行った事はある？ 私をそこへ連れて行けないかしら？
str_npc24_backstory_c|この戦いは退屈で、 わしのような気質と血筋を持つ ドワーフの戦士には合わん。 わしの聞いたところだと、 あんたは方々に旅をしては 派手に暴れておるようで、 しかもドワーフには親切にしてるそうだな？ 一緒に戦ってくれるドワーフがいると、 生き残る可能性がぐーんと上がるぞ。
str_npc25_backstory_c|他所では戦いがとても激しく、 そのおかげで今のところ、 私たちの土地は助かっているのだと聞きました。 あなたの防具についた無数の傷から察するに、 あなたは何度も死地を切り抜けてきたのでしょうね。 私の力は大した事がないけれど、 あなたの部隊に参加すれば、 多くの人々のお役に立てるのかも知れません。
str_npc26_backstory_c|わしは戦闘ウルク＝ハイの、狂戦士じゃ！ 人間を殺すすべは、 熟知しておる。 白の手に仕えておったんじゃが、 白の手がわしを見つけたら、 すぐにわしを火の穴へ放り込むじゃろうな。^^おぬしにその気さえあれば、 わしはおぬしの下で南の人間どもを殺そう。 アイゼンガルドのスナガどもには歯ぎしりさせとくとしようか。
str_npc27_backstory_c|あんた、俺のご主人さまにならないか。
str_npc18_backstory_later|私の運もまだ尽きてはいないのだろう。 あの偉大なる将軍のルルムサクンは他の事で手一杯のようだ。 ここの監督官は私をただ放置している。 だが、囚人として死ぬのは私の運命ではない！ 私にふさわしい、戦場における死を与えてくれ。
str_npc19_backstory_later|ほうら来た！あんたはまた戻って来ると思ってたぜ。 嫉妬深い族長たちのおかげで、わしは手持ち無沙汰だよ。 大いに語ろうじゃないか、隊長！わしはあんたについていって、 あんたの軍で手柄をたてて名声を勝ち取るんだ。
str_npc20_backstory_later|おぬしはいまだに我が夢を乱す！これはなぜなのか？ 我が夢は深遠を映す。このドル・グルドゥアにあっても、 おぬしの行ないは幻影となってわしの知るところとなる。 おぬしに言おう。愚かでないのなら、今すぐここで我が助力を乞うがよい。
str_npc21_backstory_later|日に日に兵士の怪我人が増えています。 私は出来る限りの看病をしているのですが、 自分が檻に閉じ込められているという思いはぬぐえません。
str_npc22_backstory_later|考え直したかね？ エルダールに残された時間は少ない。
str_npc23_backstory_later|私はこの二日間、 大蜘蛛の巣を観察していたの。 初めて見るとその姿の醜さに驚くかも知れないけれど、 彼らは侵入者から森を守っているのよ。 今日は私を旅へ誘いに来たの？
str_npc24_backstory_later|頑丈な城壁をつくるのは、 すべてのドワーフにとって、 やりがいを感じる仕事だ。 だが、わしは斧も振り回したいんだ。 今すぐ。 わしを一緒に連れて行ってくれないか。
str_npc25_backstory_later|また陛下のお呼び出しを受けたのですが、 今度は嘔吐なんです。 陛下のこのような健康状態と、 敵に対する陛下の執着心とは関連性はないと信じたいのですが。 あなたは便秘や嘔吐に悩まされているような事はありませんか？
str_npc26_backstory_later|何をしとるように見える？ グルムはここに座って、 こそこそしたスナガどもに、 暗がりで刺されるのを待っとるんじゃ。 わしを一緒に連れて行ってくれ。 わしは精一杯殺すぞ。
str_npc27_backstory_later|どうだい？俺はお役に立つぞ。
str_npc18_backstory_response_1|おまえが本当に見た通り獰猛ならば、私のために戦わせてやるのも悪くないだろう。もちろん、食べ物を少々与えた後の話だがな。
str_npc19_backstory_response_1|なるほど。戦列を乱さずに戦えるのであれば役に立たない事もないな、褐色人よ。
str_npc20_backstory_response_1|変わった志願の口上だな、妖術師め。まあよかろう、私と一緒に来るがいい。
str_npc21_backstory_response_1|ローハンの盾持つ乙女からの申し出とあらば、我々は歓迎する。
str_npc22_backstory_response_1|このような申し出は僭越かも知れませんが、来たる戦いに備えるため、我が部隊にあなたの力を貸していただけないでしょうか。
str_npc23_backstory_response_1|我々が旅をするのは、すべての清きものを守り、敵と戦うためだ。
str_npc24_backstory_response_1|もちろんだ。ドワーフの戦士は歓迎しよう。
str_npc25_backstory_response_1|我が部隊には医師も薬草医も必要だ。
str_npc26_backstory_response_1|まあ、狂戦士は使い道があるだろうな。
str_npc27_backstory_response_1|いいだろう。
str_npc18_backstory_response_2|フン！暴れるだけの闘犬など我が部隊には不要だ。
str_npc19_backstory_response_2|手柄か。私をわずらわす前に、まずはどこかで自分で手柄をたててくるがいい！
str_npc20_backstory_response_2|フン！口はよく動くようだが、実際のところは大した事がなさそうだな。私は忙しいのだ！
str_npc21_backstory_response_2|すまないが、私では力になれないな。
str_npc22_backstory_response_2|ロスローリエンがもうすこし平和になったらまた来る事にしよう。
str_npc23_backstory_response_2|すまないが、役に立たない者を部隊に置いておく余裕はないのだ。
str_npc24_backstory_response_2|せっかくだが、我々だけでうまくやれているのだ。
str_npc25_backstory_response_2|いや。薬草医には必要なときにだけ診て貰えれば充分だな。
str_npc26_backstory_response_2|笑わせるな。裏切り者など信用できるものか。
str_npc27_backstory_response_2|おまえなど要らん、この奴隷め。
str_npc18_signup|ああ、また肉にありつけるとは！手足が自由になり、腹ごしらえが^済み次第、すぐにでも我が勇気をご覧に入れよう！
str_npc19_signup|ああ、わしをそう呼ぶのはかまわないさ。わしは褐色人の血を^恥じてはいない。歴代のローハンの暴君どもに大いに苦しめられて^きたわしらの民には、わしはとても親しみを感じているんだ。^わしはこの戦争であんたの力になるよう努力を惜しまない。だが隊長、^その代わり、わしの戦いの時が来たら、わしを助けてほしい。
str_npc20_signup|当面のところおぬしの傲慢さは大目に見るが、 それについていづれゆっくりと話をする事になると覚えておくがいい。 かつては違った名であった冥王が、 どちらの肩を持つのか見てみるのも面白いであろう。 その時にはおぬしに礼儀というものを教えてやるとしようか。
str_npc21_signup|よろこんであなたの指揮下に入らせていただきましょう、 隊長。
str_npc22_signup|なるほど。 君の名前や、 偉業の数々は、 私もよくうかがっている。
str_npc23_signup|私は暴力や戦争で使う武器は 嫌いだけれど、 いざとなったら自分の身は自分で守れるわ。
str_npc24_signup|わしは斧に自信がある。 振り回すのも投げるのも得意だ。 それに、商人との交渉をわしにまかせてくれれば、 経費も浮かせることができるぞ。 あと、戦場で倒れた敵兵から 金目の物を見つけるのも得意だ。
str_npc25_signup|本当ですか？ それじゃ、もうあまり薬草や調合法を探して回らなくて 済むのかしら。
str_npc26_signup|あんたの部隊におるスナガを全部足しても、 一匹の戦闘ウルク＝ハイのほうが価値があるぞ。 戦闘ウルク＝ハイは戦場から決して逃げない。
str_npc27_signup|ほんと？ようし、後悔させないぜ。
str_npc18_signup_2|かつて母が私に語ったところによると、私は多くの敵を切り倒す^ために産まれてきたのだそうな。あなたのために、私はか弱い西の^人間どもを山ほど殺そう。ひと振りの剣を私に与えてくれれば、^それで充分だ！
str_npc19_signup_2|わしは他の者たちと同様、夜の狼のように戦うんだ。槍を投げ、 突撃してくる騎兵の胸にパイクを突き刺し、その手足を斧や剣で叩き切る。 あんたには包み隠さずに本音を明かすが、御目にしろ白の手にしろ、 あんたがどちらについていようと、わしはかまわないんだ。 わしが本来座るべき、黄金館の王座にわしが座る事。 それがわしにとってのすべてなんだ。
str_npc20_signup_2|とりあえずは、長い年月をかけて磨いてきた我が知識と術を、 おぬしの力とさせてやろう。覚えておくがよい。 ジグールフェルの助けを得る者は、 ウトゥムノの地下深くにて翼を与えられた龍に等しい。 おぬしのために我が偉大なる術を使おうとも、 おぬしにそれを理解する事はできぬであろうがな！
