qstr_Received_{reg0}_dama|Received {reg0} damage.
qstr_DEBUG:_Target_Party__|DEBUG: Target Party - NO
qstr_Perhaps_I_m_getting_|Perhaps I'm getting unlucky...
qstr_Retirement_is_starti|Retirement is starting to sound better and better.
qstr_No_matter!_I_will_pe|No matter! I will persevere!
qstr_What_did_I_do_to_des|What did I do to deserve this?
qstr_I_suppose_it_ll_make|I suppose it'll make for a good story, at least...
qstr__{s17}|, {s17}
qstr_You_retreated_from_b|You retreated from battle.
qstr_{s9}_wants_you_to_fo|{s9} wants you to follow his army until further notice.
qstr_{s8}_of_{s9}|{s8} of {s9}
qstr__Your_own_banner_fli| Your own banner flies over the castle gate.
qstr__You_see_the_banner_| You see the banner of {s7} over the castle gate.
qstr__This_castle_seems_t| This castle seems to belong to no one.
qstr__Your_own_banner_flie| Your own banner flies over the town gates.
qstr__You_see_the_banner_o| You see the banner of {s7} over the town gates.
qstr__The_townsfolk_here_| The townsfolk here have declared their independence.
qstr_Get_book.|Get book.
qstr_Go_to_the_secret_ent|Go to the secret entrance to Moria
qstr_Search_for_a_secret_|Search for a secret entrance to Moria
qstr_The_{reg6?town_s:cas|The {reg6?town's:castle's} food stores should last for {reg3} more days.
qstr_The_{reg6?town_s:cast|The {reg6?town's:castle's} food stores have run out and the defenders are starving.
qstr_You_re_preparing_to_|You're preparing to attack the walls, the work should finish in {reg9} hours.
qstr_Your_forces_are_buil|Your forces are building a siege tower. They estimate another {reg9} hours to complete the build.
qstr_You_are_ready_to_att|You are ready to attack the walls at any time.
qstr_The_siege_tower_is_b|The siege tower is built and ready to make an assault.
qstr_As_a_last_defensive_|As a last defensive effort, you retreat to the main hall of the keep. You and your remaining soldiers will put up a desperate fight here. If you are defeated, there's no other place to fall back to.
qstr_You_ve_been_driven_a|You've been driven away from the walls. Now the attackers are pouring into the streets. IF you can defeat them, you can perhaps turn the tide and save the day.
qstr_You_ve_breached_the_|You've breached the town walls, but the stubborn defenders continue to resist you in the streets! You'll have to deal with them before you can attack the keep at the heart of the town.
qstr_The_town_centre_is_y|The town centre is yours, but the remaining defenders have retreated to the castle. It must fall before you can complete your victory.
qstr_The_remaining_defende|The remaining defenders have retreated to the castle as a last defense. You must go in and crush any remaining resistance.
qstr_However_since_you_ar|However, since you are not a sworn {man/follower} of {s9}, there is no chance he would recognize you as the {lord/lady} of this {reg8?town:castle}.
qstr_The_enemy_has_been_f|The enemy has been forced to retreat. The assault is over, but the siege continues.
qstr_The_assasins_beat_yo|The assasins beat you down and leave you for dead. .
qstr_You_have_fallen._The|You have fallen. The bandits quickly search your body for valuables they can find, then vanish into the night. They have left you alive, if only barely.
qstr_Luckily_some_of_your|Luckily some of your companions came to search for you when you did not return, and find you lying in the ditch. They carried you to safety and dressed your wounds.
qstr_Luckily_some_passing|Luckily some passing locals found you lying in the ditch, and recognised you as someone other than a simple beggar. They carried you to safety and dressed your wounds.
qstr_{s29}|{s29}
qstr_{s13}^^You_have_succ|{s13}^^You have successfully sneaked in.
qstr_The_tomb_is_destroye|The tomb is destroyed. A fierce fight took place here.
qstr_Nothing_of_interest|Nothing of interest
qstr_the_place|the place
qstr_the_castle|the castle
qstr_the_Throne_Room|the Throne Room
qstr_the_Secret_Cave|the Secret Cave
qstr_Meduseld_the_Golden_|Meduseld, the Golden Hall
qstr_the_Lord_Halls|the Lord Halls
qstr_the_Leader_s_Cave|the Leader's Cave
qstr_the_Tower|the Tower
qstr_the_tower_of_Orthanc|the tower of Orthanc
qstr_Beorn_s_Hall|Beorn's Hall
qstr_the_Hall|the Hall
qstr_the_Great_Chamber_of|the Great Chamber of Thrór
qstr_Stay_indoors_for_som|Stay indoors for some time ({reg1} Resource points per night)
qstr_Camp_outside_for_som|Camp outside for some time (free)
qstr_As_you_enter_the_vas|As you enter the vast caverns underneath the Ring of Isengard, where thousands of orcs work to supply the growing armies of the White Hand, you gain confidence in the rise of a new power and the demise of the old world.
qstr_You_have_found_the_G|You have found the Glittering Caves, one of the marvels of the Northern World.
qstr_As_the_party_member_|As the party member with the highest Bargainer skill ({reg2}), {reg3?you estimate:{s3} estimates} that it will take {reg4} hours to find the most notable persons in town. [Costs {reg5}/{reg6} influence]
qstr_You_have_already_fou|You have already found all persons of interest.
qstr_the_captain_of_the_g|the captain of the garrison, and the civil authority.
qstr_and_the_captain_of_t|and the captain of the garrison. As this place was recently captured, it has not civil authority.
qstr_You_also_heard_of_a_|You also heard of a healer, but you will have to find them on your own.
qstr_{s4}_s_scouts_have_s|{s4}'s scouts have seen and reported your failure. You have brought shame to {s4} and the responsibility of this failure is yours alone.
qstr_{s1}_s_Ship|{s1}'s Ship
qstr_Time_passes...|Time passes...
qstr_Forces_of_Good|Forces of Good
qstr_Forces_of_Mordor|Forces of Mordor
qstr_Forces_of_Isengard|Forces of Isengard
qstr_their_enemies|their enemies
qstr_{s11}_and_{s13}|{s11} and {s13}
qstr_{s11}_{s13}|{s11}, {s13}
qstr_a_scout_party_from_{|a scout party from {s3}
qstr_two_scout_parties_an|two scout parties and a forager party from {s3}
qstr_two_scout_parties_and|two scout parties and a raider party from {s3}
qstr_three_scouts_two_for|three scouts, two foragers, and a patrol from {s3}
qstr_three_scouts_two_rai|three scouts, two raiders, and a war party from {s3}
qstr_You_see_the_village_|You see the village being raided by bandits. You ask most of your troops to watch out for other raiders while you take a small group and prepare to defend villagers.
qstr_You_see_the_village_y|You see the village you were tasked to raid. You and a small group of your raiders prepare to attack the village so as not to be seen.
qstr_The_raiders_are_defe|The raiders are defeated! Those few who remain alive and conscious scurry off to the darkness from whence they came, terrified of the villagers and their new champion.
qstr_Try_as_you_might_you|Try as you might, you could not defeat the raiders. They raze the village to the ground and enslave the remaining peasants.
qstr_The_village_has_been|The village has been razed, villagers killed or taken as slaves. The Dark Lord will be pleased.
qstr_You_failed_to_raid_t|You failed to raid the village and you were sent scurrying with your men. You hear the victors cheering as you feel the disapproving gaze of the Eye.
qstr_The_Scout_Camp_has_b|The Scout Camp has been razed, This will slow the advance of the enemy.
qstr_You_failed_to_destro|You failed to destroy the Scout Camp. The enemy has taken measure of your faction and has decidedly stuck.
qstr_You_have_defeated_the|You have defeated the raiding fleet! This is a heavy blow to the enemy's plans!
qstr_You_defeated_the_int|You defeated the intercepting fleet! Even though you do not have enough strength left to raid the city, this is a great victory!
qstr_You_drove_back_the_e|You drove back the enemy fleet, but lost most of your ships!
qstr_You_were_defeated_by|You were defeated by the intercepting fleet and failed to raid the city!
qstr_^^^^^^^You_come_upon|^^^^^^^You come upon the refugees leaving {s2} and on their way to {s3}. ^^They are mostly the old and the infirmed, accompanied by women and children.^^ There are guards, but not enough to protect everyone from a raid.
qstr_^^^^^^^You_come_upon_|^^^^^^^You come upon the refugees you have been tracking since {s2}. They seem to be on their way to {s3}, and are mostly the old and the infirmed. ^^ There are few guards, but not enough to stop you and your men from killing all of them.
qstr_^^At_last_the_Master|^^At last, the Master is making His move! The torches burn bright. The sharp weapons gleam. You and your stout lads will receive marching orders soon. Ai, there'll be fighting, lots of it, and glory enough to go around!^^You have the honour of being summoned to audience with the Master in His tower. Likely enough your first orders will be snaga's work - raid a village here, waylay a caravan there. But you'll prove yourself soon enough. Who's to say you won't play as large a role as any commander of {s2} in {s3}?^^The War has begun; the fall of Man and their allies begins!
qstr_^^Your_head_suddenly|^^Your head suddenly fills with a vision - the flaming Eye. All around you, your warriors stop in their tracks. Somehow, you know at that moment that all of you are hearing the same summons, seeing the same vision. Great is the art of the Lidless Eye - great is the power of Barad-dûr!.^^The knowledge, unspoken, seeps into your very bones. The time has come. The Dark Lord commands - you shall all march upon your enemies in open war. Orders from {s2} in {s3} will come. Your part at first will not be great, but you'll prove yourself soon enough.^^ The War has begun; the fall of the West begins!
qstr_You_defeated_{reg5}_|You defeated {reg5} enemies and have impressed your commander.
qstr_You_defeated_{reg5}_e|You defeated {reg5} enemies.
qstr_You_failed_to_defeat|You failed to defeat any enemy.
qstr_The_sorcerer_slain_y|The sorcerer slain, you and your companions hastily bandage up wounds and slip out into the night. Foul voices shriek at your backs and you can feel many burning eyes looking for you in the shadows. Soon the anger turns to disappointment and the sounds of pursuit are muffled, replaced by the usual heavy silence of Mirkwood. You have escaped
qstr_The_sorcerer_slipped|The sorcerer slipped from your grasp and slithered into the darkness of his domain. With hearts weighted by failure, you and your companions hastily bandage up wounds and withdraw into the night. Mocking voices shriek at your backs and you can feel many burning eyes trying to pierce the shadows. Laughter and insults are soon mercifully muffled, replaced by the usual heavy silence of Mirkwood. You have escaped.
qstr_You_approach_a_heavi|You approach a heavily guarded region of the forest... ^^ You have to decide whether you venture forward on your own, or take some troops with you.
qstr_You_have_a_good_chan|You have a good chance of avoiding the guards and slipping through unnoticed.
qstr_You_may_have_a_chanc|You may have a chance of avoiding the guards.
qstr_You_will_probably_ha|You will probably have to fight the guards.
qstr_You_wait_for_darknes|You wait for darkness to fall...
qstr_You_are_quickly_disc|You are quickly discovered by the enemy.
qstr_You_advance_stealthi|You advance stealthily far into the forest.
qstr_You_have_evaded_the_|You have evaded the patrols and crept close to the ruins!
qstr_You_have_found_the_s|You have found the sorcerer!
qstr_You_cannot_leave_unt|You cannot leave until the guards lose you!
qstr_Kill_him_quickly_bef|Kill him quickly before he escapes!
qstr_Enraged_by_the_death|Enraged by the death of {s4}, you have sworn an oath of vengeance upon the forces of {s3}. You must now destroy as many of the troops of {s3} as possible in the coming days. You are keenly aware that your followers have witnessed this oath and you do not wish to become known as an oathbreaker. An orgy of bloodletting must now begin!
qstr_flooded._Somebody_or|flooded. Somebody or something must have ruined the Isen dams.
qstr_destroyed._Only_smol|destroyed. Only smoldering ruins remain.
qstr_^^^You_lost_your_fig|^^^You lost your fight against the mutiny! ^Seems like your orcs have a new commander now.
qstr_^^^You_have_slain_th|^^^You have slain the offender, and other orcs quickly fall back in line. ^ For some time the maggots will be quiet for sure.
qstr_You_cover_up_your_tr|You cover up your tracks and move onward.
qstr_Breaking_camp...|Breaking camp...
qstr_Party_morale_is_low.|Party morale is low. Troops desert from your party.
qstr_Desertion|Desertion
qstr_{s1}_has_deserted_fr|{s1} has deserted from your party.
qstr_You_don_t_have_enoug|You don't have enough troops to guard all your prisoners. Their chance of escaping is increased.
qstr_{s1}_has_escaped_fro|{s1} has escaped from your party.
qstr_You_have_left_{s1}.|You have left {s1}.
qstr_You_are_entering_{s1|You are entering {s1} ({s2}).
qstr_You_are_entering_{s1}|You are entering {s1}.
qstr_DEBUG:_{s1}_was_stuc|DEBUG: {s1} was stuck, repositioning somewhere else!
qstr_The_war_expands_comm|The war expands, commanders are getting bolder! (siege requirements reduced)
qstr_Your_party_is_spotte|Your party is spotted by {s1}.
qstr_DEBUG:_Player_Contro|DEBUG: Player Control Allies RESET
qstr_The_effects_of_the_O|The effects of the Orc Brew have dissipated.
qstr_The_effects_of_the_M|The effects of the Miruvor have dissipated.
qstr_Athelas_used_up.|Athelas used up.
qstr_Party_has_nothing_to|Party has nothing to eat!
qstr_You_pay_for_accommod|You pay for accommodation.
qstr_The_troll_outside_{s|The troll outside {s2} was killed. Mission canceled.
qstr_{s1}_was_killed_on_t|{s1} was killed on the battlefield. Mission canceled.
qstr_{s1}_has_been_defeat|{s1} has been defeated. Mission canceled.
qstr_You_must_follow_{s1}|You must follow {s1}!
qstr_You_must_follow_{s1}!|You must follow {s1}! This is your last warning!
qstr_DEBUG:_Eliminate_Par|DEBUG: Eliminate Parties - Current: {reg0}, New: {reg1}
qstr_{s1}_parties_defeate|{s1} parties defeated: {reg1} out of {reg2}
qstr_{reg65}_Moria_and/or|{reg65} Moria and/or Gundabad troops killed. (Counter refreshes every hour)
qstr_{reg65}_{s3}_troops_|{reg65} {s3} troops killed. (Counter refreshes every hour)
qstr_{reg66}_{s5}_troops_|{reg66} {s5} troops killed. (Counter refreshes every hour)
qstr_{reg67}_{s7}_{s8}_tr|{reg67} {s7} {s8} troops killed. (Counter refreshes every hour)
qstr_{s8}_in_{s9}_asked_y|{s8} in {s9} asked you to slay {reg67} {s10}.^ {reg68} {s11} killed. (Counter refreshes every hour)
qstr_{s1}_is_scouted.|{s1} is scouted.
qstr_{s2}_was_defeated!|{s2} was defeated!
qstr_The_Age_of_Men_has_f|The Age of Men has finally passed. Now the Two Towers gather their remaining hosts and allies to decide who will be the sole ruler of Middle Earth!
qstr_The_War_of_the_Two_T|The War of the Two Towers has started!
qstr_The_forces_of_{s22}_|The forces of {s22} have rallied! {s22} is now {s23}.
qstr_The_might_of_{s22}_h|The might of {s22} has diminished! {s22} is now {s23}.
qstr_In_a_desperate_attem|In a desperate attempt to defend against his enemies, Sauron sends out his legions of Mordor!
qstr_The_forces_of_{s2}_e|The forces of {s2} established an Advance Camp in {s15}!
qstr_The_hosts_of_{s2}_ma|The hosts of {s2} march back to defend their homes!
qstr_{playername}_s_Reser|{playername}'s Reserves
qstr_{reg70}___Last_Stand|{reg70} - Last Stand
qstr_Gondor_has_called_fo|Gondor has called for aide!
qstr_Gondor_is_accompanyi|Gondor is accompanying the marshall!
qstr_{s5}_has_stopped_fol|{s5} has stopped following you.
qstr_You_have_{reg69}_all|You have {reg69} ally party following you
qstr_You_have_{reg69}_ally|You have {reg69} ally parties following you
qstr_The_forces_of_{s2}_h|The forces of {s2} have regrouped and march on to {s15}!
qstr_Your_scouts_report_s|Your scouts report signs of a {s2} nearby.
qstr_{s1}_from_{s2}|{s1} from {s2}
qstr_When_dealing_with_lo|When dealing with locals in {s11}, remember that they do not know you and they don't necessarily acknowledge the merits you've earned in {s10}.^^(the Resource Points which you can dispose of among people from {s11} are not the ones you earned in {s10}, but the ones you will earn in {s11} -- see also the Report screen)
qstr_Info|Info
qstr_You_came_into_a_poss|You came into a possession of a strange, oversized bowl of fresh-looking water. It smells a little like musk.
qstr_Obtained:_Ent_water.|Obtained: Ent water.
qstr_A_little_after_you_f|A little after you fully recover from drinking the poisoned water you got from the walking trees, you start noticing a strange side effect. The worms in your group seem to... respect you and fear you more, as if you turned... bigger. And you would swear that you are, indeed, a bit taller. Is that really possible?
qstr_Ent_water_effect.|Ent water effect.
qstr_The_water_you_drank_|The water you drank from the Ents had a strange effect on your body. Initially you didn't believe it possible, but now,  in front of evidence, you must admit it: somehow, you grew taller! Still, the poison almost killed you. You will never take that risk again.
qstr_Ent_water_effect:_in|Ent water effect: increase stature!
qstr__+1_to_Strength__per| +1 to Strength (permanent)
qstr__+1_to_Charisma__per| +1 to Charisma (permanent)
qstr_The_dark_shadow_fina|The dark shadow finally broke into a storm, and evil hordes started their march on the free people of Middle Earth. Mordor against Gondor in the South, Isengard agains Rohan in the West, Dol Guldur against the Elves... Even in the far North there is a war of its own.
qstr_The_War_has_started!|The War has started!
qstr_The_forest_seems_pea|The forest seems peaceful.
qstr_There_is_a_sense_of_|There is a sense of danger in the air.
qstr_You_have_a_feeling_y|You have a feeling you disturbed the forest for long enough.
qstr_Get_out_now!|Get out, now!
qstr_You_are_inside_Fango|You are inside Fangorn. {s11}
qstr_Your_party_witnessed|Your party witnessed orcs eating prisoners.
qstr_Your_party_s_morale_|Your party's morale has risen from hatred.
qstr_Your_party_s_morale_h|Your party's morale has fallen from fear.
qstr_{s27}:_Influence_wit|{s27}: Influence with {s1} increases from {reg2} to {reg1}.
qstr_{s27}:_Influence_with|{s27}: Influence with {s1} decreases from {reg2} to {reg1}.
qstr_{s27}:_Party_morale_|{s27}: Party morale increased.
qstr_{s27}:_Party_morale_d|{s27}: Party morale decreased.
qstr_You_have_failed_to_f|You have failed to fulfill your oath to avenge Balin and his company!
qstr_You_have_failed_to_fu|You have failed to fulfill your oath of vengeance for {s1}'s heroic death!
qstr_Your_troops_value_yo|Your troops value your effort to fulfill your oath, but acknowledge that events unfolded too quickly. As a result, 
qstr_{s22}You_have_fulfil|{s22}You have fulfilled your oath to avenge Balin and his company!
qstr_{s22}You_have_fulfill|{s22}You have fulfilled your oath of vengeance for {s1}'s heroic death!
qstr_Reinforcements|Reinforcements
qstr_Refugees_Escaped:_{r|Refugees Escaped: {reg10} --- Refugees Killed: {reg11}
qstr_Raider_Parties_Kille|Raider Parties Killed: {reg12}
qstr_One_of_the_target_ce|One of the target centers by the refugee trains have been destroyed. The refugees have scattered, and are nowhere to be found.
qstr_quest_concluded|quest concluded
qstr_As_an_Orc_or_a_Dwarf|As an Orc or a Dwarf, you can take advantage of the Custom Camera we have implemented in order to improve your experience with TLD's shorter races. See Game Concepts for more information about how to use this.
qstr_Custom_Camera|Custom Camera
qstr_{reg65?my_Lady:my_Lo|{reg65?my Lady:my Lord}
qstr_{reg65?My_Lady:My_Lo|{reg65?My Lady:My Lord}
qstr_{reg65?mistress:mast|{reg65?mistress:master}
qstr_{reg65?Mistress:Mast|{reg65?Mistress:Master}
qstr_{reg65?madame:sir}|{reg65?madame:sir}
qstr_{reg65?Madame:Sir}|{reg65?Madame:Sir}
qstr_How_do_magnets_work?|How do magnets work?
qstr_Um..._by_enchanting_|Um... by enchanting iron?
qstr_Magnets_are_made_of_|Magnets are made of metal, which is mined from the ground. They are magnetic because the metal still contains pieces of gravity inside it.
qstr_i_wont_a_bonerlrord_|i wont a bonerlrord port nao!!11!
qstr_Install_TLD_in_your_|Install TLD in your Bannerlord Modules folder, add the line 'compatible with wfas = 1' to module.ini, and you can play it both on Warband AND Warrider 0.202!
qstr_Bannerlord_runs_on_a|Bannerlord runs on a different engine. We won't be able to port TLD to Bannerlord like we ported it to Warband.
qstr_dis_mod_takes_2_long|dis mod takes 2 long 2 releaze! it sux!!11!
qstr_Well_there_s_a_lot_o|Well, there's a lot of new graphics and stuff, I guess that takes time.
qstr_It_has_been_recently|It has been recently released, if you missed the link, you can download it at lemonparty.org.
qstr_i_wont_decapitated_e|i wont decapitated elephants in multi, nao!!11!
qstr_I_don_t_think_there_|I don't think there's multiplayer in TLD, but elephants would be nice.
qstr_There_is_a_hidden_el|There is a hidden elephant deathmatch mode in TLD, but you need to remove all your savegames first, play for a 100 game days without saving then go to the character screen and press Alt+F4. Totally worth it!
qstr_Y_NO_ChINESE??|Y NO ChINESE??
qstr_Just_to_troll_you_tr|Just to troll you, troll!
qstr_Thanks_to_our_volunt|Thanks to our volunteer translators, translations to Traditional and Simplified Chinese are available. But you need to follow our guide on Steam Workshop in order to use them.
qstr_Wai_no_plate_armour_|Wai no plate armour in mod???
qstr_What_is_plate_armour|What is plate armour? Never heard of it.
qstr_Wai_no_female_trolls|Wai no female trolls? Eh? Eh? You ma biatch!
qstr_WHEN_U_REALSE_MOD?!!|WHEN U REALSE MOD?!!?
qstr_But_we_did_release._|But we did release. You're in it. And why are you shouting?
qstr_YES!_ALSO_SOMETIMES_|YES! ALSO SOMETIMES IS!
qstr_Wai_u_no_work_wiht_o|Wai u no work wiht otehr mods to make a super LOTR mod?
qstr_Every_mod_team_works|Every mod team works according to their standards, you can't make mods cooperate if their vision is different.
qstr_Because_we_don_t_hav|Because we don't have a sense of humour and most of them are just too funny for us.
qstr_In_movies_trolls_are|In movies trolls are big and fat, wai u make me skinny?
qstr_We_interpreted_Tolki|We interpreted Tolkien like this.
qstr_But_we_did_make_you_|But we did make you as stupid as in the movies. That's gotta count for something.
qstr_What_is_news?_Got_an|What is news? Got any screenshots?
qstr_Well_just_look_aroun|Well just look around you, what do you need screenshots for?
qstr_Say_cheese!|Say cheese!
qstr_Why_did_you_make_mod|Why did you make mod installation so complex?
qstr_Well_if_you_are_here|Well, if you are here and talking to me, you must've RTFM successfully after all
qstr_You_just_got_windyfl|You just got windyflorated!
qstr_Merry|Merry
qstr_Pippin|Pippin
qstr_the_Citadel|the Citadel
qstr_Minas_Tirith|Minas Tirith
qstr_Steward_Denethor|Steward Denethor
qstr_the_Golden_Hall|the Golden Hall
qstr_Edoras|Edoras
qstr_King_Theoden|King Theoden
qstr_Merry_asked_you_to_d|Merry asked you to deliver a message to his cousin, Pippin, in Minas Tirith.
qstr_Pippin_asked_you_to_|Pippin asked you to deliver a message to his cousin, Merry, in Edoras.
qstr_Tell_him_I_ve_grown_|Tell him I've grown another inch!
qstr_Tell_Pip_he_smokes_t|Tell Pip he smokes too much!
qstr_Tell_him_I_can_ride_|Tell him I can ride a grown horse now!
qstr_Ask_him_if_he_has_an|Ask him if he has any pipe-weed left!
qstr_Tell_him_I_ll_be_the|Tell him I'll be the tall one when we see each other again!
qstr_Ask_if_he_s_seen_Gan|Ask if he's seen Gandalf!
qstr_You_gained_250_exper|You gained 250 experience.
qstr_Hrooom..._Hmmm...Who|Hrooom... Hmmm...Who are you?
qstr_Hrooom..._Hmmm...Oh_|Hrooom... Hmmm...Oh, it's you again, {playername}.
qstr_Treebeard_wants_you_|Treebeard wants you find and defeat the orcs cutting down trees in Fangorn.
qstr_Something_wrong_not_e|Something wrong, not enough troops for scout party
qstr_my_home_town|my home town
qstr_I_am_in_perfect_heal|I am in perfect health.
qstr_I_am_suffering_from_|I am suffering from {s1}.
qstr_I_am_suffering_from_{|I am suffering from {s1} and {s2}.
qstr_I_am_suffering_from_{s|I am suffering from {s1}, {s2}, and {s3}.
qstr_I_am_suffering_from_{s1|I am suffering from {s1}, {s2}, {s3} and {s4}.
qstr_I_don_t_have_any_ser|I don't have any serious injuries, thank you.
qstr_Good_day_to_you.|Good day to you.
qstr_Ah_it_s_you_again._G|Ah, it's you again. Goodbye.
qstr_My_apologies_if_I_wa|My apologies if I was rude, earlier. What was your story again?
qstr_I_was_reconsidering_|I was reconsidering our last conversation. What was your story again?
qstr_Zigrphel_gained_{reg|Zigûrphel gained {reg78} experience.
qstr_Greetings_{s23}_{s24|Greetings, {s23}, {s24}.
qstr_Greetings_{s23}.|Greetings, {s23}.
qstr_So_you_are_{s23}._I_|So, you are {s23}. I hear you fight for our {s25} friends, so I guess I should consider you an ally.
qstr_I_need_volunteers_wi|I need volunteers willing to follow me on dangerous missions.
qstr_I_need_some_soldiers|I need some soldiers to replace my dead.
qstr_Maybe_the_weaklings_|Maybe the weaklings of the south put armour on their soft-skinned Trolls. Not us - our Trolls are of Gundabad!
qstr_Do_I_look_like_a_smi|Do I look like a smith to you? Pah. Go talk to one.
qstr_Excellent_job_{s23}!|Excellent job, {s23}! I wish all our commanders were as dedicated as you.^
qstr_Nicely_done_{s23}.|Nicely done, {s23}.
qstr_Good_work_{s23}.|Good work, {s23}.
qstr_The_more_you_capture|The more you capture, the better, {s23}.
qstr_Caught_a_few_straggl|Caught a few stragglers, {s23}?
qstr_I_am_sorry_no_one_el|I am sorry, no one else is ready to go.^They will serve {s22} by holding the defences here.
qstr_Tough_luck_but_we_do|Tough luck, but we don't have any. Come back later.
qstr_There_are_brave_sold|There are brave soldiers willing to risk their life, but in these dark times I cannot afford to let them leave the defences here.^^^[not enough Resource Points]
qstr_We_have_some_spare_t|We have some spare troops, but we can't afford to lose them to the likes of you.^^^[not enough Resource Points]
qstr_There_are_brave_soldi|There are brave soldiers here volunteering for field duty.^^I think I can let a few of them go with you.
qstr_There_are_spare_troo|There are spare troops here that wouldn't mind a little blood-letting.^^I can let a few of them go with you.
qstr_Strenghten_defences_|Strenghten defences in {s21}? This is surely welcome. Note that we can only accept our own people.
qstr_Strenghten_defences_i|Strenghten defences in {s21}? Well, as long as they are not crippled, why not. Just be sure you give away our own troops, for we have no use for outsiders here.
qstr_Please_return_them_i|Please return them in one piece. I personally know the valor of each one of them. And here we need every soul.
qstr_Don_t_let_them_all_d|Don't let them all die in one place. Except the cowards. Put those in your front ranks, you know the drill by now.
qstr_Thank_you_commander.|Thank you, commander.^
qstr_^{s22}_is_grateful_t|^{s22} is grateful to you, {s23}, {s29}^
qstr_{s31}{reg28?Those:Th|{s31}{reg28?Those:That} brave {reg28?soldiers:soldier} will surely help us defend {s21}.{s32}^^[earned {reg14} Resource Points of {s14}]
qstr_{s31}{reg28?Those:Tha|{s31}{reg28?Those:That} useful {reg28?troops:troop} will help us hold {s21}.{s32}^^[earned {reg14} Resource Points of {s14}]
qstr_{s4}_^Oh_and_take_ba|{s4} ^Oh, and take back those of your soldiers, that are not our kin.
qstr_You_have_reinforced_|You have reinforced {s8} with {reg55} troops.
qstr_I_don_t_need_them_an|I don't need them anyway, so save it.
qstr_It_is_my_duty_to_pro|It is my duty to protect our people.
qstr_It_is_my_duty_to_prot|It is my duty to protect our allies.
qstr_I_am_{s4}_{s15}_of_{|I am {s4}, {s15} of {s6}
qstr_I_am_{s4}_a_commande|I am {s4}, a commander of {s6}
qstr_{s9}{reg5?_and_the_r|{s9}{reg5? and the ruler of {s8}.:.
qstr__{s3}_gained_{reg78}| {s3} gained {reg78} experience.
qstr_{playername}_our_sco|{playername}, our scouts brought word of your success. May you live beyond this day in years of blessedness! With the hosts of {s7} thrown back by your victory, the enemy’s great advance has faltered. We may hope that there is now contention within their ranks, and among their captains. And, too, we may hope that they now hold a healthy fear of you! You have won us a brief rest from weariness, at the least.
qstr_Well_{playername}_yo|Well, {playername}, you’ve returned, and with good news for us, it would seem. I see now you are not only made of brag and hot air - ah, if only I could have seen {s7} fall before you with my own eyes! Our foes are now desperately disheartened, no doubt. Lost their heads, I warrant. Cut off the head of a serpent, as they say, and the deal’s done. Well, I must now lead my host to win the real victory. Your contribution will be reported, {playername}, to your betters. Have no fear about that.
qstr_Alas_that_I_could_no|Alas that I could not bring a final end to {s7} of {s8}, but if we should meet again, let them beware.
qstr__I_should_rather_mak| I should rather make report of my victory over {s7} of {s8} myself - the chief glory is mine, and you will not forget it!
qstr_Very_well_done_{play|Very well done, {playername}! You captured both the spy and his handler, just as I'd hoped, and the pair are now safely locked up, waiting to be questioned. They will have some explaining to do! Anyway, I'm very pleased with your success, {playername}, and I give you this purse as a token of my appreciation.
qstr_Beautiful_work_{play|Beautiful work, {playername}! You captured both the spy and his handler, just as you were told, and the pair are now safely locked up in my dungeon, waiting to be questioned. My torturer shall be busy tonight! Anyway, I'm very pleased with your success, {playername}, and I give you this purse as a token of my appreciation.
qstr_Foiling_the_enemy_s_|Foiling the enemy's attempts at attacking the refugee trains have weakened their resolve ({s1} has lost {reg19} faction strength due to your victory against {reg18} raiders).
qstr_The_slaughter_and_lo|The slaughter and looting of the refugee train has strengthened the enemy ({s1} has gained 50 faction strength).
qstr_You_did_however_defe|You did, however, defeat {reg18} raiders, weakening the enemy's resolve ({s1} has lost {reg19} faction strength).
qstr_The_slaughter_and_loo|The slaughter and looting of the refugee train has strengthened the enemy ({s1} has gained {reg20} faction strength).
qstr_Killing_the_refugees|Killing the refugees from {s1} and enslaving the survivors have demoralized their people ({s1} has lost {reg19} faction strength).
qstr_{reg20}_refugee_trai|{reg20} refugee trains escaped and improved the enemy's morale ({s1} has gained {reg22} faction strength).
qstr_You_did_however_defea|You did, however, defeat {reg18} refugee trains, weakening the enemy's resolve ({s1} has lost {reg19} faction strength).
qstr_My_lord_{s12}_is_saf|My lord, {s12} is safe. The Corsairs were defeated.
qstr_My_lord_Esgaroth_is_|My lord, Esgaroth is safe. The men of Rhûn were defeated.
qstr_The_surroundings_of_|The surroundings of {s12} burn. The pillaging was glorious indeed!
qstr_The_surroundings_of_E|The surroundings of Esgaroth burn. The pillaging was glorious indeed!
qstr_This_is_welcome_news|This is welcome news indeed, {playername}. We were ill-prepared for such bold action from the Corsairs. But thanks to you, the black sails have been driven away, at least for a time, and we may hope, at least, that we have struck them a blow this day. You have our thanks.
qstr__Good_work_{playerna| Good work, {playername}! They showed more cunning than we credited them with, I'll give them that. But these Easterlings don't fight half as well on their boats as they do on their horses, it would seem! Perhaps we, too, should consider launching a fleet of our own... In any case, we thank you, {playername}, on behalf of Esgaroth and all the people of Dale.
