qstr_Received_{reg0}_dama|{reg0} hasar alındı.
qstr__The_townsfolk_here_|Buradaki kasaba halkı bagımsızlıklarını ilan etti.
qstr_Go_to_the_secret_ent|Moria'nın gizli kapısına git
qstr_Search_for_a_secret_|Moria'ya giden gizle kapıyı ara
qstr_Get_book.|Kitabı al.
qstr_The_{reg6?town_s:cas|{reg6?kasabanın:kalenin} yiyecek stokları {reg3} gün daha dayanabilir.
qstr_The_{reg6?town_s:cast|{Reg6?kasabanın:kalenin} yiyecek stokları tükendi ve savunmacılar açlık çekiyor.
qstr_You_re_preparing_to_|Duvarlara saldırmaya hazırlanıyorsunuz, hazırlıkların {reg9} saat içinde bitirilmesi gerekiyor.
qstr_Your_forces_are_buil|Güçleriniz kuşatma kulesi inşa ediyor. Yapımı tamamlamak için yaklaşık bir {reg9} saat daha gerekecegini tahmin ediyorlar.
qstr_You_are_ready_to_att|Duvarlara saldırmaya hazırsın.
qstr_The_siege_tower_is_b|Kuşatma kulesi inşa edildi ve saldırıya hazır.
qstr_As_a_last_defensive_|Son bir savunma çabası olarak, ana salona çekiliyorsun. Sen ve kalan askerleriniz burada çaresiz bir şekilde dövüşecek. Eger yenilirsen geri çekilmek için başka bir yer yok.
qstr_You_ve_been_driven_a|Duvarlardan uzaga gidiyorsun. Şimdi saldırganlar sokaklara dökülüyor. Onları yenersen, belki de savaşın kaderini degiştirebilir ve günü kurtarabilirsin.
qstr_You_ve_breached_the_|Kasaba duvarlarını yıktın, ama inatçı savunmacılar sokaklarda direnmeye devam ediyor! Kasabanın kalbine saldırmadan önce onlarla ugraşman gerekecek.
qstr_The_town_centre_is_y|Şehir merkezi artık sizin, ancak kalan savunmacılar kaleye çekildiler. Zaferinizi tamamlamadan önce kaleyi de düşürmeniz gerekir.
qstr_The_remaining_defende|Kalan savunmacılar son bir savunma olarak kaleye çekildi. İçeri girmeli ve kalan direnci ezmelisin.
qstr_However_since_you_ar|Ne var ki, {s9} kişisinin yeminli bir {adamı/takipçisi} olmadıgından,  seni bu {reg8?şehrin:kalenin} {lordu/hanımı} olarak tanımasına imkan yok.
qstr_The_enemy_has_been_f|Düşman geri çekilmeye zorlandı. Saldırı bitti, ama kuşatma devam ediyor
qstr_The_assasins_beat_yo|Suikastçi seni yendi ve ölüme terketti
qstr_You_have_fallen._The|Düştün. Haydutlar bulabilecekleri degerli eşyalar için vücudunu çabucak arayıp, sonra da geceye karıştılar. Zar zor hayatta kaldın.
qstr_Luckily_some_of_your|Neyse ki yoldaşlarınızdan bazıları, dönmediginiz için sizi aramaya geldi ve sizi hendekte yatarken buldular. Sizi güvene alıp yaralarınızı sardılar.
qstr_Luckily_some_passing|Neyse ki, geçen yerliler sizi hendekte yatarken buldular ve sizi basit bir dilenciden başka birisi oldugunuzu anladılar. Sizi güvenli bir yere götürüp yaralarınızı sardılar.
qstr_{s13}^^You_have_succ|{s13}^^Başarıyla sızdın.
; qstr_The_tomb_is_destroye|The tomb is destroyed. A fierce fight took place here.
; qstr_Nothing_of_interest|Nothing of interest
qstr_the_place|yer
qstr_the_castle|kale
qstr_the_Throne_Room|Taht Odası
qstr_the_Secret_Cave|Gizli Magara
qstr_Meduseld_the_Golden_|Meduseld, Altın Salon
qstr_the_Lord_Halls|Lord Salonları
qstr_the_Leader_s_Cave|Lider'in Magarası
qstr_the_Tower|Kule
qstr_the_tower_of_Orthanc|Orthanc Kulesi
qstr_Beorn_s_Hall|Beorn'un Konagı
qstr_the_Hall|Salon
qstr_the_Great_Chamber_of|Thrór'un Yüce Salonu
qstr_Stay_indoors_for_som|Burada bir süre bekle (her gece için {reg1} Kaynak Puanı)
qstr_Camp_outside_for_som|Bir süre dışarıda kap kur (bedava)
qstr_{s4}_s_scouts_have_s|{s4} izcileri başarısızlıgını gördü ve bildirdi. {s4} topraklarına utanç getirdin ve bu başarısızlıgın sorumlulugu yalnızca senin üzerinde olacak.
qstr_{s1}_s_Ship|{s1}'in Gemisi
qstr_Time_passes...|Zaman geçiyor...
qstr_Forces_of_Good|İyilerin Kuvvetleri
qstr_Forces_of_Mordor|Mordorun Kuvvetleri
qstr_Forces_of_Isengard|Isengard'ın Kuvvetleri
qstr_their_enemies|onların düşmanları
qstr_{s11}_and_{s13}|{s11} ve {s13}
qstr_{s11}_{s13}|{s11}, {s13}
qstr_a_scout_party_from_{|{s3}'den bir izci partisi
qstr_two_scout_parties_an|{s3}  tarafından iki izci partisi ve bir yiyecek arama partisi
qstr_two_scout_parties_and|{s3} Tarafından iki izci ve bir Yagmacı Grubu
qstr_three_scouts_two_for|{s3} 'den üç gözcü, iki avcı ve bir devriye grubu
qstr_three_scouts_two_rai|{s3} Tarafından üç izci, iki yagmacı, ve bir savaş grubu.
qstr_You_see_the_village_|Köye haydutlar tarafından baskın yapıldıgını görüyorsunuz. Askerlerinizden birçoguna köyü diger yagmacıların ortaya çıkması ihtimaline karşı izlemelerini emrederken, adamlarından küçük bir grup alıp köylüleri savunmaya hazırlanmalarını söylüyorsun.
qstr_You_see_the_village_y|Baskın için görevlendirildiginiz köyü görüyorsun. Siz ve akıncılarınızdan oluşan küçük bir grup, görülmeyecek şekilde köye saldırmaya hazırsınız.
qstr_The_raiders_are_defe|Akıncılar yenildi! Canlı ve bilinçli kalabilen az sayıdaki kişi, köylülerden ve yeni şampiyonlarından korkarak geldigi yer olan karanlıga dogru koşarak uzaklaştılar.
qstr_Try_as_you_might_you|Elinden geldigi kadar çabala, akıncıları yenemezsin. Köyü yerle bir edip köylüleri köle yapacaklar.
qstr_The_village_has_been|Köy yıkıldı, köylüler öldürüldü ya da köle olarak alındı. Karanlık Lord bundan memnuniyet duyacaktır.
qstr_You_failed_to_raid_t|Köy baskınında başarısız oldun ve adamlarınla birlikte hızlıca kaçtın. Gözün kınayan bakışını hissederek galip gelenlerin kutlama seslerini duyuyorsun.
qstr_The_Scout_Camp_has_b|İzci Kampı yagmalandı, Bu düşmanın ilerleyişini yavaşlatır.
qstr_You_failed_to_destro|İzci Kampını yok etmekte başarısız oldun. Düşman Tarafınızı ölçtü ve kesinlikle sıkışmış oldugunuzu gördü.
qstr_You_have_defeated_the|Yagmacı filosunu yendin! Bu, düşmanın planlarına agır bir darbe!
qstr_You_defeated_the_int|Müdahale filosunu yendin! Şehre baskın yapmaya yececek gücümüz kalmasa da, bu büyük bir zafer!
qstr_You_drove_back_the_e|Düşman filosunu geri sürdün, ama gemilerinin çogunu kaybettin!
qstr_You_were_defeated_by|Müdahale filosu tarafından maglup edildin ve şehri yagmalamakta başarısız oldun!
qstr_^^^^^^^You_come_upon|^^^^^^^{s3} civarına giden ve {s2} tarafında gelen mültecilere rastladın. ^^Çogunlukla yaşlı ve hüzünlüler, yanlarında kadınlar ve çocuklar var.^^ Muhafızlar var ama herkesi bir baskından korumak için yeterli degil.
qstr_^^^^^^^You_come_upon_|^^^^^^^{s2} Civarlarından bu yana izini sürdügün mültecilere rastladın.{s3} tarafına dogru gidiyor gibi görünüyorlar, ve çogunlukla yaşlı ve çocuk var. ^^ Çok az sayıda gardiyan var, ancak sizin ve adamlarınızın hepsini öldürmesini engellemek için yeterli degil..
qstr_^^At_last_the_Master|^^Sonunda, Efendi kendi hamlesini yapıyor! Meşaleler parlıyor. Keskin silahlar parıldıyor. Siz ve hantal adamlarınız yakında yürüyüş emri alacaksınız. Ahh, savaşılacak, bir sürü şey olacak ve etrafta rahatça gezebilecek kadar şan olacak! ^^ Sen Efendinin kulesine kabul edilme onuruna sahipsin. Muhtemelen ilk emirlerin snaga işi olacak - buraya bir köy baskın yap, orada bir Kervana pusu kur. Ama yakında kendini kanıtlayacaksın. {S3} 'daki {s2} komutanı kadar büyük bir rol oynayamayacagınızı kim söylüyor?^^ Savaş başladı; İnsan ve müttefiklerinin yıkılışı başlıyor!
qstr_^^Your_head_suddenly|^^ Kafan aniden bir hayal ile doluyor - yanan Göz. Etrafında, savaşçıların izleri duruyor. Her nasılsa, o anda biliyorsunuz, hepiniz aynı çagrıyı duyuyorsunuz, aynı görüyü görüyorsunuz. Kapaksız Göz'ün büyük sanatı - Barad-dûr'un büyük gücü Harikadır!^^Konuşulmamış olan bilgi, kemiklerinize sızıyor. Zaman geldi. Karanlık Lord emrediyor - hepiniz savaşta düşmanlarınızın üzerine yürüyeceksiniz. {S3} içindeki {s2} emirleri gelecek. İlk baştaki rolün çok iyi olmayacak, ama yakında kendini ispatlayacaksın^^Savaş başladı; Batı'nın yıkılışı başlıyor!
qstr_{s13}_asked_you_to_j|{s13} senden en az {reg13} asker ile birlikte ona katılmanı ve onunla Isengard'ın son duruşunda ona katılmanı istedi.
qstr_You_defeated_{reg5}_|{reg5} Düşmanını yendiniz ve komutanınızı etkilediniz.
qstr_You_defeated_{reg5}_e|{reg5} Düşmanını yenilgiye ugrattın.
qstr_You_failed_to_defeat|Herhangi bir düşmanı yenemedin.
qstr_The_sorcerer_slain_y|Öldürülen büyücü, sen ve arkadaşların yaraları sarmak ve gecenin içine karışmak için atılıyorsun. Tuhaf sesler arkanızda çıglık atıyor ve gölgelerde sizi arayan pek çok yanan göz hissediyorsunuz. Yakında öfkeniz hayal kırıklıgına dönüşür ve takip sesleri bogulur, yerini KuyutOrman'ın agır sessizligi alır. Kaçtın.
qstr_The_sorcerer_slipped|Büyücü elinizden kaymış ve çevrenin karanlıgına gömülmüştür. Başarısızlık agırlıgı altındaki kalplerle birlikte, siz ve yoldaşlarınız aceleyle yaraları sarıp gecenin gölgesine dogru çekiliyorsunuz. Tuhaf sesler arkanızda çıglık atıyor ve gölgelerde sizi arayan pek çok yanan göz hissediyorsunuz. Kahkahalar ve hakaretler kısa sürede merhametle örtüldü, yerine Kuyutorman'ın olagan agır sessizligi geldi. Kaçtın.
qstr_You_approach_a_heavi|Ormanın yogun korunan bir bölgesine yaklaşıyorsunuz... ^^ Tek başınıza ilerlemeye cesaret edip etmeyeceginizi ya da yanınıza birkaç asker alıp almayacagınızı karar vermeniz gerekiyor.
qstr_You_have_a_good_chan|Muhafızlardan kaçma ve fark edilmeden kayıpsız geçme ihtimaliniz yüksek.
qstr_You_may_have_a_chanc|Muhafızlardan kaçma ihtimaliniz olabilir.
qstr_You_will_probably_ha|Büyük olasılıkla muhafızlarla savaşmanız gerekecek.
qstr_You_wait_for_darknes|Karanlıgın düşüşünü bekliyorsun...
qstr_You_are_quickly_disc|Düşman tarafından çabuk fark edildin.
qstr_You_advance_stealthi|Gizlice ormanın içlerine dogru ilerlediniz. 
qstr_You_have_evaded_the_|Devriyelerin ve kalıntıların yakınından sürünüyorsunuz!
qstr_You_have_found_the_s|Büyücüyü buldun!
qstr_You_cannot_leave_unt|Muhafızlara izini kaybettirmeden buradan ayrılamazsın!
qstr_Kill_him_quickly_bef|Çabuk kaçamadan öldürün onu!
qstr_Enraged_by_the_death|{S4} 'un ölümünün öfkesiyle, {s3} kuvvetlerine intikam yemini ettin. Şimdi önümüzdeki günlerde mümkün oldugunca {s3} birligini yok etmelisiniz. Takipçilerinizin bu yemine tanıklık ettigine ve Yeminbozan olarak bilinmek istemedigininize eminsiniz. Kan akıtmanın şimdi başlaması gerekiyor!
qstr_flooded._Somebody_or|Sular altında kalmış. Birisi ya da bir şey Isen barajlarını mahvetmiş olmalı.
qstr_destroyed._Only_smol|yerle bir edilmiş. Sadece yanan hala yanan kalıntılar kalmış.
qstr_^^^You_lost_your_fig|^^^Ayaklanmaya karşı savaşımı kaybettin! ^Orkların yeni bir komutan varmış gibi görünüyor.
qstr_^^^You_have_slain_th|^^^ Saldırganı öldürdün ve bunu gören diger Orklar çabucak geri çekildiler. ^ Solucanlar bir süre daha  seslerini çıkartamayacaklardır.
qstr_You_cover_up_your_tr|İzlerini silip yoluna devam ediyorsun.
qstr_Breaking_camp...|Kamp kaldırılıyor...
; qstr_Party_morale_is_low.|Party morale is low. Troops desert from your party.
; qstr_Desertion|Desertion
; qstr_{s1}_has_deserted_fr|{s1} has deserted from your party.
qstr_You_have_left_{s1}.|{s1} 'dan ayrıldın 
qstr_You_are_entering_{s1|({s2}) {s1} civarına giriyorsun.
qstr_You_are_entering_{s1}|{s1} civarına giriyorsun.
qstr_The_war_expands_comm|Savaş genişliyor, komutanlar cesurlaşıyor! (Kuşatma gereksinimleri azaltıldı)
qstr_Your_party_is_spotte|Grubun {s1} tarafından tespit edildin.
qstr_The_effects_of_the_O|Orc İksirinin etkisi bitti.
qstr_The_effects_of_the_M|Miruvor'un etkisi bitti.
qstr_Athelas_used_up.|Athelas kullanıldı.
qstr_Party_has_nothing_to|Partinin yiyecek hiç bir şeyi yok!
qstr_You_pay_for_accommod|Barınmak için para ödüyorsun.
qstr_The_troll_outside_{s|Troll dışarıda {s2} öldürüldü. Görev iptal edildi.
qstr_{s1}_was_killed_on_t|{s1} savaş alanında katledildi. Görev iptal edildi.
qstr_{s1}_has_been_defeat|{s1} maglup edildi. Görev iptal edildi.
qstr_You_must_follow_{s1}|{s1}'i takip etmek zorundasın!
qstr_You_must_follow_{s1}!|{s1}'i takip etmek zorundasın! Bu sizin son uyarınız!
qstr_{s1}_parties_defeate|{s1} Grubunuz yenildi: {reg1} {reg2} dışında
qstr_{reg65}_Moria_and/or|{reg65} Moria ve/veya Gundabad birlikleri öldürüldü. (Sayaç her saat yenilenir)
qstr_{reg65}_{s3}_troops_|{reg65} {s3} birligi öldürüldü. (Sayaç her saat yenilenir)
qstr_{reg66}_{s5}_troops_|{reg66} {s5} birligi öldürüldü. (Sayaç her saat yenilenir)
qstr_{reg67}_{s7}_{s8}_tr|{reg67} {s7} {s8} birligi öldürüldü. (Sayaç her saat yenilenir)
qstr_{s8}_in_{s9}_asked_y|{s9}'deki {s8}, {reg67} {s10}'ı öldürmenizi istedi.^ {reg68} {s11} öldürüldü. (Sayaç her saat başında yenilenir)
qstr_{s1}_is_scouted.|{s1} gözlendi.
qstr_{s2}_was_defeated!|{s2} maglup edildi.
qstr_The_Age_of_Men_has_f|İnsanların çagı sonunda geçti. Şimdi İki Kule, Orta Dünya'nın tek hükümdarının kim olacagına karar vermek için ordularını ve müttefiklerini topluyor!
qstr_The_War_of_the_Two_T|İki Kulenin savaşı başladı!
qstr_The_forces_of_{s22}_|{s22} Tarafının kuvveti arttı! {s22} Şu an {s23}.
qstr_The_might_of_{s22}_h|{s22} Tarafının gücü Zayıfladı! {s22} Şu an {s23}.
qstr_In_a_desperate_attem|Düşmanlarına karşı kendisini savunmak için umutsuz bir girişimde bulunan Sauron, Mordor lejyonlarını gönderiyor!
qstr_Guardians_of_{s6}|{s6}'nın Muhafızları
qstr_Guard_Legion_of_{s6}|{s6}'ın Muhafız Lejyonu
qstr_Scouts_report_that_{|İzciler {s6}'nın başkenti savunmak için kazılan son hendekte {s7} civarında büyük bir ordu topladıgını bildirdi.
qstr_The_forces_of_{s2}_e|{s2} bir İleri Kampı {s15}'de kurdu!
qstr_The_hosts_of_{s2}_ma|{s2}'nin sahipleri evlerini savunmak için geri çekildiler!
qstr_{playername}_s_Reser|{playername}'in Rezervleri
qstr_Gondor_has_called_fo|Gondor yardım çagırıyor!
qstr_Gondor_is_accompanyi|Gondor Mareşale eşlik ediyor!
qstr_{s5}_has_stopped_fol|{s5} Seni takip etmeyi bıraktı.
qstr_You_have_{reg69}_all|Seni takip eden bir {reg69} müttefik partin var
qstr_You_have_{reg69}_ally|Seni takip eden bir {reg69} müttefik partin var
qstr_The_forces_of_{s2}_h|{S2} Kuvvetleri toparlandı ve {s15}  tarafına yürüyorlar!
qstr_Your_scouts_report_s|Gözcüleriniz yakınlarda bir {s2} belirtisi bildirdi.
qstr_{s1}_from_{s2}|{s2}'den {s1}
qstr_When_dealing_with_lo|{s11}'in yerlileriyle konuşurken unutma ki onlar seni tanımıyorlar ve senin {s10}'da kazandıklarını bilmiyorlar.^^({s11} bölgesinden olan kişilere dagıtabilecegin beceri puanları {s10} bölgesinde kazandıklarınla aynı degil. {s11} bölgesinden kazandıklarını sadece bu bölgeden olan kişilere dagıtabilirsin, -- bilgi için ayrıca için rapor ekranına göz atabilirsin.)
qstr_Info|Bilgi.
qstr_You_came_into_a_poss|Tuhaf, büyük bir kase su buldun. Misk gibi kokuyor.
qstr_Obtained:_Ent_water.|Elde edildi: Ent Suyu.
qstr_A_little_after_you_f|Yürüyen agaçlardan aldıgınız zehirli suyun etkilerinden tamamen kurtulduktan sonra garip bir yan etki fark etmeye başlıyorsun. Grubunuzdaki solucanlar da bunu fark ediyorlar... Artık sana daha fazla saygı duyuyorlar ve senden daha fazla korkuyorlar sanki eskisine göre artık daha büyükmüşsün gibi. Ve sen, aslında, biraz daha uzun olduguna yemin edebilirsin. Bu gerçekten mümkün mü?
qstr_Ent_water_effect.|Ent suyu etkisi.
qstr_The_water_you_drank_|Ent diyarından içtigin su vücudunda garip bir etkiye yol açtı. Başlangıçta bunun mümkün olduguna inanmıyordun, ama şimdi gördüklerin karşısında itiraf etmelisin ki: bir şekilde büyüdün! Yine de, zehir neredeyse seni öldürüyordu. Bu riski bir daha asla alamazsın.
qstr_Ent_water_effect:_in|Ent suyu etkisi: Boy artışı!
qstr__+1_to_Strength__per|Güce +1 (kalıcı)
qstr__+1_to_Charisma__per|Karizmaya +1 (kalıcı)
qstr_The_dark_shadow_fina|Karanlık gölgenin fırtınası sonunda başladı, ve kötülügün orduları Orta Dünya'nın özgür insanlarına karşı yürüyüşe geçti. Mordor Güney'de Gondor'a karşı, Isengard Batı'da Rohan'a, Dol Guldur tekrar Elflere Karşı... Uzak Kuzey'de bile savaş var artık.
qstr_The_War_has_started!|Savaş başladı!
qstr_The_forest_seems_pea|Orman barışçıl gözüküyor.
qstr_There_is_a_sense_of_|Havada tehlike kokusu var.
qstr_You_have_a_feeling_y|Ormanı yeterince uzun süre rahatsız ettigini hissediyorsun.
qstr_Get_out_now!|Defol, şimdi!
qstr_You_are_inside_Fango|Fangorn'un içerisindesin. {s11}
qstr_Your_party_witnessed|Grubunuz orkların mahkumları yedigine tanık oldu.
qstr_Your_party_s_morale_|Grubunun morali nefretten yükseldi.
qstr_Your_party_s_morale_h|Grubunun morali korku yüzünden düştü.
qstr_{s27}:_Influence_wit|{s27}: {s1} etkisiyle {reg2} 'den {reg1}'e artıyor.
qstr_{s27}:_Influence_with|{s27}: {s1} etkisiyle {reg2} 'den {reg1} 'e düşüyor.
qstr_{s27}:_Party_morale_|{s27}: Grup morali arttı.
qstr_{s27}:_Party_morale_d|{s27}: Grup morali düştü.
qstr_You_have_failed_to_f|Balin ve onun grubunun intikamını almak için ettigin yemini yerine getimedin!
qstr_You_have_failed_to_fu|{s1} 'in kahramanca ölümü için intikam yemininizi yerine getirmeyi başaramadınız!
qstr_Your_troops_value_yo|Birlikleriniz yemininizi yerine getirme çabanıza deger veriyor, ancak olayların çok hızlı geliştiginin farkındalar. Sonuç olarak,
qstr_{s22}You_have_fulfil|{s22} Balin ve onun grubunun intikamını almak için ettigin yemini yerine getirdin!
qstr_{s22}You_have_fulfill|{s22} {s1}'in kahramanca ölümü için ettigin intikam yeminini yetine getirdin!
qstr_Reinforcements|Destek Birlikler
qstr_Refugees_Escaped:_{r|Kaçan Mülteciler: {reg10} --- Öldürülen Mülteciler: {reg11}
qstr_Raider_Parties_Kille|{reg12} Yagmacı Grubu öldürüldü
qstr_One_of_the_target_ce|Mülteci grupları tarafından hedeflenen merkezlerden biri tahrip edildi. Mülteciler dagıldı ve bulunabilecekleri hiçbir yer yok.
qstr_As_an_Orc_or_a_Dwarf|Bir Orc veya Cüce olarak, TLD'nin daha kısa ırklarıyla olan deneyiminizi geliştirmek için uyguladıgımız Özel Kamera'dan yararlanabilirsiniz. Bunun nasıl kullanılacagı hakkında daha fazla bilgi için Oyun Konseptlerine bakın.
qstr_Custom_Camera|Özel kamera
qstr_{reg65?my_Lady:my_Lo|{reg65?Leydim:Lordum}
qstr_{reg65?My_Lady:My_Lo|{reg65?Leydim:Lordum}
qstr_{reg65?mistress:mast|{reg65?efendim:efendim}
qstr_{reg65?Mistress:Mast|{reg65?efendim:efendim}
qstr_{reg65?madame:sir}|{reg65?madame:sir}
qstr_{reg65?Madame:Sir}|{reg65?Madame:Sir}
qstr_How_do_magnets_work?|Mıknatıslar nasıl çalışır?
qstr_Um..._by_enchanting_|Hmm...Büyülü demirle mi?
qstr_Magnets_are_made_of_|Mıknatıs yer altından çıkarılan metallerle yapılır. Onlar manyetik çünkü içinde yerçekimi parçaları bulunur.
qstr_i_wont_a_bonerlrord_|bonnerlord port istiyorom nao!!11!
qstr_Install_TLD_in_your_|Bannerlord Mod klasörüne TLD'yi yükleyin, ve module.ini'ye şu satırı ekleyin 'compatible_with_wfas = 1', ve artık hem Warband hem de Warrider 0.202 de oynayabileceksiniz!
qstr_Bannerlord_runs_on_a|Bannerlord farklı bir motor ile çalışıyor. Warband'a yaptıgımız gibi TLD'yi Bannerlord'a direk aktaramayız.
qstr_dis_mod_takes_2_long|bu modun güncellenmesi çok uzun zaman alıyor! çok kötü!!11!22
qstr_Well_there_s_a_lot_o|Çok fazla yeni grafik ve diger şeyler var.Sanırım bu zaman alacak.
qstr_It_has_been_recently|Kısa bir süre önce yayımlandı, linki kaçırdıysanız, lemonparty.org adresinden indirebilirsiniz.
qstr_i_wont_decapitated_e|Multide filleri kesmeyecegim, nao!!11!
qstr_I_don_t_think_there_|TLD'de çok multiplayerın oldugunu sanmıyorum, ancak filler güzel olurdu.
qstr_There_is_a_hidden_el|TLD'de gizlenmiş bir fil deathmatch modu var, ancak önce tüm savegameLerinizi kaldırmanız, kaydetmeden oyunu 100 oyun günü oynamanız, daha sonra karakter ekranına gitmeniz ve Alt + F4 tuşlarına basmanız gerekiyor. Tamamen buna deger!
qstr_Y_NO_ChINESE??|NEDeN ÇinCE YOK??
qstr_Just_to_troll_you_tr|Sadece seni trollemek için,troll!!
qstr_Thanks_to_our_volunt|Gönüllü çevirmenler sayesinde, Geleneksel ve Basit Çinceye olan çeviriler mevcut. Ama bunları kullanmak için Steam Atölyesinde bulunan rehberimizi takip etmeniz gerekiyor.
qstr_Wai_no_plate_armour_|Dur bi dakka modda levhalı zırh yok mu ???
qstr_What_is_plate_armour|Levhalı zırh nedir? Hiç duymadım.
qstr_Wai_no_female_trolls|Bekle bayan troller mi? Eh?Eh? Or... çocugu!
qstr_WHEN_U_REALSE_MOD?!!|MODU NE ZAMAN YAYINLAYACAKSIN?!!?
qstr_But_we_did_release._|Ama geri çekildik. Sende vardın orada. Ve neden ateş ediyorsun?
qstr_YES!_ALSO_SOMETIMES_|EVET! BAZEN!
qstr_Wai_u_no_work_wiht_o|Bir süper LOTR modu yapmak için diger modlarla çalışma beklemeyin?
qstr_Every_mod_team_works|Her mod ekibi standartlarına göre çalışır, mod yapanların görüşleri farklıysa işbirligi yapamazsınız.
qstr_Because_we_don_t_hav|Çünkü bizde mizah duygusu yok ve bunların çogu da bize göre çok komik.
qstr_In_movies_trolls_are|Filmlerde troller büyük ve şişman, Ben niye incecigim ?
qstr_We_interpreted_Tolki|Tolkien'i böyle yorumladık.
qstr_But_we_did_make_you_|Fakat seni en az filmlerdeki kadar şapşal yaptık.Bu da bir şeydir.
qstr_What_is_news?_Got_an|Yeni haberler var mı? Herhangi bir ekran görüntüsü var mı?
qstr_Well_just_look_aroun|Etrafına bir göz atı, ekran görüntülerine ne gerek var?
qstr_Say_cheese!|Peynir de!
qstr_Why_did_you_make_mod|Neden mod kurulumunu bu kadar karmaşık yaptın?
qstr_Well_if_you_are_here|Eh, burada ve benimle konuşuyorsan, RTFM'yi başarıyla tamamlamış olmalısın
qstr_You_just_got_windyfl|Sadece  fazla endişelisin!
qstr_Merry|Merry
qstr_Pippin|Pippin
qstr_the_Citadel|Hisar
qstr_Minas_Tirith|Minas Tirith
qstr_Steward_Denethor|Vekilharç Denethor
qstr_the_Golden_Hall|Altın Konak
qstr_Edoras|Edoras
qstr_King_Theoden|Kral Theoden
qstr_Merry_asked_you_to_d|Merry, Minas Tirith'deki kuzeni Pippin'e bir mesaj vermeni istedi.
qstr_Pippin_asked_you_to_|Pippin, Edoras'taki kuzeni Merry'ye bir mesaj vermeni istedi.
qstr_Tell_him_I_ve_grown_|Ona bir inç daha büyüdügümü söyle!
qstr_Tell_Pip_he_smokes_t|Pippin'e çok fazla pipo içtigini söyle!
qstr_Tell_him_I_can_ride_|Ona şimdi yetişkin bir Ata binebilecek oldugumu söyle!
qstr_Ask_him_if_he_has_an|Hiç fazladan geriye pipo otu kalıp kalmadıgını sor!
qstr_Tell_him_I_ll_be_the|Bir daha görüştügümüzde ona daha uzun boylu olacagımı söyle!
qstr_Ask_if_he_s_seen_Gan|Ona Gandalf'ı görüp görmedigini sorun!
qstr_You_gained_250_exper|250 Tecrübe puanı kazandın.
; qstr_Hrooom..._Hmmm...Who|Hrooom... Hmmm...Who are you?
; qstr_Hrooom..._Hmmm...Oh_|Hrooom... Hmmm...Oh, it's you again, {playername}.
qstr_Treebeard_wants_you_|Agaçsakal, Fangorn'da agaçları kesen orkları bulmanı ve yok etmeni istiyor.
qstr_Something_wrong_not_e|Bir şeyler yanlış, burada bir izci grubu için yeteri kadar asker yok
qstr_my_home_town|benim memleketim
qstr_I_am_in_perfect_heal|Çok saglıklıyım.
qstr_I_am_suffering_from_|{s1} yüzünden acı çekiyorum.
qstr_I_am_suffering_from_{|{s1} ve {s2} yüzünden acı çekiyorum.
qstr_I_am_suffering_from_{s|{s1}, {s2}, ve {s3} yüzünden acı çekiyorum.
qstr_I_am_suffering_from_{s1|{s1}, {s2}, {s3} ve {s4} yüzünden acı çekiyorum.
qstr_I_don_t_have_any_ser|Hiç ciddi yaram yok, teşekkür ederim.
qstr_Good_day_to_you.|İyi günler sana.
qstr_Ah_it_s_you_again._G|Ah, yine sen. Hoşçakal.
qstr_My_apologies_if_I_wa|Eger daha önce kabalaştı isem özür dilerim. Hikayenizi tekrar dinleyebilir miyim?
qstr_I_was_reconsidering_|Son konuşmamızı gözden geçiriyordum. Hikayenizi tekrar dinleyebilir miyim?
qstr_Zigrphel_gained_{reg|Zigûrphel {reg78} tecrübe kazandı.
qstr_Greetings_{s23}_{s24|Selamlar, {s23}, {s24}.
qstr_Greetings_{s23}.|Selamlar, {s23}.
qstr_So_you_are_{s23}._I_|İşte buradasın {s23}. Senin {s25} arkadaşlarım için savaştıgını duydum, bu yüzden sanırım seni müttefik olarak görmeliyiz.
qstr_I_need_volunteers_wi|Beni tehlikeli bir görevde takip edecek gönüllülere ihtiyacım var.
qstr_I_need_some_soldiers|Ölenlerin yerine koymak için biraz askere ihtiyacım var.
qstr_Maybe_the_weaklings_|Belkide güneyin güçsüzleri zırhsız İfritler'ine zırh giydirmiştir. Biz degil - bizim İfritler'imiz Gundabad'dan! 
qstr_Do_I_look_like_a_smi|Sana demirci gibi mi görünüyorum? Peh. Git biriyle konuş.
qstr_Excellent_job_{s23}!|Harika iş, {s23}! Keşke tüm komutanlarımız da senin gibi kararlı olsaydı.^
qstr_Nicely_done_{s23}.|İyi iş, {s23}
qstr_Good_work_{s23}.|İyi iş, {s23}
qstr_The_more_you_capture|Ne kadar çok yakalarsanız, o kadar iyi, {s23}.
qstr_Caught_a_few_straggl|Birkaç serseri mi yakaladın, {s23}?
qstr_I_am_sorry_no_one_el|Üzgünüm, Hiç kimse gitmeye hazır degil^Onlar burayı savunmak için {s22}'ye hizmet ediyorlar.
qstr_Tough_luck_but_we_do|İyi şans, fakat biz o kadar şanslı degiliz.Daha sonra yine gel.
qstr_There_are_brave_sold|Hayatlarını tehlikeye atmaya istekli cesur askerler var, ancak bu karanlık zamanlarda buradaki savunmalarımızı bırakmalarına izin veremem. ^^^[Yetersiz Kaynak Puanı]
